"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","74949","72.3%","53.7%","13905","52.5%","18275","55.3%","32180","54.1%","41705","53.1%","1.0pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","24737","27.4%","54.7%","4110","51.7%","6138","57.9%","10248","55.4%","14024","53.8%","1.6pp"
"Adept Watershaper","W","R","4244","2.09","1946","2.26","14507","88.5%","55.7%","2570","57.1%","3631","58.9%","6201","58.1%","8210","53.8%","4.3pp"
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","8054","86.4%","55.8%","1477","62.7%","2031","59.3%","3508","60.7%","4587","52.0%","8.7pp"
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","10700","12.7%","52.4%","1643","47.5%","2515","51.5%","4158","49.9%","6543","54.1%","-4.2pp"
"Bark of Doran","W","U","43456","7.20","5011","10.65","2889","9.3%","48.3%","478","","691","50.1%","1169","48.8%","1721","48.0%","0.8pp"
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","14186","85.5%","56.0%","2528","62.0%","3393","60.6%","5921","61.2%","7984","51.7%","9.5pp"
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","22071","70.6%","52.9%","3952","52.8%","5256","52.9%","9208","52.9%","12898","53.0%","-0.1pp"
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","11530","75.0%","54.8%","1903","55.2%","2694","56.1%","4597","55.7%","6651","53.8%","1.9pp"
"Clachan Festival","W","U","23081","3.85","5669","4.65","29299","78.8%","55.5%","5136","55.9%","6786","57.5%","11922","56.8%","16941","54.1%","2.7pp"
"Crib Swap","W","U","32226","5.23","3330","8.01","8260","39.9%","50.9%","1386","47.6%","1960","51.5%","3346","49.9%","4789","51.2%","-1.2pp"
"Curious Colossus","W","M","1954","1.79","1100","1.80","8313","85.0%","56.3%","1381","57.9%","2158","67.2%","3539","63.6%","4766","51.0%","12.6pp"
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","8270","87.7%","54.8%","1385","59.5%","2150","62.3%","3535","61.2%","4742","49.9%","11.3pp"
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","34319","86.1%","55.3%","6360","59.4%","8119","54.0%","14479","56.4%","19471","54.2%","2.1pp"
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","14627","46.2%","53.2%","2421","49.6%","3478","54.9%","5899","52.7%","8739","53.5%","-0.8pp"
"Flock Impostor","W","U","23861","3.81","5705","4.65","30373","83.5%","54.8%","5271","53.6%","7275","55.9%","12546","54.9%","17292","54.2%","0.7pp"
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","41084","47.8%","54.8%","6800","52.9%","9417","56.1%","16217","54.8%","24167","54.4%","0.4pp"
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","39504","46.2%","53.9%","7059","53.7%","8596","51.9%","15655","52.7%","23526","54.5%","-1.7pp"
"Keep Out","W","C","86689","5.19","11786","7.46","45992","62.5%","53.2%","7885","51.7%","10997","53.7%","18882","52.8%","27122","53.5%","-0.7pp"
"Kinbinding","W","R","3560","1.91","2105","1.97","17547","90.5%","57.5%","2961","62.5%","4574","65.7%","7535","64.4%","10073","52.3%","12.1pp"
"Kinsbaile Aspirant","W","U","26883","4.43","5939","5.23","28527","72.2%","56.2%","5252","61.7%","6323","54.7%","11575","57.9%","16629","54.7%","3.1pp"
"Kinscaer Sentry","W","R","4342","2.11","1862","2.26","13572","85.3%","55.2%","2490","59.5%","3176","57.2%","5666","58.2%","7802","52.8%","5.4pp"
"Kithkeeper","W","U","34420","5.39","6041","7.24","17683","46.7%","51.8%","2935","48.2%","4661","56.9%","7596","53.5%","9944","50.2%","3.4pp"
"Liminal Hold","W","C","62961","3.81","15870","4.74","88243","86.9%","54.6%","14703","52.6%","22162","57.4%","36865","55.5%","51534","54.0%","1.5pp"
"Meanders Guide","W","U","27396","4.49","5437","5.69","25016","71.8%","54.6%","4314","54.1%","6159","54.1%","10473","54.1%","14134","54.6%","-0.5pp"
"Moonlit Lamenter","W","U","22673","3.76","5790","4.47","27693","73.8%","53.5%","4794","53.9%","6886","55.4%","11680","54.8%","16093","52.5%","2.3pp"
"Morningtide's Light","W","M","4474","3.32","1010","3.86","4377","62.6%","53.5%","685","48.6%","1083","56.7%","1768","53.6%","2617","53.4%","0.1pp"
"Personify","W","U","30776","4.78","5444","6.30","21678","62.2%","54.1%","3540","51.6%","5221","56.3%","8761","54.4%","12927","53.9%","0.5pp"
"Protective Response","W","U","20209","3.35","5922","3.88","34708","89.9%","55.8%","5870","55.0%","8568","59.2%","14438","57.5%","20283","54.5%","3.0pp"
"Pyrrhic Strike","W","U","20554","3.38","6546","3.85","38571","88.6%","56.2%","6453","55.5%","9642","60.8%","16095","58.7%","22488","54.5%","4.2pp"
"Reluctant Dounguard","W","C","97718","6.07","12040","8.82","34025","44.7%","52.9%","5906","51.1%","7500","53.0%","13406","52.2%","20281","53.2%","-1.0pp"
"Rhys, the Evermore","W","R","4784","2.32","1864","2.53","11872","83.1%","52.4%","2115","50.7%","2943","54.0%","5058","52.6%","6792","52.3%","0.2pp"
"Riverguard's Reflexes","W","C","110502","7.19","13010","10.53","21505","26.4%","53.3%","3540","50.5%","4902","53.8%","8442","52.4%","13070","53.9%","-1.4pp"
"Shore Lurker","W","C","102735","6.44","13158","9.20","35111","42.5%","53.4%","5910","50.7%","8800","54.8%","14710","53.1%","19964","53.3%","-0.1pp"
"Slumbering Walker","W","R","4081","2.02","2035","2.14","15074","84.6%","56.3%","2556","58.7%","3863","61.2%","6419","60.2%","8679","53.3%","6.9pp"
"Spiral into Solitude","W","C","69614","4.13","15176","5.31","82425","86.1%","54.4%","14159","52.2%","19936","56.1%","34095","54.4%","48361","54.4%","0.1pp"
"Sun-Dappled Celebrant","W","C","96547","5.83","13497","8.22","43488","51.8%","52.4%","7110","50.8%","10829","54.2%","17939","52.8%","25725","52.1%","0.7pp"
"Thoughtweft Imbuer","W","U","25768","4.40","6138","5.13","28887","71.3%","56.3%","4947","57.0%","6777","59.8%","11724","58.6%","16590","54.2%","4.4pp"
"Timid Shieldbearer","W","C","94343","5.72","15278","7.77","66864","69.0%","55.5%","12354","54.5%","15084","55.4%","27438","55.0%","38829","55.7%","-0.7pp"
"Tributary Vaulter","W","C","101924","6.49","14534","8.99","49047","53.1%","55.0%","8540","54.0%","11727","55.3%","20267","54.8%","27977","54.9%","-0.2pp"
"Wanderbrine Preacher","W","C","93338","5.60","16320","7.48","73048","70.6%","55.2%","13226","55.9%","17144","55.2%","30370","55.5%","41801","54.9%","0.6pp"
"Wanderbrine Trapper","W","U","24136","3.88","7043","4.48","39705","84.5%","57.1%","7270","62.1%","9336","57.3%","16606","59.4%","22649","55.2%","4.2pp"
"Winnowing","W","R","9101","3.75","1875","4.62","7359","58.4%","52.4%","1223","48.1%","1865","56.0%","3088","52.9%","4279","52.0%","0.8pp"
"Aquitect's Defenses","U","C","109493","7.08","13912","10.30","20723","23.7%","51.9%","3490","50.1%","5286","54.1%","8776","52.5%","11960","51.3%","1.2pp"
"Blossombind","U","C","77846","4.62","16914","5.96","88637","83.2%","54.3%","15446","51.9%","23241","56.7%","38687","54.8%","49992","53.9%","0.9pp"
"Champions of the Shoal","U","R","5265","2.63","2144","2.87","14794","79.4%","57.0%","2542","61.4%","3967","61.3%","6509","61.3%","8043","52.6%","8.7pp"
"Disruptor of Currents","U","R","4950","2.32","2438","2.52","17527","88.8%","56.2%","2973","59.2%","4607","62.1%","7580","61.0%","9685","52.0%","9.0pp"
"Flitterwing Nuisance","U","R","4777","2.36","2192","2.53","15121","84.5%","55.2%","2734","62.3%","3985","58.5%","6719","60.0%","8440","51.4%","8.7pp"
"Glamer Gifter","U","U","24731","3.96","6730","4.76","35880","82.6%","54.8%","6409","55.1%","9360","57.6%","15769","56.6%","20120","53.5%","3.1pp"
"Glamermite","U","C","102385","6.38","14159","9.09","34362","39.2%","51.9%","6112","50.1%","8663","55.2%","14775","53.1%","19586","50.9%","2.1pp"
"Glen Elendra Guardian","U","R","4960","2.34","2241","2.53","14859","85.8%","54.3%","2654","55.1%","3893","58.3%","6547","57.0%","8353","52.2%","4.8pp"
"Glen Elendra's Answer","U","M","5984","3.89","1410","4.70","5765","59.8%","55.1%","936","56.0%","1535","59.5%","2471","58.2%","3297","52.7%","5.5pp"
"Gravelgill Scoundrel","U","C","102418","6.57","16029","8.92","57367","56.3%","55.5%","10466","55.8%","13722","55.6%","24188","55.7%","32372","55.2%","0.5pp"
"Harmonized Crescendo","U","R","8933","3.76","2067","4.57","9453","65.5%","53.1%","1569","50.6%","2397","54.7%","3966","53.1%","5493","53.2%","-0.1pp"
"Illusion Spinners","U","U","35867","5.75","4958","8.06","11201","35.9%","50.7%","1866","48.8%","2954","54.3%","4820","52.2%","6404","49.7%","2.5pp"
"Kulrath Mystic","U","C","110029","7.19","15053","10.16","28605","30.4%","53.2%","5121","52.3%","7743","55.1%","12864","54.0%","15415","52.3%","1.7pp"
"Loch Mare","U","M","1821","1.71","1148","1.79","9343","88.7%","56.9%","1670","60.4%","2537","63.5%","4207","62.2%","5159","52.6%","9.7pp"
"Lofty Dreams","U","U","32864","5.16","6351","6.70","24216","60.5%","54.2%","3981","51.1%","6325","58.3%","10306","55.5%","13924","53.2%","2.3pp"
"Mirrorform","U","M","4024","3.26","1244","3.55","5877","66.6%","53.1%","969","49.6%","1641","57.3%","2610","54.4%","3274","52.0%","2.5pp"
"Noggle the Mind","U","U","28850","4.53","5233","5.91","23988","72.7%","53.6%","4155","52.0%","6317","57.0%","10472","55.0%","13535","52.5%","2.5pp"
"Oko, Lorwyn Liege","U","M","1882","1.72","1140","1.73","7725","81.1%","52.1%","1331","56.7%","2127","56.1%","3458","56.3%","4297","48.6%","7.8pp"
"Omni-Changeling","U","U","24031","3.87","7014","4.56","37794","84.4%","55.2%","6197","53.3%","10251","58.5%","16448","56.5%","20505","53.6%","2.9pp"
"Pestered Wellguard","U","U","24460","4.01","5842","4.89","29303","78.4%","54.5%","5024","53.3%","7583","56.2%","12607","55.0%","16307","53.6%","1.4pp"
"Rime Chill","U","U","37379","5.74","6139","7.75","16427","42.6%","51.5%","2601","47.8%","4409","54.9%","7010","52.3%","9445","51.0%","1.3pp"
"Rimefire Torque","U","R","16707","5.70","1967","8.66","714","5.9%","44.3%","127","","185","","312","","402","",""
"Rimekin Recluse","U","U","18724","3.18","7750","3.56","47502","89.4%","56.5%","8436","59.0%","12727","60.9%","21163","60.1%","25726","53.2%","6.9pp"
"Run Away Together","U","C","109254","7.13","14122","10.28","22204","25.3%","51.6%","3675","46.6%","5797","53.4%","9472","50.8%","12749","52.1%","-1.4pp"
"Shinestriker","U","U","25649","4.16","7694","4.79","39282","78.0%","55.3%","6438","54.5%","10751","61.5%","17189","58.9%","21425","51.9%","6.9pp"
"Silvergill Mentor","U","U","26181","4.29","6851","5.06","35272","77.6%","57.2%","6504","61.4%","8578","59.1%","15082","60.1%","19574","54.8%","5.3pp"
"Silvergill Peddler","U","C","104937","6.63","15742","9.17","50502","50.9%","54.9%","8994","54.7%","12180","55.5%","21174","55.2%","28737","54.4%","0.8pp"
"Spell Snare","U","U","41307","6.68","4951","9.85","5168","16.9%","48.4%","891","50.2%","1323","46.3%","2214","47.8%","2954","48.8%","-1.0pp"
"Stratosoarer","U","C","102530","6.20","14778","8.80","45124","48.9%","53.2%","7992","50.6%","12361","56.7%","20353","54.3%","24342","51.8%","2.5pp"
"Summit Sentinel","U","C","102400","6.39","15614","8.89","52879","54.2%","53.4%","9716","52.7%","14255","54.0%","23971","53.5%","28294","53.1%","0.4pp"
"Sunderflock","U","R","5199","2.59","2088","2.72","15258","81.2%","57.4%","2595","60.2%","4401","65.3%","6996","63.4%","7876","51.0%","12.3pp"
"Swat Away","U","U","29324","4.60","6845","5.78","32747","75.3%","54.0%","5574","51.8%","8695","55.9%","14269","54.3%","18502","53.8%","0.5pp"
"Sygg, Wanderwine Wisdom","U","R","4399","2.25","2093","2.41","15952","87.8%","56.0%","2968","60.9%","4140","60.3%","7108","60.6%","8630","51.9%","8.7pp"
"Tanufel Rimespeaker","U","U","26008","4.32","6698","5.19","34475","80.1%","54.5%","5915","56.2%","9599","56.5%","15514","56.4%","18507","52.6%","3.8pp"
"Temporal Cleansing","U","C","98980","5.95","18523","7.98","77658","66.2%","55.2%","12980","53.3%","20530","57.0%","33510","55.6%","44200","54.8%","0.7pp"
"Thirst for Identity","U","U","34806","5.45","5388","7.53","16922","49.9%","52.4%","2971","50.7%","4350","54.8%","7321","53.1%","9602","51.9%","1.2pp"
"Unexpected Assistance","U","C","93171","5.59","17809","7.36","80311","71.0%","54.8%","13313","53.4%","21029","57.4%","34342","55.9%","46010","54.0%","1.8pp"
"Unwelcome Sprite","U","U","28003","4.45","7059","5.41","34010","75.2%","54.6%","6121","56.7%","8779","55.8%","14900","56.2%","19137","53.4%","2.8pp"
