"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","15746","72.5%","56.2%","2936","53.8%","3532","57.4%","6468","55.8%","9046","56.3%","-0.6pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","8468","37.3%","57.1%","1439","53.6%","2023","60.0%","3462","57.3%","4820","56.6%","0.7pp"
"Adept Watershaper","W","R","4244","2.09","1946","2.26","143","20.0%","","28","","33","","61","","82","",""
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","104","20.5%","","15","","28","","43","","62","",""
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","43456","7.20","5011","10.65","46","1.0%","","9","","8","","17","","29","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","401","37.1%","","58","","95","","153","","245","",""
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","14","1.1%","","4","","6","","10","","4","",""
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","29","3.6%","","7","","6","","13","","16","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","53","3.2%","","12","","16","","28","","25","",""
"Crib Swap","W","U","32226","5.23","3330","8.01","54","2.9%","","9","","22","","31","","22","",""
"Curious Colossus","W","M","1954","1.79","1100","1.80","131","24.0%","","24","","31","","55","","74","",""
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","330","43.9%","","41","","85","","126","","206","",""
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","11","1.0%","","2","","3","","5","","6","",""
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","37","1.5%","","4","","8","","12","","25","",""
"Flock Impostor","W","U","23861","3.81","5705","4.65","60","5.0%","","6","","16","","22","","36","",""
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","13","0.2%","","2","","2","","4","","9","",""
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","86689","5.19","11786","7.46","112","3.5%","","16","","31","","47","","65","",""
