"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","11610","72.6%","56.4%","2179","54.0%","2579","57.5%","4758","55.9%","6688","56.5%","-0.6pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","4834","31.1%","57.0%","814","54.4%","1156","59.8%","1970","57.6%","2768","56.3%","1.3pp"
"Adept Watershaper","W","R","3169","2.09","1465","2.23","95","","","17","","25","","42","","53","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","76","","","9","","25","","34","","43","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","33","0.9%","","6","","7","","13","","20","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","321","37.8%","","42","","73","","115","","203","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","14","1.4%","","4","","6","","10","","4","",""
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","17","2.9%","","4","","4","","8","","9","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","35","2.8%","","6","","12","","18","","17","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","42","3.5%","","7","","17","","24","","18","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","100","","","18","","26","","44","","54","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","250","44.7%","","33","","60","","93","","157","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","3","0.4%","","0","","1","","1","","2","",""
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","27","1.6%","","4","","6","","10","","17","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","39","4.4%","","4","","10","","14","","24","",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","4","0.1%","","2","","0","","2","","2","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","64959","5.17","8974","7.39","63","2.9%","","9","","16","","25","","38","",""
"Kinbinding","W","R","2760","1.90","1609","1.97","203","29.3%","","31","","55","","86","","118","",""
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","0","0.0%","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","49","9.1%","","9","","12","","21","","28","",""
"Kithkeeper","W","U","26290","5.42","4657","7.24","400","15.0%","","65","","97","","162","","239","",""
"Liminal Hold","W","C","47890","3.83","12204","4.75","682","20.7%","56.2%","105","","201","","306","","378","",""
"Meanders Guide","W","U","20764","4.49","4171","5.67","0","0.0%","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","205","14.5%","","38","","49","","87","","119","",""
"Morningtide's Light","W","M","3352","3.30","766","3.81","65","","","13","","16","","29","","36","",""
"Personify","W","U","23244","4.75","4213","6.23","2","0.1%","","0","","0","","0","","2","",""
"Protective Response","W","U","15318","3.38","4511","3.91","96","11.5%","","13","","28","","41","","55","",""
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","240","18.7%","","46","","53","","99","","141","",""
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","1","0.0%","","0","","1","","1","","0","",""
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","225","31.0%","","46","","38","","84","","138","",""
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","4","0.1%","","0","","2","","2","","2","",""
"Shore Lurker","W","C","77512","6.42","10036","9.14","17","0.4%","","2","","4","","6","","11","",""
"Slumbering Walker","W","R","3082","2.02","1535","2.14","77","10.7%","","15","","20","","35","","42","",""
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","244","9.3%","","45","","68","","113","","131","",""
