"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","3884","52.3%","52.0%","754","51.7%","900","52.3%","1654","52.1%","2166","51.8%","0.2pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","1622","19.2%","49.8%","255","","426","","681","49.3%","912","49.7%","-0.3pp"
"Adept Watershaper","W","R","4244","2.09","1946","2.26","17","","","2","","4","","6","","11","",""
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","36","","","5","","12","","17","","19","",""
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","43456","7.20","5011","10.65","3","0.1%","","1","","0","","1","","2","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","23","","","5","","8","","13","","10","",""
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","3","0.3%","","0","","1","","1","","2","",""
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","0","","","0","","0","","0","","0","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","12","1.5%","","2","","4","","6","","6","",""
"Crib Swap","W","U","32226","5.23","3330","8.01","0","0.0%","","0","","0","","0","","0","",""
"Curious Colossus","W","M","1954","1.79","1100","1.80","37","","","4","","12","","16","","21","",""
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","76","","","14","","21","","35","","41","",""
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","1","0.1%","","0","","1","","1","","0","",""
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","16","1.3%","","3","","5","","8","","8","",""
"Flock Impostor","W","U","23861","3.81","5705","4.65","0","0.0%","","0","","0","","0","","0","",""
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","4","0.1%","","2","","0","","2","","2","",""
"Keep Out","W","C","86689","5.19","11786","7.46","1","0.1%","","0","","0","","0","","1","",""
"Kinbinding","W","R","3560","1.91","2105","1.97","71","","","10","","18","","28","","43","",""
"Kinsbaile Aspirant","W","U","26883","4.43","5939","5.23","0","0.0%","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","4342","2.11","1862","2.26","26","5.1%","","9","","7","","16","","10","",""
"Kithkeeper","W","U","34420","5.39","6041","7.24","76","6.1%","","11","","26","","37","","39","",""
"Liminal Hold","W","C","62961","3.81","15870","4.74","87","4.3%","","10","","26","","36","","53","",""
"Meanders Guide","W","U","27396","4.49","5437","5.69","0","0.0%","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","22673","3.76","5790","4.47","202","16.7%","","42","","50","","92","","110","",""
"Morningtide's Light","W","M","4474","3.32","1010","3.86","19","","","6","","3","","9","","10","",""
"Personify","W","U","30776","4.78","5444","6.30","11","1.0%","","1","","4","","5","","6","",""
"Protective Response","W","U","20209","3.35","5922","3.88","15","3.0%","","3","","3","","6","","9","",""
"Pyrrhic Strike","W","U","20554","3.38","6546","3.85","23","2.6%","","1","","7","","8","","15","",""
"Reluctant Dounguard","W","C","97718","6.07","12040","8.82","0","0.0%","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","4784","2.32","1864","2.53","124","19.7%","","18","","27","","45","","79","",""
"Riverguard's Reflexes","W","C","110502","7.19","13010","10.53","3","0.1%","","1","","1","","2","","1","",""
"Shore Lurker","W","C","102735","6.44","13158","9.20","0","0.0%","","0","","0","","0","","0","",""
"Slumbering Walker","W","R","4081","2.02","2035","2.14","43","6.9%","","8","","10","","18","","25","",""
"Spiral into Solitude","W","C","69614","4.13","15176","5.31","53","3.1%","","9","","14","","23","","30","",""
"Sun-Dappled Celebrant","W","C","96547","5.83","13497","8.22","8","0.3%","","1","","2","","3","","5","",""
"Thoughtweft Imbuer","W","U","25768","4.40","6138","5.13","0","0.0%","","0","","0","","0","","0","",""
"Timid Shieldbearer","W","C","94343","5.72","15278","7.77","4","0.2%","","0","","1","","1","","3","",""
"Tributary Vaulter","W","C","101924","6.49","14534","8.99","0","0.0%","","0","","0","","0","","0","",""
"Wanderbrine Preacher","W","C","93338","5.60","16320","7.48","0","0.0%","","0","","0","","0","","0","",""
"Wanderbrine Trapper","W","U","24136","3.88","7043","4.48","0","0.0%","","0","","0","","0","","0","",""
"Winnowing","W","R","9101","3.75","1875","4.62","3","0.5%","","0","","0","","0","","3","",""
"Aquitect's Defenses","U","C","109493","7.08","13912","10.30","0","0.0%","","0","","0","","0","","0","",""
"Blossombind","U","C","77846","4.62","16914","5.96","23","1.2%","","3","","10","","13","","10","",""
"Champions of the Shoal","U","R","5265","2.63","2144","2.87","6","","","0","","2","","2","","4","",""
"Disruptor of Currents","U","R","4950","2.32","2438","2.52","0","","","0","","0","","0","","0","",""
"Flitterwing Nuisance","U","R","4777","2.36","2192","2.53","33","5.5%","","4","","13","","17","","16","",""
"Glamer Gifter","U","U","24731","3.96","6730","4.76","6","0.6%","","1","","3","","4","","2","",""
"Glamermite","U","C","102385","6.38","14159","9.09","0","0.0%","","0","","0","","0","","0","",""
"Glen Elendra Guardian","U","R","4960","2.34","2241","2.53","30","5.4%","","9","","7","","16","","14","",""
"Glen Elendra's Answer","U","M","5984","3.89","1410","4.70","0","","","0","","0","","0","","0","",""
"Gravelgill Scoundrel","U","C","102418","6.57","16029","8.92","0","0.0%","","0","","0","","0","","0","",""
"Harmonized Crescendo","U","R","8933","3.76","2067","4.57","20","3.9%","","3","","5","","8","","12","",""
"Illusion Spinners","U","U","35867","5.75","4958","8.06","0","0.0%","","0","","0","","0","","0","",""
"Kulrath Mystic","U","C","110029","7.19","15053","10.16","0","0.0%","","0","","0","","0","","0","",""
"Loch Mare","U","M","1821","1.71","1148","1.79","89","","","14","","27","","41","","49","",""
"Lofty Dreams","U","U","32864","5.16","6351","6.70","0","0.0%","","0","","0","","0","","0","",""
"Mirrorform","U","M","4024","3.26","1244","3.55","0","","","0","","0","","0","","0","",""
"Noggle the Mind","U","U","28850","4.53","5233","5.91","0","0.0%","","0","","0","","0","","0","",""
"Oko, Lorwyn Liege","U","M","1882","1.72","1140","1.73","41","","","2","","17","","19","","21","",""
"Omni-Changeling","U","U","24031","3.87","7014","4.56","4","0.5%","","1","","0","","1","","3","",""
"Pestered Wellguard","U","U","24460","4.01","5842","4.89","6","0.8%","","1","","0","","1","","5","",""
"Rime Chill","U","U","37379","5.74","6139","7.75","10","0.7%","","2","","2","","4","","6","",""
"Rimefire Torque","U","R","16707","5.70","1967","8.66","3","0.3%","","0","","0","","0","","3","",""
"Rimekin Recluse","U","U","18724","3.18","7750","3.56","81","8.0%","","9","","18","","27","","54","",""
"Run Away Together","U","C","109254","7.13","14122","10.28","5","0.1%","","0","","1","","1","","4","",""
"Shinestriker","U","U","25649","4.16","7694","4.79","52","5.3%","","9","","17","","26","","26","",""
"Silvergill Mentor","U","U","26181","4.29","6851","5.06","0","0.0%","","0","","0","","0","","0","",""
"Silvergill Peddler","U","C","104937","6.63","15742","9.17","0","0.0%","","0","","0","","0","","0","",""
"Spell Snare","U","U","41307","6.68","4951","9.85","0","0.0%","","0","","0","","0","","0","",""
"Stratosoarer","U","C","102530","6.20","14778","8.80","1","0.0%","","0","","1","","1","","0","",""
"Summit Sentinel","U","C","102400","6.39","15614","8.89","0","0.0%","","0","","0","","0","","0","",""
"Sunderflock","U","R","5199","2.59","2088","2.72","18","","","5","","5","","10","","8","",""
"Swat Away","U","U","29324","4.60","6845","5.78","0","0.0%","","0","","0","","0","","0","",""
"Sygg, Wanderwine Wisdom","U","R","4399","2.25","2093","2.41","22","","","7","","4","","11","","11","",""
"Tanufel Rimespeaker","U","U","26008","4.32","6698","5.19","0","0.0%","","0","","0","","0","","0","",""
"Temporal Cleansing","U","C","98980","5.95","18523","7.98","0","0.0%","","0","","1","","1","","0","",""
"Thirst for Identity","U","U","34806","5.45","5388","7.53","3","0.2%","","0","","0","","0","","3","",""
"Unexpected Assistance","U","C","93171","5.59","17809","7.36","0","0.0%","","0","","0","","0","","0","",""
"Unwelcome Sprite","U","U","28003","4.45","7059","5.41","0","0.0%","","0","","0","","0","","0","",""
"Wanderwine Distracter","U","C","110441","7.43","13452","10.77","0","0.0%","","0","","0","","0","","0","",""
"Wanderwine Farewell","U","U","30810","4.91","6823","6.09","0","0.0%","","0","","0","","0","","0","",""
"Wild Unraveling","U","C","108083","7.02","14683","9.99","0","0.0%","","0","","0","","0","","0","",""
"Auntie's Sentence","B","C","96021","5.72","13205","8.12","11876","59.9%","51.3%","2126","50.8%","2784","50.2%","4910","50.4%","6966","51.9%","-1.4pp"
"Barbed Bloodletter","B","C","110561","7.21","13034","10.57","4094","24.7%","50.9%","715","51.5%","956","52.7%","1671","52.2%","2425","49.9%","2.2pp"
"Bile-Vial Boggart","B","C","101262","6.30","12761","9.01","28558","83.1%","52.7%","5189","54.2%","6708","51.3%","11897","52.5%","16248","52.5%","0.1pp"
"Bitterbloom Bearer","B","M","1807","1.72","973","1.76","1931","99.8%","55.0%","357","","466","","823","58.1%","1110","52.8%","5.3pp"
"Blight Rot","B","C","59631","3.70","14855","4.53","20660","95.8%","52.7%","3476","51.6%","4977","54.0%","8453","53.0%","12211","52.5%","0.5pp"
"Blighted Blackthorn","B","C","105873","6.65","13339","9.66","7687","41.9%","50.1%","1261","48.4%","1933","51.3%","3194","50.1%","4528","50.0%","0.1pp"
"Bloodline Bidding","B","R","7164","3.17","2126","3.50","2837","85.3%","51.0%","469","","717","54.3%","1186","52.5%","1654","50.1%","2.5pp"
"Boggart Mischief","B","U","24488","4.18","5167","4.98","22004","98.8%","54.8%","3919","54.5%","5311","59.6%","9230","57.4%","12053","52.0%","5.4pp"
"Boggart Prankster","B","C","105184","6.79","13345","9.60","33980","87.1%","53.2%","6092","53.8%","7922","52.3%","14014","53.0%","19461","53.1%","-0.1pp"
"Bogslither's Embrace","B","C","62351","3.80","15411","4.70","24856","98.3%","53.7%","4202","52.8%","6122","55.6%","10324","54.5%","14543","53.1%","1.4pp"
"Champion of the Weird","B","R","6119","2.88","1808","3.29","8290","99.7%","56.3%","1389","63.6%","2003","58.5%","3392","60.6%","4654","52.4%","8.2pp"
"Creakwood Safewright","B","U","22846","3.80","6369","4.42","1318","41.1%","52.6%","232","","309","","541","56.4%","777","49.9%","6.4pp"
"Darkness Descends","B","U","37626","6.03","4379","8.85","1306","24.6%","47.3%","213","","349","","562","47.0%","745","47.5%","-0.5pp"
"Dawnhand Dissident","B","R","4982","2.38","2223","2.53","3702","96.9%","55.2%","679","62.9%","894","56.9%","1573","59.5%","2135","52.0%","7.5pp"
"Dawnhand Eulogist","B","C","94558","5.92","17511","7.58","976","11.8%","52.2%","150","","276","","426","","546","49.8%",""
"Dose of Dawnglow","B","U","36311","5.63","5023","8.02","1634","31.0%","49.1%","259","","399","","658","47.1%","977","50.5%","-3.3pp"
"Dream Seizer","B","C","104169","6.52","13290","9.38","7846","43.4%","51.1%","1352","50.3%","1899","52.9%","3251","51.8%","4600","50.6%","1.2pp"
"Gloom Ripper","B","R","5028","2.45","2158","2.58","817","53.3%","54.1%","137","","217","","354","","465","",""
"Gnarlbark Elm","B","U","23780","3.86","5303","4.72","8723","90.1%","52.3%","1514","52.2%","2125","53.6%","3639","53.0%","5120","51.8%","1.2pp"
"Graveshifter","B","U","21229","3.43","6069","4.10","9219","94.0%","53.1%","1540","50.5%","2298","54.4%","3838","52.8%","5168","52.7%","0.1pp"
"Grub, Storied Matriarch","B","R","6687","3.03","1807","3.55","8441","99.7%","55.3%","1513","55.0%","2044","60.6%","3557","58.2%","4647","52.3%","5.9pp"
"Gutsplitter Gang","B","U","32086","5.21","4836","6.94","12711","88.1%","52.2%","2147","53.1%","3123","51.5%","5270","52.2%","7234","51.7%","0.5pp"
"Heirloom Auntie","B","C","102111","6.57","11985","9.48","22462","72.6%","50.6%","3828","47.2%","5421","50.6%","9249","49.2%","12849","51.3%","-2.1pp"
