"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","56341","72.2%","53.8%","10474","52.3%","13719","55.4%","24193","54.1%","31388","53.3%","0.8pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","15127","23.2%","54.5%","2506","51.8%","3816","57.5%","6322","55.2%","8540","53.5%","1.8pp"
"Adept Watershaper","W","R","3169","2.09","1465","2.23","10789","89.0%","55.6%","1942","56.2%","2748","58.3%","4690","57.5%","6037","54.0%","3.4pp"
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","6281","86.2%","56.2%","1169","63.6%","1571","59.6%","2740","61.3%","3571","52.3%","9.0pp"
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","8586","13.4%","52.7%","1321","48.0%","2011","51.8%","3332","50.3%","5254","54.2%","-3.9pp"
"Bark of Doran","W","U","32625","7.18","3778","10.58","2222","9.6%","48.3%","362","","532","48.9%","894","48.7%","1329","48.1%","0.6pp"
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","10710","85.2%","56.0%","1928","61.4%","2550","60.4%","4478","60.8%","6021","51.9%","8.9pp"
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","17464","71.5%","53.2%","3126","53.2%","4124","53.5%","7250","53.4%","10240","53.1%","0.2pp"
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","8847","75.4%","54.9%","1501","55.3%","2057","56.1%","3558","55.7%","5055","53.9%","1.8pp"
"Clachan Festival","W","U","17627","3.88","4292","4.72","22159","79.3%","55.8%","3857","56.3%","5123","58.0%","8980","57.3%","12851","54.3%","3.0pp"
"Crib Swap","W","U","24305","5.20","2522","7.93","6364","40.9%","51.1%","1077","47.5%","1517","51.9%","2594","50.1%","3673","51.5%","-1.4pp"
"Curious Colossus","W","M","1529","1.79","843","1.80","6362","84.9%","56.1%","1039","57.4%","1637","66.6%","2676","63.0%","3680","51.2%","11.9pp"
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","6350","88.0%","54.9%","1055","60.4%","1640","63.2%","2695","62.1%","3660","49.6%","12.4pp"
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","26630","86.6%","55.4%","4948","59.2%","6297","54.1%","11245","56.4%","15101","54.4%","2.0pp"
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","11609","47.5%","53.7%","1949","50.2%","2733","54.9%","4682","52.9%","6936","54.1%","-1.2pp"
"Flock Impostor","W","U","17995","3.80","4354","4.64","23219","83.6%","54.8%","4020","53.9%","5569","56.2%","9589","55.2%","13259","54.2%","1.0pp"
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","30881","47.7%","54.9%","5114","52.8%","7056","56.4%","12170","54.9%","18181","54.6%","0.3pp"
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","31387","47.9%","53.7%","5711","53.6%","6795","51.8%","12506","52.6%","18631","54.3%","-1.7pp"
"Keep Out","W","C","64959","5.17","8974","7.39","34961","62.8%","53.1%","5974","51.5%","8349","53.4%","14323","52.6%","20646","53.5%","-0.9pp"
"Kinbinding","W","R","2760","1.90","1609","1.97","13238","90.3%","57.5%","2248","63.4%","3453","65.5%","5701","64.7%","7589","52.1%","12.6pp"
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","22240","73.0%","56.1%","4047","61.5%","4964","54.3%","9011","57.5%","12989","54.9%","2.7pp"
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","10231","85.0%","54.9%","1841","59.0%","2430","57.1%","4271","57.9%","5879","52.4%","5.5pp"
"Kithkeeper","W","U","26290","5.42","4657","7.24","13542","46.5%","52.1%","2245","47.6%","3561","57.5%","5806","53.7%","7629","50.6%","3.1pp"
