"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","2069","79.7%","52.0%","406","","508","52.4%","914","51.1%","1142","52.8%","-1.7pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","429","26.5%","","66","","127","","193","","236","",""
"Adept Watershaper","W","R","4244","2.09","1946","2.26","42","","","6","","8","","14","","28","",""
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","29","","","5","","6","","11","","19","",""
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","2","0.3%","","1","","0","","1","","1","",""
"Bark of Doran","W","U","43456","7.20","5011","10.65","0","","","0","","0","","0","","0","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","113","","","19","","30","","49","","68","",""
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","26","","","3","","8","","11","","15","",""
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","3","","","0","","1","","1","","2","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","9","","","1","","1","","2","","6","",""
"Crib Swap","W","U","32226","5.23","3330","8.01","13","","","4","","4","","8","","5","",""
"Curious Colossus","W","M","1954","1.79","1100","1.80","99","","","11","","27","","38","","59","",""
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","35","","","4","","9","","13","","21","",""
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","0","","","0","","0","","0","","0","",""
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","6","","","1","","2","","3","","3","",""
"Flock Impostor","W","U","23861","3.81","5705","4.65","28","","","6","","5","","11","","17","",""
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","0","","","0","","0","","0","","0","",""
"Keep Out","W","C","86689","5.19","11786","7.46","36","","","8","","7","","15","","21","",""
"Kinbinding","W","R","3560","1.91","2105","1.97","121","","","20","","30","","50","","71","",""
"Kinsbaile Aspirant","W","U","26883","4.43","5939","5.23","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","4342","2.11","1862","2.26","8","","","2","","3","","5","","3","",""
"Kithkeeper","W","U","34420","5.39","6041","7.24","699","74.0%","52.4%","122","","189","","311","","380","",""
"Liminal Hold","W","C","62961","3.81","15870","4.74","357","54.9%","","52","","91","","143","","214","",""
"Meanders Guide","W","U","27396","4.49","5437","5.69","0","","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","22673","3.76","5790","4.47","103","","","22","","28","","50","","53","",""
"Morningtide's Light","W","M","4474","3.32","1010","3.86","16","","","3","","4","","7","","9","",""
"Personify","W","U","30776","4.78","5444","6.30","20","","","4","","4","","8","","12","",""
"Protective Response","W","U","20209","3.35","5922","3.88","57","","","6","","26","","32","","25","",""
"Pyrrhic Strike","W","U","20554","3.38","6546","3.85","97","","","20","","24","","44","","53","",""
"Reluctant Dounguard","W","C","97718","6.07","12040","8.82","6","","","1","","1","","2","","4","",""
"Rhys, the Evermore","W","R","4784","2.32","1864","2.53","16","","","2","","4","","6","","10","",""
"Riverguard's Reflexes","W","C","110502","7.19","13010","10.53","0","0.0%","","0","","0","","0","","0","",""
"Shore Lurker","W","C","102735","6.44","13158","9.20","0","","","0","","0","","0","","0","",""
"Slumbering Walker","W","R","4081","2.02","2035","2.14","41","","","8","","11","","19","","22","",""
"Spiral into Solitude","W","C","69614","4.13","15176","5.31","185","","","36","","47","","83","","102","",""
"Sun-Dappled Celebrant","W","C","96547","5.83","13497","8.22","13","","","2","","5","","7","","6","",""
"Thoughtweft Imbuer","W","U","25768","4.40","6138","5.13","6","","","0","","2","","2","","4","",""
"Timid Shieldbearer","W","C","94343","5.72","15278","7.77","0","","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","101924","6.49","14534","8.99","0","","","0","","0","","0","","0","",""
"Wanderbrine Preacher","W","C","93338","5.60","16320","7.48","0","","","0","","0","","0","","0","",""
"Wanderbrine Trapper","W","U","24136","3.88","7043","4.48","21","","","2","","5","","7","","14","",""
"Winnowing","W","R","9101","3.75","1875","4.62","4","","","0","","1","","1","","3","",""
"Aquitect's Defenses","U","C","109493","7.08","13912","10.30","5","0.6%","","1","","3","","4","","1","",""
"Blossombind","U","C","77846","4.62","16914","5.96","145","24.9%","","33","","38","","71","","74","",""
"Champions of the Shoal","U","R","5265","2.63","2144","2.87","10","","","2","","3","","5","","5","",""
"Disruptor of Currents","U","R","4950","2.32","2438","2.52","19","","","5","","9","","14","","5","",""
"Flitterwing Nuisance","U","R","4777","2.36","2192","2.53","34","","","5","","12","","17","","17","",""
"Glamer Gifter","U","U","24731","3.96","6730","4.76","3","","","0","","1","","1","","2","",""
"Glamermite","U","C","102385","6.38","14159","9.09","12","2.2%","","2","","2","","4","","8","",""
"Glen Elendra Guardian","U","R","4960","2.34","2241","2.53","37","","","4","","9","","13","","24","",""
"Glen Elendra's Answer","U","M","5984","3.89","1410","4.70","8","","","2","","4","","6","","2","",""
"Gravelgill Scoundrel","U","C","102418","6.57","16029","8.92","1","","","0","","0","","0","","1","",""
"Harmonized Crescendo","U","R","8933","3.76","2067","4.57","8","","","1","","3","","4","","4","",""
"Illusion Spinners","U","U","35867","5.75","4958","8.06","16","","","4","","4","","8","","8","",""
"Kulrath Mystic","U","C","110029","7.19","15053","10.16","11","1.0%","","1","","4","","5","","6","",""
"Loch Mare","U","M","1821","1.71","1148","1.79","65","","","14","","14","","28","","39","",""
"Lofty Dreams","U","U","32864","5.16","6351","6.70","0","","","0","","0","","0","","0","",""
"Mirrorform","U","M","4024","3.26","1244","3.55","39","","","5","","9","","14","","25","",""
"Noggle the Mind","U","U","28850","4.53","5233","5.91","13","","","2","","0","","2","","11","",""
"Oko, Lorwyn Liege","U","M","1882","1.72","1140","1.73","147","","","23","","53","","76","","71","",""
"Omni-Changeling","U","U","24031","3.87","7014","4.56","23","","","5","","2","","7","","16","",""
"Pestered Wellguard","U","U","24460","4.01","5842","4.89","6","","","1","","3","","4","","2","",""
"Rime Chill","U","U","37379","5.74","6139","7.75","198","36.1%","","31","","43","","74","","124","",""
"Rimefire Torque","U","R","16707","5.70","1967","8.66","3","","","1","","0","","1","","2","",""
"Rimekin Recluse","U","U","18724","3.18","7750","3.56","157","","","32","","36","","68","","89","",""
"Run Away Together","U","C","109254","7.13","14122","10.28","17","1.9%","","3","","6","","9","","9","",""
"Shinestriker","U","U","25649","4.16","7694","4.79","467","68.6%","","75","","117","","192","","264","",""
"Silvergill Mentor","U","U","26181","4.29","6851","5.06","0","","","0","","0","","0","","0","",""
"Silvergill Peddler","U","C","104937","6.63","15742","9.17","2","0.3%","","0","","0","","0","","2","",""
"Spell Snare","U","U","41307","6.68","4951","9.85","0","","","0","","0","","0","","0","",""
"Stratosoarer","U","C","102530","6.20","14778","8.80","108","10.8%","","21","","27","","48","","60","",""
"Summit Sentinel","U","C","102400","6.39","15614","8.89","12","1.4%","","4","","1","","5","","7","",""
"Sunderflock","U","R","5199","2.59","2088","2.72","175","","","28","","44","","72","","99","",""
"Swat Away","U","U","29324","4.60","6845","5.78","0","","","0","","0","","0","","0","",""
"Sygg, Wanderwine Wisdom","U","R","4399","2.25","2093","2.41","36","","","6","","10","","16","","20","",""
"Tanufel Rimespeaker","U","U","26008","4.32","6698","5.19","203","","","36","","48","","84","","116","",""
"Temporal Cleansing","U","C","98980","5.95","18523","7.98","56","6.6%","","4","","15","","19","","37","",""
"Thirst for Identity","U","U","34806","5.45","5388","7.53","39","","","5","","11","","16","","23","",""
"Unexpected Assistance","U","C","93171","5.59","17809","7.36","49","6.1%","","8","","13","","21","","28","",""
"Unwelcome Sprite","U","U","28003","4.45","7059","5.41","9","","","2","","3","","5","","4","",""
"Wanderwine Distracter","U","C","110441","7.43","13452","10.77","0","0.0%","","0","","0","","0","","0","",""
"Wanderwine Farewell","U","U","30810","4.91","6823","6.09","15","","","1","","6","","7","","8","",""
"Wild Unraveling","U","C","108083","7.02","14683","9.99","0","0.0%","","0","","0","","0","","0","",""
"Auntie's Sentence","B","C","96021","5.72","13205","8.12","7","","","3","","1","","4","","3","",""
"Barbed Bloodletter","B","C","110561","7.21","13034","10.57","0","0.0%","","0","","0","","0","","0","",""
"Bile-Vial Boggart","B","C","101262","6.30","12761","9.01","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","1807","1.72","973","1.76","14","","","0","","4","","4","","10","",""
"Blight Rot","B","C","59631","3.70","14855","4.53","184","34.1%","","21","","61","","82","","102","",""
"Blighted Blackthorn","B","C","105873","6.65","13339","9.66","44","6.2%","","7","","18","","25","","19","",""
"Bloodline Bidding","B","R","7164","3.17","2126","3.50","1","","","1","","0","","1","","0","",""
"Boggart Mischief","B","U","24488","4.18","5167","4.98","0","","","0","","0","","0","","0","",""
"Boggart Prankster","B","C","105184","6.79","13345","9.60","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","62351","3.80","15411","4.70","275","42.6%","","48","","66","","114","","161","",""
"Champion of the Weird","B","R","6119","2.88","1808","3.29","31","","","2","","12","","14","","17","",""
"Creakwood Safewright","B","U","22846","3.80","6369","4.42","21","","","4","","3","","7","","14","",""
"Darkness Descends","B","U","37626","6.03","4379","8.85","0","","","0","","0","","0","","0","",""
"Dawnhand Dissident","B","R","4982","2.38","2223","2.53","32","","","9","","6","","15","","17","",""
"Dawnhand Eulogist","B","C","94558","5.92","17511","7.58","0","0.0%","","0","","0","","0","","0","",""
"Dose of Dawnglow","B","U","36311","5.63","5023","8.02","16","","","3","","3","","6","","10","",""
"Dream Seizer","B","C","104169","6.52","13290","9.38","0","0.0%","","0","","0","","0","","0","",""
"Gloom Ripper","B","R","5028","2.45","2158","2.58","5","","","1","","1","","2","","0","",""
"Gnarlbark Elm","B","U","23780","3.86","5303","4.72","46","","","12","","9","","21","","25","",""
"Graveshifter","B","U","21229","3.43","6069","4.10","168","","","32","","38","","70","","95","",""
"Grub, Storied Matriarch","B","R","6687","3.03","1807","3.55","50","","","8","","14","","22","","27","",""
"Gutsplitter Gang","B","U","32086","5.21","4836","6.94","0","","","0","","0","","0","","0","",""
"Heirloom Auntie","B","C","102111","6.57","11985","9.48","0","","","0","","0","","0","","0","",""
"Iron-Shield Elf","B","U","25905","4.11","6920","4.86","0","","","0","","0","","0","","0","",""
"Moonglove Extractor","B","C","100363","6.23","13129","8.91","0","","","0","","0","","0","","0","",""
"Moonshadow","B","M","2117","1.93","971","2.03","13","","","1","","4","","5","","8","",""
"Mornsong Aria","B","R","17474","5.80","2063","9.05","0","","","0","","0","","0","","0","",""
"Mudbutton Cursetosser","B","U","30119","4.80","5318","6.10","0","","","0","","0","","0","","0","",""
"Nameless Inversion","B","U","18057","3.05","6294","3.52","79","","","19","","14","","33","","46","",""
"Nightmare Sower","B","U","29561","4.78","4453","6.38","5","","","0","","4","","4","","1","",""
"Perfect Intimidation","B","U","40610","6.44","4457","9.79","0","","","0","","0","","0","","0","",""
"Requiting Hex","B","U","28544","4.49","5196","5.82","3","","","0","","1","","1","","2","",""
"Retched Wretch","B","U","33284","5.26","5082","7.11","0","","","0","","0","","0","","0","",""
"Scarblade Scout","B","C","87455","5.37","16989","6.89","12","2.3%","","3","","2","","5","","7","",""
"Scarblade's Malice","B","C","102885","6.37","12948","9.26","3","0.6%","","1","","0","","1","","2","",""
"Shimmercreep","B","U","33837","5.17","6232","6.87","812","73.9%","52.5%","128","","207","","335","","471","",""
"Taster of Wares","B","R","5961","2.71","2209","2.95","65","","","11","","12","","23","","42","",""
"Twilight Diviner","B","R","6742","2.99","2033","3.48","6","","","2","","1","","3","","3","",""
"Unbury","B","U","26729","4.14","6039","5.21","49","","","7","","15","","22","","27","",""
