"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","2137","78.7%","51.7%","378","","530","53.2%","908","53.0%","1215","50.7%","2.3pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","603","29.5%","47.9%","98","","156","","254","","349","",""
"Adept Watershaper","W","R","4244","2.09","1946","2.26","15","","","1","","6","","7","","8","",""
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","14","","","2","","4","","6","","8","",""
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","43456","7.20","5011","10.65","0","","","0","","0","","0","","0","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","4","","","1","","0","","1","","3","",""
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","5","","","1","","2","","3","","2","",""
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","1","","","0","","1","","1","","0","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","0","","","0","","0","","0","","0","",""
"Crib Swap","W","U","32226","5.23","3330","8.01","6","","","0","","1","","1","","5","",""
"Curious Colossus","W","M","1954","1.79","1100","1.80","18","","","3","","5","","8","","10","",""
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","37","","","7","","9","","16","","21","",""
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","0","","","0","","0","","0","","0","",""
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","0","","","0","","0","","0","","0","",""
"Flock Impostor","W","U","23861","3.81","5705","4.65","10","","","3","","2","","5","","5","",""
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","86689","5.19","11786","7.46","13","2.5%","","2","","2","","4","","9","",""
"Kinbinding","W","R","3560","1.91","2105","1.97","4","","","0","","0","","0","","4","",""
"Kinsbaile Aspirant","W","U","26883","4.43","5939","5.23","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","4342","2.11","1862","2.26","13","","","0","","4","","4","","9","",""
"Kithkeeper","W","U","34420","5.39","6041","7.24","48","","","7","","17","","24","","22","",""
"Liminal Hold","W","C","62961","3.81","15870","4.74","53","","","15","","10","","25","","29","",""
"Meanders Guide","W","U","27396","4.49","5437","5.69","3","","","1","","2","","3","","0","",""
"Moonlit Lamenter","W","U","22673","3.76","5790","4.47","34","","","9","","9","","18","","16","",""
"Morningtide's Light","W","M","4474","3.32","1010","3.86","6","","","0","","2","","2","","4","",""
"Personify","W","U","30776","4.78","5444","6.30","19","","","2","","6","","8","","11","",""
"Protective Response","W","U","20209","3.35","5922","3.88","16","","","4","","3","","7","","9","",""
"Pyrrhic Strike","W","U","20554","3.38","6546","3.85","14","","","0","","4","","4","","10","",""
"Reluctant Dounguard","W","C","97718","6.07","12040","8.82","0","0.0%","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","4784","2.32","1864","2.53","13","","","4","","1","","5","","8","",""
"Riverguard's Reflexes","W","C","110502","7.19","13010","10.53","3","0.3%","","0","","0","","0","","3","",""
"Shore Lurker","W","C","102735","6.44","13158","9.20","8","0.9%","","1","","4","","5","","3","",""
"Slumbering Walker","W","R","4081","2.02","2035","2.14","1","","","0","","0","","0","","1","",""
"Spiral into Solitude","W","C","69614","4.13","15176","5.31","8","","","3","","1","","4","","4","",""
"Sun-Dappled Celebrant","W","C","96547","5.83","13497","8.22","4","0.7%","","0","","0","","0","","4","",""
"Thoughtweft Imbuer","W","U","25768","4.40","6138","5.13","0","","","0","","0","","0","","0","",""
"Timid Shieldbearer","W","C","94343","5.72","15278","7.77","0","","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","101924","6.49","14534","8.99","2","0.2%","","0","","1","","1","","1","",""
"Wanderbrine Preacher","W","C","93338","5.60","16320","7.48","0","0.0%","","0","","0","","0","","0","",""
"Wanderbrine Trapper","W","U","24136","3.88","7043","4.48","0","","","0","","0","","0","","0","",""
"Winnowing","W","R","9101","3.75","1875","4.62","0","","","0","","0","","0","","0","",""
"Aquitect's Defenses","U","C","109493","7.08","13912","10.30","3218","58.0%","49.5%","529","49.7%","826","50.6%","1355","50.3%","1866","48.9%","1.3pp"
"Blossombind","U","C","77846","4.62","16914","5.96","5784","92.5%","49.3%","1036","48.5%","1488","51.6%","2524","50.3%","3262","48.6%","1.7pp"
"Champions of the Shoal","U","R","5265","2.63","2144","2.87","505","77.1%","50.7%","83","","138","","221","","286","",""
"Disruptor of Currents","U","R","4950","2.32","2438","2.52","1002","100.0%","50.6%","171","","273","","444","","561","48.0%",""
"Flitterwing Nuisance","U","R","4777","2.36","2192","2.53","1458","100.0%","51.2%","265","","382","","647","59.5%","811","44.6%","14.9pp"
"Glamer Gifter","U","U","24731","3.96","6730","4.76","3875","99.4%","50.4%","661","51.4%","1072","56.0%","1733","54.2%","2133","47.3%","6.9pp"
"Glamermite","U","C","102385","6.38","14159","9.09","8200","91.1%","49.2%","1440","47.4%","2028","53.9%","3468","51.2%","4712","47.6%","3.6pp"
"Glen Elendra Guardian","U","R","4960","2.34","2241","2.53","1612","100.0%","49.1%","301","","412","","713","56.0%","900","43.8%","12.2pp"
"Glen Elendra's Answer","U","M","5984","3.89","1410","4.70","644","89.9%","52.0%","109","","168","","277","","367","",""
"Gravelgill Scoundrel","U","C","102418","6.57","16029","8.92","1827","45.5%","47.8%","331","","447","","778","50.4%","1047","45.8%","4.5pp"
"Harmonized Crescendo","U","R","8933","3.76","2067","4.57","485","71.2%","","75","","131","","206","","279","",""
"Illusion Spinners","U","U","35867","5.75","4958","8.06","3683","90.1%","49.6%","612","48.2%","972","55.5%","1584","52.7%","2103","47.5%","5.1pp"
"Kulrath Mystic","U","C","110029","7.19","15053","10.16","1195","32.0%","50.1%","219","","325","","544","48.7%","652","51.4%","-2.7pp"
"Loch Mare","U","M","1821","1.71","1148","1.79","687","100.0%","53.1%","125","","167","","292","","399","",""
"Lofty Dreams","U","U","32864","5.16","6351","6.70","1084","61.7%","48.2%","174","","314","","488","","597","47.9%",""
"Mirrorform","U","M","4024","3.26","1244","3.55","418","","","63","","109","","172","","246","",""
"Noggle the Mind","U","U","28850","4.53","5233","5.91","2000","92.6%","49.5%","336","","530","56.8%","866","54.6%","1134","45.5%","9.1pp"
"Oko, Lorwyn Liege","U","M","1882","1.72","1140","1.73","256","","","46","","72","","118","","139","",""
"Omni-Changeling","U","U","24031","3.87","7014","4.56","2203","91.1%","50.5%","377","","562","55.2%","939","52.0%","1257","49.2%","2.7pp"
"Pestered Wellguard","U","U","24460","4.01","5842","4.89","1675","83.4%","47.8%","312","","441","","753","48.1%","925","47.6%","0.5pp"
"Rime Chill","U","U","37379","5.74","6139","7.75","1160","57.3%","49.0%","174","","320","","494","","667","46.2%",""
"Rimefire Torque","U","R","16707","5.70","1967","8.66","42","","","6","","12","","18","","24","",""
"Rimekin Recluse","U","U","18724","3.18","7750","3.56","2825","98.9%","52.6%","519","56.8%","751","56.9%","1270","56.9%","1549","49.1%","7.8pp"
"Run Away Together","U","C","109254","7.13","14122","10.28","3400","58.1%","48.6%","573","41.0%","850","49.6%","1423","46.2%","1979","50.4%","-4.2pp"
"Shinestriker","U","U","25649","4.16","7694","4.79","1301","79.2%","50.8%","202","","372","","574","54.7%","721","47.4%","7.3pp"
"Silvergill Mentor","U","U","26181","4.29","6851","5.06","1035","65.1%","51.4%","189","","256","","445","","588","51.4%",""
"Silvergill Peddler","U","C","104937","6.63","15742","9.17","1736","44.2%","47.5%","321","","431","","752","48.7%","990","46.8%","1.9pp"
"Spell Snare","U","U","41307","6.68","4951","9.85","812","47.7%","43.8%","147","","200","","347","","465","",""
"Stratosoarer","U","C","102530","6.20","14778","8.80","2640","58.7%","48.8%","486","","711","50.4%","1197","49.1%","1450","48.6%","0.6pp"
"Summit Sentinel","U","C","102400","6.39","15614","8.89","3902","71.7%","48.2%","734","49.3%","965","48.5%","1699","48.9%","2201","47.8%","1.1pp"
"Sunderflock","U","R","5199","2.59","2088","2.72","463","82.1%","","80","","139","","219","","243","",""
"Swat Away","U","U","29324","4.60","6845","5.78","2875","95.3%","49.8%","465","","749","52.5%","1214","51.0%","1663","49.0%","2.0pp"
"Sygg, Wanderwine Wisdom","U","R","4399","2.25","2093","2.41","596","97.5%","49.2%","108","","163","","271","","324","",""
"Tanufel Rimespeaker","U","U","26008","4.32","6698","5.19","1620","83.0%","50.6%","263","","463","","726","51.4%","897","49.8%","1.5pp"
"Temporal Cleansing","U","C","98980","5.95","18523","7.98","4007","70.7%","49.8%","688","44.2%","1038","52.3%","1726","49.1%","2282","50.3%","-1.2pp"
"Thirst for Identity","U","U","34806","5.45","5388","7.53","2240","82.2%","48.9%","383","","533","52.7%","916","52.0%","1324","46.8%","5.2pp"
"Unexpected Assistance","U","C","93171","5.59","17809","7.36","5557","87.2%","50.4%","982","47.5%","1457","53.6%","2439","51.1%","3121","49.8%","1.3pp"
"Unwelcome Sprite","U","U","28003","4.45","7059","5.41","4266","99.0%","49.9%","774","51.2%","1032","54.6%","1806","53.1%","2455","47.6%","5.5pp"
"Wanderwine Distracter","U","C","110441","7.43","13452","10.77","635","19.6%","46.1%","117","","166","","283","","351","",""
"Wanderwine Farewell","U","U","30810","4.91","6823","6.09","801","53.7%","46.9%","132","","221","","353","","446","",""
"Wild Unraveling","U","C","108083","7.02","14683","9.99","5149","73.3%","49.5%","856","48.6%","1325","52.9%","2181","51.2%","2969","48.2%","3.1pp"
"Auntie's Sentence","B","C","96021","5.72","13205","8.12","3391","71.5%","48.8%","600","48.3%","865","51.4%","1465","50.2%","1927","47.8%","2.4pp"
"Barbed Bloodletter","B","C","110561","7.21","13034","10.57","2028","43.9%","50.2%","322","","552","53.1%","874","52.6%","1154","48.4%","4.3pp"
"Bile-Vial Boggart","B","C","101262","6.30","12761","9.01","1756","50.0%","47.3%","331","","413","","744","46.6%","1011","47.6%","-0.9pp"
"Bitterbloom Bearer","B","M","1807","1.72","973","1.76","1158","100.0%","50.0%","215","","316","","531","55.7%","633","45.7%","10.1pp"
"Blight Rot","B","C","59631","3.70","14855","4.53","6733","98.7%","52.1%","1195","53.1%","1679","54.4%","2874","53.8%","3862","50.8%","3.1pp"
"Blighted Blackthorn","B","C","105873","6.65","13339","9.66","1471","37.7%","47.5%","232","","401","","633","48.5%","843","46.9%","1.6pp"
"Bloodline Bidding","B","R","7164","3.17","2126","3.50","295","","","52","","74","","126","","170","",""
"Boggart Mischief","B","U","24488","4.18","5167","4.98","306","43.2%","","44","","86","","130","","176","",""
"Boggart Prankster","B","C","105184","6.79","13345","9.60","422","18.5%","","87","","115","","202","","219","",""
"Bogslither's Embrace","B","C","62351","3.80","15411","4.70","5681","96.9%","50.2%","980","48.5%","1562","54.9%","2542","52.4%","3141","48.3%","4.1pp"
"Champion of the Weird","B","R","6119","2.88","1808","3.29","293","","","51","","78","","129","","166","",""
"Creakwood Safewright","B","U","22846","3.80","6369","4.42","923","77.0%","50.5%","175","","242","","417","","505","47.7%",""
"Darkness Descends","B","U","37626","6.03","4379","8.85","605","37.5%","44.8%","83","","163","","246","","360","",""
"Dawnhand Dissident","B","R","4982","2.38","2223","2.53","733","95.4%","50.5%","116","","215","","331","","404","",""
"Dawnhand Eulogist","B","C","94558","5.92","17511","7.58","839","33.9%","51.7%","135","","240","","375","","464","",""
"Dose of Dawnglow","B","U","36311","5.63","5023","8.02","641","45.7%","46.0%","94","","156","","250","","391","",""
"Dream Seizer","B","C","104169","6.52","13290","9.38","5833","77.6%","49.1%","979","46.3%","1558","50.3%","2537","48.7%","3289","49.3%","-0.6pp"
"Gloom Ripper","B","R","5028","2.45","2158","2.58","534","87.8%","56.2%","84","","147","","231","","303","",""
"Gnarlbark Elm","B","U","23780","3.86","5303","4.72","2146","91.8%","51.6%","376","","581","55.6%","957","53.3%","1202","50.2%","3.1pp"
"Graveshifter","B","U","21229","3.43","6069","4.10","2095","96.9%","50.4%","370","","526","54.4%","896","51.5%","1185","49.3%","2.2pp"
"Grub, Storied Matriarch","B","R","6687","3.03","1807","3.55","53","","","7","","13","","20","","33","",""
"Gutsplitter Gang","B","U","32086","5.21","4836","6.94","652","57.4%","51.5%","124","","163","","287","","366","",""
"Heirloom Auntie","B","C","102111","6.57","11985","9.48","914","32.1%","45.6%","165","","228","","393","","521","46.4%",""
"Iron-Shield Elf","B","U","25905","4.11","6920","4.86","1663","89.3%","50.5%","299","","427","","726","54.5%","940","47.2%","7.3pp"
"Moonglove Extractor","B","C","100363","6.23","13129","8.91","1419","45.3%","44.5%","235","","357","","592","45.6%","829","43.8%","1.8pp"
"Moonshadow","B","M","2117","1.93","971","2.03","441","","","81","","117","","198","","245","",""
"Mornsong Aria","B","R","17474","5.80","2063","9.05","31","","","4","","11","","15","","16","",""
"Mudbutton Cursetosser","B","U","30119","4.80","5318","6.10","488","49.1%","","94","","126","","220","","269","",""
"Nameless Inversion","B","U","18057","3.05","6294","3.52","2523","99.3%","50.6%","441","","661","51.9%","1102","52.4%","1415","49.0%","3.4pp"
"Nightmare Sower","B","U","29561","4.78","4453","6.38","4742","98.5%","49.5%","797","50.1%","1254","52.9%","2051","51.8%","2711","47.7%","4.0pp"
"Perfect Intimidation","B","U","40610","6.44","4457","9.79","287","22.5%","","44","","57","","101","","188","",""
"Requiting Hex","B","U","28544","4.49","5196","5.82","2336","89.5%","49.7%","425","","558","50.4%","983","50.4%","1354","49.2%","1.2pp"
"Retched Wretch","B","U","33284","5.26","5082","7.11","583","48.5%","47.0%","112","","162","","274","","309","",""
"Scarblade Scout","B","C","87455","5.37","16989","6.89","2776","72.6%","51.5%","522","54.0%","685","54.2%","1207","54.1%","1567","49.5%","4.6pp"
"Scarblade's Malice","B","C","102885","6.37","12948","9.26","1603","48.0%","47.5%","267","","409","","676","48.5%","929","46.7%","1.8pp"
"Shimmercreep","B","U","33837","5.17","6232","6.87","871","57.6%","49.5%","126","","252","","378","","492","",""
"Taster of Wares","B","R","5961","2.71","2209","2.95","665","90.2%","54.1%","118","","178","","296","","367","",""
"Twilight Diviner","B","R","6742","2.99","2033","3.48","566","81.8%","48.9%","86","","154","","240","","327","",""
"Unbury","B","U","26729","4.14","6039","5.21","1675","83.6%","49.1%","286","","427","","713","53.3%","964","46.1%","7.2pp"
"Ashling, Rekindled","R","R","6412","2.90","2249","3.22","0","","","0","","0","","0","","0","",""
"Boldwyr Aggressor","R","U","38900","6.16","5025","8.80","0","","","0","","0","","0","","0","",""
"Boneclub Berserker","R","C","107033","7.28","12501","10.55","0","0.0%","","0","","0","","0","","0","",""
"Boulder Dash","R","U","25576","4.06","6225","4.94","0","","","0","","0","","0","","0","",""
"Brambleback Brute","R","C","106001","6.90","13336","9.86","0","0.0%","","0","","0","","0","","0","",""
"Burning Curiosity","R","C","111077","7.37","14870","10.39","0","0.0%","","0","","0","","0","","0","",""
"Champion of the Path","R","R","7162","3.22","2027","3.68","13","","","3","","8","","11","","4","",""
"Cinder Strike","R","C","67459","4.21","17479","5.06","44","6.4%","","9","","12","","21","","23","",""
"Collective Inferno","R","R","10755","4.28","1640","5.71","0","","","0","","0","","0","","0","",""
"Elder Auntie","R","C","100517","6.43","13958","8.96","0","0.0%","","0","","0","","0","","0","",""
"End-Blaze Epiphany","R","R","5852","2.62","2637","2.81","67","","","12","","12","","24","","44","",""
"Enraged Flamecaster","R","C","103750","6.75","12861","9.69","0","0.0%","","0","","0","","0","","0","",""
"Explosive Prodigy","R","U","23371","3.80","7335","4.38","52","","","10","","13","","23","","28","",""
"Feed the Flames","R","C","82934","4.96","15264","6.55","91","13.4%","","21","","24","","45","","46","",""
"Flame-Chain Mauler","R","C","105232","6.71","15534","9.33","0","0.0%","","0","","0","","0","","0","",""
"Flamebraider","R","U","26388","4.34","7142","5.04","5","","","2","","1","","3","","2","",""
"Flamekin Gildweaver","R","C","102149","6.38","16398","8.60","31","4.4%","","5","","6","","11","","20","",""
"Giantfall","R","U","30481","4.76","5523","6.20","0","","","0","","0","","0","","0","",""
"Goatnap","R","U","43700","7.31","4822","10.85","0","0.0%","","0","","0","","0","","0","",""
"Goliath Daydreamer","R","R","5598","2.68","2145","2.83","4","","","2","","0","","2","","2","",""
"Gristle Glutton","R","C","103948","6.65","15840","9.04","5","0.5%","","2","","1","","3","","2","",""
"Hexing Squelcher","R","R","6542","2.95","1522","3.59","7","","","1","","1","","2","","5","",""
"Impolite Entrance","R","U","43247","7.02","4972","10.30","0","","","0","","0","","0","","0","",""
"Kindle the Inner Flame","R","U","41279","6.76","5294","9.65","0","","","0","","0","","0","","0","",""
"Kulrath Zealot","R","C","96454","5.85","17074","7.81","5","0.7%","","0","","0","","0","","5","",""
"Lasting Tarfire","R","U","39095","6.54","4995","9.23","6","1.2%","","2","","2","","4","","2","",""
"Lavaleaper","R","R","13606","5.14","1677","7.77","0","","","0","","0","","0","","0","",""
