"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","1750","85.0%","52.4%","318","","442","","760","54.2%","957","50.8%","3.4pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","272","28.0%","","37","","69","","106","","164","",""
"Adept Watershaper","W","R","4244","2.09","1946","2.26","59","","","8","","20","","28","","30","",""
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","8","","","1","","4","","5","","3","",""
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","0","","","0","","0","","0","","0","",""
"Bark of Doran","W","U","43456","7.20","5011","10.65","12","","","2","","3","","5","","7","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","65","","","11","","18","","29","","36","",""
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","0","","","0","","0","","0","","0","",""
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","10","","","0","","5","","5","","6","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","26","","","3","","13","","16","","10","",""
"Crib Swap","W","U","32226","5.23","3330","8.01","14","","","3","","3","","6","","7","",""
"Curious Colossus","W","M","1954","1.79","1100","1.80","48","","","10","","18","","28","","19","",""
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","22","","","1","","7","","8","","14","",""
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","3","","","0","","3","","3","","0","",""
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","17","","","5","","5","","10","","8","",""
"Flock Impostor","W","U","23861","3.81","5705","4.65","47","","","5","","12","","17","","29","",""
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","15","","","1","","3","","4","","11","",""
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","4","","","0","","0","","0","","4","",""
"Keep Out","W","C","86689","5.19","11786","7.46","47","","","5","","12","","17","","30","",""
"Kinbinding","W","R","3560","1.91","2105","1.97","62","","","6","","19","","25","","38","",""
"Kinsbaile Aspirant","W","U","26883","4.43","5939","5.23","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","4342","2.11","1862","2.26","6","","","1","","2","","3","","3","",""
"Kithkeeper","W","U","34420","5.39","6041","7.24","472","67.2%","","68","","130","","198","","272","",""
"Liminal Hold","W","C","62961","3.81","15870","4.74","487","74.1%","","76","","156","","232","","257","",""
"Meanders Guide","W","U","27396","4.49","5437","5.69","4","","","2","","1","","3","","1","",""
"Moonlit Lamenter","W","U","22673","3.76","5790","4.47","47","","","7","","15","","22","","26","",""
"Morningtide's Light","W","M","4474","3.32","1010","3.86","14","","","2","","3","","5","","9","",""
"Personify","W","U","30776","4.78","5444","6.30","23","","","6","","7","","13","","10","",""
"Protective Response","W","U","20209","3.35","5922","3.88","35","","","2","","10","","12","","23","",""
"Pyrrhic Strike","W","U","20554","3.38","6546","3.85","83","","","13","","24","","37","","46","",""
"Reluctant Dounguard","W","C","97718","6.07","12040","8.82","0","","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","4784","2.32","1864","2.53","23","","","2","","5","","7","","16","",""
"Riverguard's Reflexes","W","C","110502","7.19","13010","10.53","0","","","0","","0","","0","","0","",""
"Shore Lurker","W","C","102735","6.44","13158","9.20","6","","","1","","2","","3","","3","",""
"Slumbering Walker","W","R","4081","2.02","2035","2.14","9","","","2","","3","","5","","4","",""
"Spiral into Solitude","W","C","69614","4.13","15176","5.31","130","","","20","","42","","62","","68","",""
"Sun-Dappled Celebrant","W","C","96547","5.83","13497","8.22","4","","","1","","0","","1","","3","",""
"Thoughtweft Imbuer","W","U","25768","4.40","6138","5.13","4","","","0","","0","","0","","4","",""
"Timid Shieldbearer","W","C","94343","5.72","15278","7.77","0","","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","101924","6.49","14534","8.99","0","","","0","","0","","0","","0","",""
"Wanderbrine Preacher","W","C","93338","5.60","16320","7.48","13","","","4","","0","","4","","9","",""
"Wanderbrine Trapper","W","U","24136","3.88","7043","4.48","12","","","2","","2","","4","","8","",""
"Winnowing","W","R","9101","3.75","1875","4.62","16","","","2","","4","","6","","10","",""
