"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","1449","86.1%","52.7%","264","","353","","617","55.4%","808","50.5%","4.9pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","184","25.1%","","23","","49","","72","","112","",""
"Adept Watershaper","W","R","3169","2.09","1465","2.23","42","","","6","","17","","23","","19","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","7","","","0","","4","","4","","3","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","0","","","0","","0","","0","","0","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","10","","","2","","3","","5","","5","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","58","","","10","","15","","25","","33","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","0","","","0","","0","","0","","0","",""
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","4","","","0","","2","","2","","2","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","12","","","1","","6","","7","","5","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","10","","","2","","2","","4","","5","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","37","","","7","","13","","20","","16","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","18","","","1","","5","","6","","12","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","3","","","0","","3","","3","","0","",""
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","17","","","5","","5","","10","","8","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","43","","","3","","12","","15","","27","",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","6","","","0","","0","","0","","6","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","0","","","0","","0","","0","","0","",""
"Keep Out","W","C","64959","5.17","8974","7.39","34","","","3","","9","","12","","22","",""
"Kinbinding","W","R","2760","1.90","1609","1.97","49","","","6","","17","","23","","27","",""
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","6","","","1","","2","","3","","3","",""
"Kithkeeper","W","U","26290","5.42","4657","7.24","380","71.2%","","57","","109","","166","","212","",""
"Liminal Hold","W","C","47890","3.83","12204","4.75","391","73.2%","","63","","123","","186","","207","",""
"Meanders Guide","W","U","20764","4.49","4171","5.67","4","","","2","","1","","3","","1","",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","33","","","5","","10","","15","","19","",""
"Morningtide's Light","W","M","3352","3.30","766","3.81","14","","","2","","3","","5","","9","",""
"Personify","W","U","23244","4.75","4213","6.23","23","","","6","","7","","13","","10","",""
"Protective Response","W","U","15318","3.38","4511","3.91","26","","","0","","8","","8","","18","",""
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","67","","","10","","16","","26","","41","",""
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","0","","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","17","","","2","","3","","5","","12","",""
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","0","","","0","","0","","0","","0","",""
"Shore Lurker","W","C","77512","6.42","10036","9.14","6","","","1","","2","","3","","3","",""
"Slumbering Walker","W","R","3082","2.02","1535","2.14","5","","","1","","3","","4","","1","",""
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","93","","","15","","31","","46","","47","",""
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","4","","","1","","0","","1","","3","",""
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","2","","","0","","0","","0","","2","",""
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","0","","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","0","","","0","","0","","0","","0","",""
"Wanderbrine Preacher","W","C","70960","5.60","12505","7.47","7","","","3","","0","","3","","4","",""
"Wanderbrine Trapper","W","U","18496","3.91","5436","4.51","12","","","2","","2","","4","","8","",""
"Winnowing","W","R","6724","3.67","1418","4.53","13","","","1","","3","","4","","9","",""
"Aquitect's Defenses","U","C","82635","7.05","10565","10.25","352","25.3%","","61","","89","","150","","202","",""
"Blossombind","U","C","58894","4.64","12921","5.95","2578","95.3%","51.8%","441","","699","58.1%","1140","54.6%","1438","49.5%","5.1pp"
"Champions of the Shoal","U","R","4012","2.66","1618","2.90","219","","","40","","50","","90","","126","",""
"Disruptor of Currents","U","R","3791","2.33","1839","2.51","421","","","73","","111","","184","","234","",""
"Flitterwing Nuisance","U","R","3602","2.35","1650","2.49","421","","","91","","104","","195","","226","",""
"Glamer Gifter","U","U","18577","3.94","5104","4.73","888","93.5%","51.9%","162","","237","","399","","490","",""
"Glamermite","U","C","77133","6.33","10788","9.00","1054","60.4%","52.6%","199","","268","","467","","586","52.2%",""
"Glen Elendra Guardian","U","R","3746","2.32","1680","2.50","384","","","68","","102","","170","","215","",""
"Glen Elendra's Answer","U","M","4501","3.89","1031","4.71","135","","","26","","36","","62","","73","",""
"Gravelgill Scoundrel","U","C","77774","6.59","12039","8.96","456","32.9%","","100","","113","","213","","242","",""
"Harmonized Crescendo","U","R","6735","3.73","1601","4.53","97","","","17","","29","","46","","51","",""
"Illusion Spinners","U","U","26991","5.72","3825","7.94","446","61.1%","","76","","120","","196","","248","",""
"Kulrath Mystic","U","C","83350","7.21","11470","10.19","653","40.0%","52.2%","126","","174","","300","","350","",""
