"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","1241","82.6%","51.5%","220","","345","","565","53.1%","666","50.3%","2.8pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","360","27.3%","","68","","92","","160","","199","",""
"Adept Watershaper","W","R","3169","2.09","1465","2.23","366","","","60","","95","","155","","217","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","306","","","65","","91","","156","","152","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","185","10.4%","","31","","46","","77","","108","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","375","40.5%","","68","","85","","153","","222","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","300","","","52","","72","","124","","176","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","1732","95.6%","50.5%","326","","441","","767","52.8%","968","48.8%","4.0pp"
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","217","","","29","","51","","80","","132","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","719","83.7%","51.6%","130","","196","","326","","386","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","348","63.6%","","62","","99","","161","","186","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","323","","","42","","89","","131","","192","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","539","100.0%","52.3%","87","","159","","246","","300","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","1224","92.6%","48.9%","226","","299","","525","54.1%","699","44.9%","9.2pp"
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","651","68.9%","49.3%","117","","181","","298","","353","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","1116","95.5%","48.4%","193","","276","","469","","642","49.1%",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","585","33.4%","46.7%","93","","149","","242","","336","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","1100","53.3%","50.5%","213","","239","","452","","646","48.9%",""
"Keep Out","W","C","64959","5.17","8974","7.39","2093","79.9%","49.3%","351","","517","52.2%","868","50.5%","1225","48.5%","2.0pp"
"Kinbinding","W","R","2760","1.90","1609","1.97","531","98.7%","52.4%","84","","152","","236","","299","",""
