"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","1428","70.6%","52.5%","258","","361","","619","53.6%","798","51.5%","2.1pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","470","26.2%","","82","","127","","209","","259","",""
"Adept Watershaper","W","R","4244","2.09","1946","2.26","536","100.0%","51.7%","94","","137","","231","","307","",""
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","426","","","92","","104","","196","","234","",""
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","367","14.8%","","56","","80","","136","","231","",""
"Bark of Doran","W","U","43456","7.20","5011","10.65","164","19.6%","","33","","42","","75","","90","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","504","89.7%","51.6%","83","","120","","203","","300","",""
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","2557","95.4%","50.5%","467","","612","51.5%","1079","50.0%","1479","50.8%","-0.9pp"
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","399","79.3%","","73","","96","","169","","228","",""
"Clachan Festival","W","U","23081","3.85","5669","4.65","1280","82.5%","51.6%","228","","303","","531","52.7%","746","50.5%","2.2pp"
"Crib Swap","W","U","32226","5.23","3330","8.01","521","56.8%","46.3%","82","","129","","211","","304","",""
"Curious Colossus","W","M","1954","1.79","1100","1.80","582","100.0%","54.8%","101","","125","","226","","356","",""
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","439","","","76","","115","","191","","246","",""
"Encumbered Reejerey","W","U","21386","3.56","6000","4.17","1796","95.5%","52.9%","320","","431","","751","52.1%","1052","53.5%","-1.5pp"
"Evershrike's Gift","W","U","35634","5.66","5043","7.89","884","63.7%","48.1%","143","","196","","339","","545","48.3%",""
"Flock Impostor","W","U","23861","3.81","5705","4.65","1497","94.2%","52.2%","260","","377","","637","54.5%","852","50.4%","4.1pp"
"Gallant Fowlknight","W","C","101589","6.52","13608","9.19","1241","43.9%","49.2%","203","","302","","505","50.1%","731","48.6%","1.5pp"
"Goldmeadow Nomad","W","C","101788","6.42","13497","9.09","1894","54.1%","51.5%","318","","430","","748","50.1%","1142","52.3%","-2.1pp"
"Keep Out","W","C","86689","5.19","11786","7.46","2211","70.8%","51.6%","389","","527","53.7%","916","51.3%","1298","51.8%","-0.5pp"
"Kinbinding","W","R","3560","1.91","2105","1.97","868","99.2%","53.0%","135","","235","","370","","501","47.1%",""
"Kinsbaile Aspirant","W","U","26883","4.43","5939","5.23","901","68.2%","51.8%","165","","186","","351","","546","51.3%",""
"Kinscaer Sentry","W","R","4342","2.11","1862","2.26","758","99.1%","51.5%","151","","185","","336","","421","",""
"Kithkeeper","W","U","34420","5.39","6041","7.24","656","52.1%","52.3%","106","","185","","291","","365","",""
"Liminal Hold","W","C","62961","3.81","15870","4.74","4543","97.0%","53.2%","754","51.9%","1125","54.9%","1879","53.7%","2672","52.8%","0.9pp"
"Meanders Guide","W","U","27396","4.49","5437","5.69","540","63.1%","54.8%","106","","116","","222","","317","",""
"Moonlit Lamenter","W","U","22673","3.76","5790","4.47","2378","97.1%","52.1%","411","","592","54.9%","1003","55.4%","1389","49.9%","5.5pp"
"Morningtide's Light","W","M","4474","3.32","1010","3.86","270","","","39","","67","","106","","164","",""
