"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","6691","62.9%","54.5%","1215","53.2%","1679","54.3%","2894","53.8%","3687","54.5%","-0.7pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","1715","16.1%","52.8%","282","","419","","701","52.9%","978","51.3%","1.6pp"
"Adept Watershaper","W","R","3169","2.09","1465","2.23","5783","99.9%","56.1%","1062","57.3%","1512","58.8%","2574","58.2%","3134","54.0%","4.1pp"
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","2302","99.4%","57.6%","411","","548","58.4%","959","61.8%","1349","54.4%","7.4pp"
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","3573","17.8%","53.5%","521","49.5%","893","53.5%","1414","52.1%","2160","54.5%","-2.5pp"
"Bark of Doran","W","U","32625","7.18","3778","10.58","653","11.7%","51.6%","112","","157","","269","","384","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","1994","86.7%","57.4%","360","","506","58.9%","866","60.3%","1129","54.9%","5.4pp"
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","5143","74.1%","52.8%","949","51.9%","1216","51.4%","2165","51.6%","2984","53.7%","-2.1pp"
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","580","39.1%","52.1%","102","","162","","264","","318","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","4401","73.2%","55.2%","764","55.6%","1057","58.6%","1821","57.3%","2567","53.7%","3.6pp"
"Crib Swap","W","U","24305","5.20","2522","7.93","2388","49.9%","52.5%","430","","548","52.2%","978","51.0%","1371","53.4%","-2.4pp"
"Curious Colossus","W","M","1529","1.79","843","1.80","2177","96.0%","59.3%","351","","586","67.9%","937","65.0%","1246","55.1%","9.9pp"
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","2024","100.0%","55.4%","348","","501","62.1%","849","62.4%","1186","50.4%","12.0pp"
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","17154","99.5%","56.7%","3166","61.2%","4133","55.7%","7299","58.1%","9572","55.2%","2.9pp"
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","3290","45.6%","52.7%","562","50.0%","765","54.4%","1327","52.5%","1966","52.8%","-0.3pp"
"Flock Impostor","W","U","17995","3.80","4354","4.64","10303","93.4%","55.4%","1801","54.7%","2556","55.6%","4357","55.2%","5766","55.0%","0.2pp"
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","2193","18.3%","54.1%","354","","507","54.6%","861","54.4%","1325","54.0%","0.4pp"
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","5305","35.3%","54.3%","981","54.9%","1224","52.6%","2205","53.7%","3082","54.8%","-1.2pp"
"Keep Out","W","C","64959","5.17","8974","7.39","14558","70.6%","54.3%","2536","52.7%","3524","54.8%","6060","53.9%","8502","54.6%","-0.6pp"
"Kinbinding","W","R","2760","1.90","1609","1.97","4518","99.4%","60.3%","778","66.6%","1213","68.8%","1991","68.0%","2550","54.4%","13.5pp"
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","1548","34.0%","52.7%","278","","363","","641","51.2%","902","53.8%","-2.6pp"
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","3291","98.4%","55.6%","587","59.1%","840","56.9%","1427","57.8%","1871","53.9%","3.9pp"
"Kithkeeper","W","U","26290","5.42","4657","7.24","1325","26.6%","52.4%","235","","344","","579","51.6%","750","52.9%","-1.3pp"
"Liminal Hold","W","C","47890","3.83","12204","4.75","25928","95.8%","55.6%","4305","53.2%","6562","58.8%","10867","56.6%","15120","54.9%","1.7pp"
"Meanders Guide","W","U","20764","4.49","4171","5.67","16412","95.0%","55.4%","2844","55.3%","4072","54.7%","6916","54.9%","9194","55.3%","-0.3pp"
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","6743","79.1%","54.1%","1181","52.8%","1683","56.4%","2864","54.9%","3906","53.3%","1.6pp"
"Morningtide's Light","W","M","3352","3.30","766","3.81","1230","77.2%","56.6%","184","","317","","501","56.1%","731","56.9%","-0.8pp"
"Personify","W","U","23244","4.75","4213","6.23","6990","72.0%","55.4%","1119","52.3%","1688","56.4%","2807","54.8%","4185","55.8%","-1.1pp"
"Protective Response","W","U","15318","3.38","4511","3.91","11830","98.1%","56.8%","2031","54.3%","2995","60.5%","5026","58.0%","6808","56.0%","2.0pp"
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","11488","97.5%","56.7%","1916","55.4%","2981","61.3%","4897","59.0%","6597","55.0%","4.0pp"
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","3136","24.8%","50.1%","554","47.8%","752","50.9%","1306","49.6%","1830","50.5%","-0.9pp"
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","3242","96.7%","53.8%","567","55.2%","790","53.0%","1357","53.9%","1885","53.7%","0.3pp"
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","6810","33.4%","54.5%","1144","52.4%","1553","56.7%","2697","54.9%","4115","54.3%","0.6pp"
"Shore Lurker","W","C","77512","6.42","10036","9.14","21019","67.5%","53.9%","3548","51.9%","5283","54.6%","8831","53.5%","11869","53.9%","-0.3pp"
"Slumbering Walker","W","R","3082","2.02","1535","2.14","4357","98.9%","58.0%","730","59.2%","1152","64.1%","1882","62.2%","2490","54.7%","7.5pp"
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","24418","94.5%","55.2%","4174","52.6%","5965","56.7%","10139","55.0%","14289","55.3%","-0.4pp"
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","13337","61.6%","53.6%","2177","52.3%","3410","54.3%","5587","53.5%","7810","53.7%","-0.2pp"
