"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","201076","4.59","39865","6.30","182186","72.3%","53.2%","33772","52.0%","44653","55.0%","78425","53.7%","100984","52.5%","1.2pp"
"Rooftop Percher","","C","258913","6.34","40615","8.92","126592","48.9%","54.4%","21134","52.1%","31932","57.2%","53066","55.2%","70867","53.3%","1.9pp"
"Adept Watershaper","W","R","10148","2.13","4539","2.30","34456","88.1%","55.5%","6034","58.0%","8652","57.8%","14686","57.8%","19485","53.4%","4.4pp"
"Ajani, Outland Chaperone","W","M","3735","1.49","2345","1.53","19889","87.0%","55.8%","3634","62.5%","5010","59.3%","8644","60.6%","11333","52.3%","8.4pp"
"Appeal to Eirdu","W","C","277356","7.73","31485","11.25","20825","10.4%","52.0%","3285","47.1%","4861","52.0%","8146","50.0%","12685","53.3%","-3.3pp"
"Bark of Doran","W","U","104865","7.19","12752","10.48","10191","12.7%","50.0%","1712","47.5%","2534","50.7%","4246","49.4%","5957","50.5%","-1.1pp"
"Brigid, Clachan's Heart","W","R","10191","2.20","4537","2.34","34281","84.4%","56.0%","6209","61.8%","8142","60.2%","14351","60.9%","19271","52.0%","8.9pp"
"Burdened Stoneback","W","U","68653","4.51","11569","5.89","48283","65.6%","52.9%","8743","52.4%","11574","53.2%","20317","52.9%","28014","52.9%","-0.1pp"
"Champion of the Clachan","W","R","14647","2.83","4331","3.24","26391","73.5%","54.5%","4408","54.8%","6220","55.8%","10628","55.4%","15134","53.2%","2.2pp"
"Clachan Festival","W","U","55457","3.83","13507","4.63","70009","78.8%","55.4%","12360","55.3%","16302","57.2%","28662","56.4%","40301","54.2%","2.2pp"
"Crib Swap","W","U","80592","5.42","8146","8.37","18273","35.7%","50.7%","3021","48.4%","4426","50.9%","7447","49.9%","10513","50.9%","-1.0pp"
"Curious Colossus","W","M","4646","1.79","2653","1.82","20927","86.1%","56.5%","3519","58.1%","5431","66.5%","8950","63.2%","11962","51.6%","11.6pp"
"Eirdu, Carrier of Dawn","W","M","3744","1.48","2429","1.49","20189","88.6%","55.6%","3408","58.0%","5314","63.1%","8722","61.1%","11448","51.3%","9.8pp"
"Encumbered Reejerey","W","U","52588","3.58","14552","4.21","82370","85.5%","55.4%","15095","59.1%","19650","54.5%","34745","56.5%","46662","54.5%","2.0pp"
"Evershrike's Gift","W","U","88412","5.77","11959","8.18","32665","43.1%","53.4%","5400","49.9%","7753","55.3%","13153","53.1%","19532","53.6%","-0.5pp"
"Flock Impostor","W","U","59426","3.87","13458","4.84","71768","82.9%","54.7%","12559","53.3%","17082","56.2%","29641","55.0%","40841","54.1%","0.9pp"
"Gallant Fowlknight","W","C","244293","6.46","32536","9.18","101812","49.2%","54.7%","16944","52.9%","23228","55.1%","40172","54.2%","59939","54.6%","-0.4pp"
"Goldmeadow Nomad","W","C","250905","6.61","31193","9.51","79087","39.9%","53.5%","14025","53.5%","17206","51.5%","31231","52.4%","47157","54.1%","-1.7pp"
"Keep Out","W","C","214784","5.29","28319","7.70","107521","60.2%","52.9%","18409","51.2%","26047","53.7%","44456","52.7%","63092","53.1%","-0.5pp"
"Kinbinding","W","R","8165","1.81","5141","1.84","42556","90.2%","57.1%","7284","62.5%","11000","65.1%","18284","64.1%","24439","51.9%","12.1pp"
"Kinsbaile Aspirant","W","U","64941","4.40","14182","5.26","67595","71.5%","56.2%","12353","61.6%","14977","54.9%","27330","57.9%","39424","54.8%","3.1pp"
"Kinscaer Sentry","W","R","11101","2.22","4567","2.39","33121","85.6%","55.8%","6074","61.6%","7752","57.4%","13826","59.2%","19034","53.1%","6.1pp"
"Kithkeeper","W","U","81943","5.27","14622","7.05","46449","50.2%","51.9%","7539","48.8%","12362","56.7%","19901","53.7%","26105","50.2%","3.6pp"
"Liminal Hold","W","C","149736","3.75","37705","4.69","212003","87.3%","54.6%","35119","52.8%","53445","57.8%","88564","55.8%","123842","53.8%","2.0pp"
"Meanders Guide","W","U","66955","4.54","12513","5.85","56373","70.0%","54.3%","9788","53.1%","13909","54.6%","23697","54.0%","31753","54.2%","-0.2pp"
"Moonlit Lamenter","W","U","57223","3.90","13159","4.78","61758","72.2%","53.6%","10880","53.7%","15402","56.4%","26282","55.3%","35627","52.3%","3.0pp"
"Morningtide's Light","W","M","11233","3.38","2517","3.99","10784","62.4%","53.3%","1703","49.0%","2680","57.3%","4383","54.1%","6416","52.7%","1.4pp"
"Personify","W","U","77597","4.98","13001","6.73","49955","59.9%","54.3%","8195","52.5%","12222","56.8%","20417","55.1%","29560","53.7%","1.4pp"
"Protective Response","W","U","48192","3.31","14484","3.87","84963","89.5%","55.4%","14370","54.9%","20781","58.7%","35151","57.1%","49837","54.2%","2.9pp"
"Pyrrhic Strike","W","U","46723","3.22","15897","3.69","95127","88.7%","55.9%","15992","56.0%","23740","59.9%","39732","58.3%","55422","54.2%","4.1pp"
"Reluctant Dounguard","W","C","239624","6.20","28365","9.10","73481","40.9%","52.5%","12937","50.9%","16352","51.7%","29289","51.3%","43436","53.1%","-1.8pp"
"Rhys, the Evermore","W","R","13434","2.58","4440","2.84","26217","81.0%","52.3%","4604","50.7%","6426","53.8%","11030","52.5%","15153","52.1%","0.4pp"
"Riverguard's Reflexes","W","C","268651","7.30","31314","10.69","48094","24.2%","53.2%","7827","50.7%","11081","54.0%","18908","52.6%","29201","53.6%","-1.0pp"
