"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Aang's Journey","","C","168898","5.90","26608","8.21","97441","56.4%","54.0%","18012","54.0%","25685","56.0%","43697","55.2%","52935","52.9%","2.3pp"
"Energybending","","U","71341","6.82","8793","9.99","12591","22.2%","50.8%","2266","49.8%","3367","51.8%","5633","51.0%","6894","50.5%","0.5pp"
"Zuko's Exile","","C","187947","7.04","19302","10.55","30950","24.7%","50.0%","5013","46.4%","8030","50.4%","13043","48.8%","17619","50.7%","-1.8pp"
"Aang, the Last Airbender","W","U","21503","2.46","10862","2.66","78294","92.2%","58.3%","13240","60.1%","19810","61.7%","33050","61.0%","44789","56.1%","4.9pp"
"Aang's Iceberg","W","R","8727","2.16","4027","2.32","29573","89.4%","56.0%","5051","55.5%","7408","57.7%","12459","56.8%","17148","55.3%","1.5pp"
"Airbender Ascension","W","R","10318","2.55","3419","2.84","21146","79.3%","54.0%","3807","53.3%","5247","52.6%","9054","52.9%","12098","54.7%","-1.8pp"
"Airbender's Reversal","W","U","31215","3.15","8211","3.75","48889","87.0%","54.7%","8445","52.9%","12126","55.1%","20571","54.2%","27994","55.0%","-0.7pp"
"Airbending Lesson","W","C","124635","4.37","32865","5.42","190047","85.0%","56.9%","32547","55.9%","47505","57.9%","80052","57.1%","108697","56.5%","0.6pp"
"Appa, Loyal Sky Bison","W","U","46470","4.59","6690","6.24","27701","62.9%","53.6%","4507","48.6%","6834","54.6%","11341","52.2%","16317","54.4%","-2.2pp"
"Appa, Steadfast Guardian","W","M","3153","1.53","1998","1.57","17624","90.0%","56.8%","2996","57.9%","4526","60.5%","7522","59.5%","10026","54.6%","4.9pp"
"Avatar Enthusiasts","W","C","138108","4.82","22051","6.71","118207","80.0%","56.0%","20484","56.5%","27189","53.5%","47673","54.8%","70114","56.7%","-1.9pp"
"Avatar's Wrath","W","R","10783","2.66","3273","2.95","18937","74.4%","54.3%","3188","52.0%","4718","56.7%","7906","54.8%","11023","54.0%","0.8pp"
"Compassionate Healer","W","C","140404","4.84","29067","6.31","168515","85.4%","57.3%","30823","59.8%","38685","55.2%","69508","57.2%","98410","57.4%","-0.1pp"
"Curious Farm Animals","W","C","188892","7.46","20150","11.07","21806","16.3%","53.6%","3818","53.7%","5128","53.3%","8946","53.5%","12841","53.7%","-0.3pp"
"Destined Confrontation","W","U","66514","6.86","7211","10.29","6075","12.8%","50.1%","1005","44.2%","1541","48.0%","2546","46.5%","3525","52.7%","-6.3pp"
"Earth Kingdom Jailer","W","U","22702","2.48","10883","2.74","76968","92.3%","58.5%","13358","60.3%","19540","61.4%","32898","60.9%","43817","56.3%","4.7pp"
"Earth Kingdom Protectors","W","U","43260","4.14","11125","4.87","65789","84.9%","57.6%","11657","59.2%","15131","55.9%","26788","57.3%","38656","57.6%","-0.3pp"
"Enter the Avatar State","W","U","48518","4.58","9082","5.97","45106","73.9%","56.1%","7486","55.3%","10966","56.6%","18452","56.1%","26377","56.0%","0.1pp"
"Fancy Footwork","W","U","58602","5.45","9210","7.44","33876","55.9%","55.1%","5586","51.8%","7995","54.5%","13581","53.4%","20146","56.1%","-2.7pp"
"Gather the White Lotus","W","U","50425","5.09","11071","6.03","45897","59.3%","57.4%","7824","55.4%","10982","58.9%","18806","57.4%","27091","57.4%","-0.0pp"
"Glider Kids","W","C","137690","4.70","28337","6.13","165345","86.7%","56.8%","29498","56.1%","39616","56.4%","69114","56.3%","95603","57.1%","-0.8pp"
"Glider Staff","W","U","33669","3.50","12443","3.85","77199","86.4%","57.1%","13389","56.4%","19213","59.2%","32602","58.1%","44280","56.3%","1.8pp"
"Hakoda, Selfless Commander","W","R","7142","1.87","3792","1.98","31459","91.8%","56.9%","5355","58.0%","8041","58.4%","13396","58.2%","17981","55.6%","2.6pp"
"Invasion Reinforcements","W","U","33261","3.24","10762","3.76","68396","91.0%","57.0%","12365","57.4%","15753","56.6%","28118","56.9%","39952","56.8%","0.1pp"
"Jeong Jeong's Deserters","W","C","146895","5.02","28745","6.65","164812","84.9%","57.0%","29926","57.3%","37764","55.1%","67690","56.0%","96461","57.7%","-1.6pp"
"Kyoshi Warriors","W","C","137417","4.75","29495","6.17","168660","84.6%","57.0%","28706","56.5%","40575","56.6%","69281","56.6%","98657","57.2%","-0.6pp"
"The Legend of Yangchen","W","M","3719","1.74","2508","1.76","21399","90.1%","59.3%","3611","64.7%","5555","66.9%","9166","66.0%","12215","54.3%","11.7pp"
