"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","232675","4.59","45959","6.32","45454","72.0%","55.3%","8405","52.2%","10080","56.4%","18485","54.5%","26243","55.6%","-1.1pp"
"Rooftop Percher","","C","295914","6.23","47881","8.71","50365","63.0%","56.4%","8370","53.5%","12058","58.5%","20428","56.4%","28828","55.8%","0.6pp"
"Adept Watershaper","W","R","11807","2.14","5257","2.31","363","18.0%","","70","","94","","164","","198","",""
"Ajani, Outland Chaperone","W","M","4327","1.49","2693","1.54","256","17.3%","","40","","74","","114","","145","",""
"Appeal to Eirdu","W","C","320101","7.75","36149","11.28","7","0.0%","","0","","3","","3","","4","",""
"Bark of Doran","W","U","120724","7.19","14775","10.46","118","0.8%","","21","","24","","45","","73","",""
"Brigid, Clachan's Heart","W","R","11871","2.20","5250","2.34","988","29.8%","53.5%","148","","249","","397","","584","50.2%",""
"Burdened Stoneback","W","U","80103","4.55","13268","5.98","48","1.1%","","14","","13","","27","","21","",""
"Champion of the Clachan","W","R","16961","2.84","4960","3.25","56","2.3%","","12","","15","","27","","29","",""
"Clachan Festival","W","U","64133","3.84","15515","4.65","125","2.7%","","23","","33","","56","","69","",""
"Crib Swap","W","U","93393","5.43","9370","8.40","140","2.5%","","29","","46","","75","","62","",""
"Curious Colossus","W","M","5377","1.78","3105","1.82","582","31.7%","54.0%","106","","142","","248","","328","",""
"Eirdu, Carrier of Dawn","W","M","4321","1.48","2803","1.50","788","40.7%","49.7%","99","","199","","298","","491","",""
"Encumbered Reejerey","W","U","60804","3.59","16804","4.24","22","0.6%","","4","","4","","8","","14","",""
"Evershrike's Gift","W","U","102303","5.79","13801","8.23","71","1.0%","","10","","13","","23","","48","",""
"Flock Impostor","W","U","69197","3.89","15466","4.87","232","6.3%","","40","","46","","86","","140","",""
"Gallant Fowlknight","W","C","281680","6.45","37250","9.17","38","0.2%","","5","","8","","13","","25","",""
"Goldmeadow Nomad","W","C","290580","6.65","35583","9.59","15","0.1%","","3","","2","","5","","10","",""
"Keep Out","W","C","248749","5.31","32468","7.73","315","3.2%","","56","","74","","130","","185","",""
"Kinbinding","W","R","9383","1.79","5968","1.83","1086","35.0%","50.3%","150","","301","","451","","638","48.9%",""
"Kinsbaile Aspirant","W","U","74924","4.41","16373","5.29","9","0.1%","","2","","2","","4","","5","",""
"Kinscaer Sentry","W","R","12816","2.23","5271","2.42","165","7.6%","","24","","39","","63","","102","",""
"Kithkeeper","W","U","94704","5.27","16835","7.07","1209","13.0%","51.0%","193","","292","","485","","725","51.3%",""
"Liminal Hold","W","C","172508","3.74","43352","4.69","2522","20.1%","52.7%","394","","670","54.3%","1064","53.6%","1465","52.2%","1.4pp"
"Meanders Guide","W","U","77720","4.56","14409","5.90","0","0.0%","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","66639","3.93","15093","4.83","516","10.1%","51.7%","95","","128","","223","","296","",""
"Morningtide's Light","W","M","12958","3.38","2955","4.01","225","13.9%","","39","","56","","95","","131","",""
"Personify","W","U","90062","5.00","14964","6.77","47","0.8%","","11","","6","","17","","30","",""
"Protective Response","W","U","55552","3.30","16691","3.85","327","9.3%","","53","","87","","140","","187","",""
"Pyrrhic Strike","W","U","53135","3.19","18336","3.65","1108","20.9%","49.1%","180","","265","","445","","663","47.5%",""
"Reluctant Dounguard","W","C","277324","6.22","32491","9.16","11","0.1%","","1","","3","","4","","7","",""
"Rhys, the Evermore","W","R","15924","2.64","5045","2.93","796","30.2%","49.0%","144","","163","","307","","482","",""
"Riverguard's Reflexes","W","C","310503","7.31","36109","10.72","11","0.1%","","2","","2","","4","","7","",""
"Shore Lurker","W","C","286919","6.45","36969","9.26","23","0.1%","","3","","6","","9","","14","",""
"Slumbering Walker","W","R","11572","2.05","5734","2.17","295","10.7%","","49","","79","","128","","165","",""
"Spiral into Solitude","W","C","196161","4.16","40357","5.43","984","9.6%","50.9%","161","","252","","413","","571","50.6%",""
"Sun-Dappled Celebrant","W","C","272262","5.93","35785","8.53","71","0.5%","","7","","15","","22","","49","",""
"Thoughtweft Imbuer","W","U","65872","4.08","16671","4.74","110","1.6%","","11","","23","","34","","77","",""
"Timid Shieldbearer","W","C","260517","5.63","42410","7.67","44","0.3%","","7","","12","","19","","25","",""
"Tributary Vaulter","W","C","278100","6.33","41838","8.65","1","0.0%","","0","","0","","0","","1","",""
"Wanderbrine Preacher","W","C","258096","5.55","44856","7.42","7","0.1%","","1","","4","","5","","2","",""
"Wanderbrine Trapper","W","U","64329","3.78","19510","4.35","33","0.6%","","4","","7","","11","","22","",""
"Winnowing","W","R","28076","4.00","5167","5.11","141","4.7%","","29","","37","","66","","75","",""
"Aquitect's Defenses","U","C","308220","7.20","39079","10.47","73","0.3%","","16","","22","","38","","35","",""
"Blossombind","U","C","217227","4.58","46168","5.99","1121","9.5%","52.4%","189","","285","","474","","649","53.8%",""
"Champions of the Shoal","U","R","14353","2.56","5918","2.79","142","6.1%","","25","","29","","54","","89","",""
"Disruptor of Currents","U","R","13868","2.33","6772","2.52","74","3.3%","","14","","16","","30","","44","",""
