"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","201076","4.59","39865","6.30","10060","54.8%","51.9%","1849","50.1%","2375","53.2%","4224","51.8%","5644","51.7%","0.1pp"
"Rooftop Percher","","C","258913","6.34","40615","8.92","9075","40.7%","52.6%","1532","50.5%","2248","54.8%","3780","53.1%","5050","51.5%","1.6pp"
"Adept Watershaper","W","R","10148","2.13","4539","2.30","45","4.9%","","4","","7","","11","","34","",""
"Ajani, Outland Chaperone","W","M","3735","1.49","2345","1.53","70","9.3%","","12","","24","","36","","34","",""
"Appeal to Eirdu","W","C","277356","7.73","31485","11.25","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","104865","7.19","12752","10.48","19","0.3%","","3","","4","","7","","12","",""
"Brigid, Clachan's Heart","W","R","10191","2.20","4537","2.34","41","3.7%","","7","","12","","19","","22","",""
"Burdened Stoneback","W","U","68653","4.51","11569","5.89","33","1.4%","","11","","6","","17","","16","",""
"Champion of the Clachan","W","R","14647","2.83","4331","3.24","0","0.0%","","0","","0","","0","","0","",""
"Clachan Festival","W","U","55457","3.83","13507","4.63","28","1.5%","","4","","8","","12","","16","",""
"Crib Swap","W","U","80592","5.42","8146","8.37","12","0.5%","","3","","4","","7","","5","",""
"Curious Colossus","W","M","4646","1.79","2653","1.82","156","26.5%","","18","","52","","70","","86","",""
"Eirdu, Carrier of Dawn","W","M","3744","1.48","2429","1.49","186","23.4%","","30","","51","","81","","105","",""
"Encumbered Reejerey","W","U","52588","3.58","14552","4.21","1","0.1%","","0","","1","","1","","0","",""
"Evershrike's Gift","W","U","88412","5.77","11959","8.18","37","1.2%","","7","","10","","17","","20","",""
"Flock Impostor","W","U","59426","3.87","13458","4.84","15","0.9%","","2","","5","","7","","8","",""
"Gallant Fowlknight","W","C","244293","6.46","32536","9.18","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","250905","6.61","31193","9.51","4","0.1%","","2","","0","","2","","2","",""
"Keep Out","W","C","214784","5.29","28319","7.70","20","0.5%","","4","","6","","10","","10","",""
"Kinbinding","W","R","8165","1.81","5141","1.84","222","22.2%","","49","","66","","115","","110","",""
"Kinsbaile Aspirant","W","U","64941","4.40","14182","5.26","0","0.0%","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","11101","2.22","4567","2.39","49","4.5%","","13","","15","","28","","21","",""
"Kithkeeper","W","U","81943","5.27","14622","7.05","328","10.2%","","56","","100","","156","","170","",""
"Liminal Hold","W","C","149736","3.75","37705","4.69","251","5.5%","","38","","70","","108","","145","",""
"Meanders Guide","W","U","66955","4.54","12513","5.85","0","0.0%","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","57223","3.90","13159","4.78","546","17.0%","50.4%","107","","148","","255","","291","",""
"Morningtide's Light","W","M","11233","3.38","2517","3.99","30","3.8%","","7","","4","","11","","19","",""
