"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","2957","52.4%","53.3%","591","52.3%","687","53.1%","1278","52.7%","1627","53.7%","-1.0pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","1059","16.3%","50.1%","159","","285","","444","","601","52.2%",""
"Adept Watershaper","W","R","3169","2.09","1465","2.23","12","","","1","","3","","4","","8","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","28","","","5","","10","","15","","13","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","3","0.2%","","1","","0","","1","","2","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","22","","","5","","8","","13","","9","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","0","0.0%","","0","","0","","0","","0","",""
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","0","","","0","","0","","0","","0","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","4","0.7%","","1","","2","","3","","1","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","0","0.0%","","0","","0","","0","","0","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","29","","","4","","7","","11","","18","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","31","","","5","","10","","15","","16","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","1","0.2%","","0","","1","","1","","0","",""
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","16","1.7%","","3","","5","","8","","8","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","0","0.0%","","0","","0","","0","","0","",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","4","0.2%","","2","","0","","2","","2","",""
"Keep Out","W","C","64959","5.17","8974","7.39","0","0.0%","","0","","0","","0","","0","",""
"Kinbinding","W","R","2760","1.90","1609","1.97","57","","","8","","13","","21","","36","",""
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","0","0.0%","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","24","","","7","","7","","14","","10","",""
"Kithkeeper","W","U","26290","5.42","4657","7.24","63","6.3%","","7","","23","","30","","33","",""
"Liminal Hold","W","C","47890","3.83","12204","4.75","61","3.9%","","7","","19","","26","","37","",""
"Meanders Guide","W","U","20764","4.49","4171","5.67","0","0.0%","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","157","16.2%","","32","","36","","68","","89","",""
"Morningtide's Light","W","M","3352","3.30","766","3.81","11","","","3","","3","","6","","5","",""
"Personify","W","U","23244","4.75","4213","6.23","8","1.0%","","1","","4","","5","","3","",""
"Protective Response","W","U","15318","3.38","4511","3.91","15","","","3","","3","","6","","9","",""
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","9","1.3%","","1","","1","","2","","7","",""
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","0","0.0%","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","106","20.6%","","16","","22","","38","","68","",""
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","0","0.0%","","0","","0","","0","","0","",""
"Shore Lurker","W","C","77512","6.42","10036","9.14","0","0.0%","","0","","0","","0","","0","",""
"Slumbering Walker","W","R","3082","2.02","1535","2.14","34","","","6","","8","","14","","20","",""
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","42","3.1%","","6","","10","","16","","26","",""
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","6","0.3%","","1","","0","","1","","5","",""
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","0","0.0%","","0","","0","","0","","0","",""
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","4","0.3%","","0","","1","","1","","3","",""
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","0","0.0%","","0","","0","","0","","0","",""
