"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","201076","4.59","39865","6.30","5222","80.8%","50.3%","999","49.3%","1271","48.6%","2270","48.9%","2897","51.2%","-2.2pp"
"Rooftop Percher","","C","258913","6.34","40615","8.92","2079","43.9%","49.4%","362","","551","50.6%","913","48.3%","1141","50.0%","-1.7pp"
"Adept Watershaper","W","R","10148","2.13","4539","2.30","106","","","21","","25","","46","","60","",""
"Ajani, Outland Chaperone","W","M","3735","1.49","2345","1.53","73","","","8","","13","","21","","53","",""
"Appeal to Eirdu","W","C","277356","7.73","31485","11.25","2","0.1%","","1","","0","","1","","1","",""
"Bark of Doran","W","U","104865","7.19","12752","10.48","20","1.8%","","3","","7","","10","","10","",""
"Brigid, Clachan's Heart","W","R","10191","2.20","4537","2.34","277","","","43","","79","","122","","158","",""
"Burdened Stoneback","W","U","68653","4.51","11569","5.89","52","","","6","","14","","20","","32","",""
"Champion of the Clachan","W","R","14647","2.83","4331","3.24","8","","","0","","2","","2","","6","",""
"Clachan Festival","W","U","55457","3.83","13507","4.63","36","","","6","","9","","15","","20","",""
"Crib Swap","W","U","80592","5.42","8146","8.37","16","","","5","","4","","9","","7","",""
"Curious Colossus","W","M","4646","1.79","2653","1.82","263","","","33","","63","","96","","164","",""
"Eirdu, Carrier of Dawn","W","M","3744","1.48","2429","1.49","118","","","11","","35","","46","","70","",""
"Encumbered Reejerey","W","U","52588","3.58","14552","4.21","1","","","0","","0","","0","","1","",""
"Evershrike's Gift","W","U","88412","5.77","11959","8.18","17","3.2%","","3","","5","","8","","9","",""
"Flock Impostor","W","U","59426","3.87","13458","4.84","56","","","10","","13","","23","","33","",""
"Gallant Fowlknight","W","C","244293","6.46","32536","9.18","8","0.5%","","0","","4","","4","","4","",""
"Goldmeadow Nomad","W","C","250905","6.61","31193","9.51","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","214784","5.29","28319","7.70","62","6.6%","","10","","14","","24","","38","",""
"Kinbinding","W","R","8165","1.81","5141","1.84","307","","","58","","81","","139","","170","",""
"Kinsbaile Aspirant","W","U","64941","4.40","14182","5.26","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","11101","2.22","4567","2.39","34","","","11","","9","","20","","14","",""
"Kithkeeper","W","U","81943","5.27","14622","7.05","1833","73.2%","51.2%","305","","510","57.1%","815","52.8%","987","49.1%","3.6pp"
"Liminal Hold","W","C","149736","3.75","37705","4.69","935","59.9%","50.5%","151","","276","","427","","509","47.7%",""
"Meanders Guide","W","U","66955","4.54","12513","5.85","0","","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","57223","3.90","13159","4.78","247","36.1%","","50","","64","","114","","131","",""
"Morningtide's Light","W","M","11233","3.38","2517","3.99","68","","","13","","16","","29","","39","",""
"Personify","W","U","77597","4.98","13001","6.73","52","9.1%","","9","","11","","20","","32","",""
"Protective Response","W","U","48192","3.31","14484","3.87","113","","","13","","37","","50","","63","",""
"Pyrrhic Strike","W","U","46723","3.22","15897","3.69","277","46.9%","","55","","71","","126","","151","",""
"Reluctant Dounguard","W","C","239624","6.20","28365","9.10","10","0.9%","","1","","3","","4","","6","",""
"Rhys, the Evermore","W","R","13434","2.58","4440","2.84","91","","","15","","29","","44","","47","",""
"Riverguard's Reflexes","W","C","268651","7.30","31314","10.69","0","0.0%","","0","","0","","0","","0","",""
"Shore Lurker","W","C","248442","6.45","32023","9.26","0","0.0%","","0","","0","","0","","0","",""
"Slumbering Walker","W","R","10026","2.05","4996","2.16","129","","","20","","27","","47","","80","",""
"Spiral into Solitude","W","C","169596","4.16","35261","5.41","365","33.9%","","72","","97","","169","","196","",""
"Sun-Dappled Celebrant","W","C","235301","5.91","31262","8.49","21","1.9%","","4","","5","","9","","12","",""
"Thoughtweft Imbuer","W","U","57781","4.13","14433","4.80","30","","","2","","9","","11","","19","",""
"Timid Shieldbearer","W","C","225698","5.64","36650","7.68","0","0.0%","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","241846","6.36","36036","8.71","0","0.0%","","0","","0","","0","","0","",""
"Wanderbrine Preacher","W","C","223648","5.55","38834","7.43","4","0.5%","","0","","1","","1","","3","",""
"Wanderbrine Trapper","W","U","55928","3.78","16877","4.36","33","","","2","","8","","10","","23","",""
"Winnowing","W","R","23997","3.97","4452","5.06","13","","","1","","4","","5","","8","",""
"Aquitect's Defenses","U","C","266890","7.19","34022","10.44","14","0.6%","","5","","7","","12","","3","",""
"Blossombind","U","C","187951","4.58","40190","5.98","508","30.4%","53.5%","88","","138","","226","","282","",""
"Champions of the Shoal","U","R","12425","2.58","5133","2.80","32","","","3","","7","","10","","22","",""
"Disruptor of Currents","U","R","11896","2.31","5800","2.50","43","","","5","","10","","15","","28","",""
"Flitterwing Nuisance","U","R","11654","2.36","5481","2.53","83","","","16","","19","","35","","48","",""
"Glamer Gifter","U","U","60554","3.99","16502","4.81","17","","","1","","7","","8","","9","",""
"Glamermite","U","C","251840","6.56","33898","9.46","12","0.8%","","2","","2","","4","","8","",""
"Glen Elendra Guardian","U","R","12416","2.38","5500","2.57","127","","","21","","32","","53","","74","",""
"Glen Elendra's Answer","U","M","14507","3.89","3827","4.60","8","","","2","","4","","6","","2","",""
"Gravelgill Scoundrel","U","C","240001","6.33","39801","8.48","1","0.1%","","0","","0","","0","","1","",""
"Harmonized Crescendo","U","R","23091","3.85","5068","4.79","8","","","1","","3","","4","","4","",""
"Illusion Spinners","U","U","90477","5.95","11866","8.54","16","2.5%","","4","","4","","8","","8","",""
"Kulrath Mystic","U","C","262931","7.09","36731","10.03","39","1.5%","","11","","8","","19","","20","",""
"Loch Mare","U","M","4486","1.71","2902","1.78","172","","","29","","43","","72","","99","",""
"Lofty Dreams","U","U","79676","5.15","14910","6.75","31","6.0%","","4","","6","","10","","21","",""
"Mirrorform","U","M","9873","3.19","3065","3.53","75","","","10","","16","","26","","49","",""
"Noggle the Mind","U","U","68324","4.44","13091","5.76","42","","","5","","12","","17","","25","",""
"Oko, Lorwyn Liege","U","M","4641","1.79","2672","1.82","322","","","47","","105","","152","","170","",""
"Omni-Changeling","U","U","53514","3.61","16863","4.20","134","24.1%","","20","","29","","49","","85","",""
"Pestered Wellguard","U","U","59640","4.05","13642","4.99","6","","","1","","3","","4","","2","",""
"Rime Chill","U","U","92505","5.90","14136","8.19","439","33.9%","","69","","103","","172","","267","",""
"Rimefire Torque","U","R","41556","5.89","5016","9.05","3","","","1","","0","","1","","2","",""
"Rimekin Recluse","U","U","43287","3.08","18435","3.45","488","60.4%","","83","","120","","203","","282","",""
"Run Away Together","U","C","266586","7.23","33954","10.46","24","1.1%","","6","","7","","13","","12","",""
"Shinestriker","U","U","57025","3.88","18570","4.42","1155","69.4%","52.3%","188","","317","","505","58.0%","632","46.8%","11.2pp"
"Silvergill Mentor","U","U","61530","4.20","16854","4.91","3","","","0","","0","","0","","3","",""
"Silvergill Peddler","U","C","250777","6.59","38710","9.10","2","0.1%","","0","","0","","0","","2","",""
"Spell Snare","U","U","101394","6.81","11712","10.13","0","0.0%","","0","","0","","0","","0","",""
"Stratosoarer","U","C","244473","6.10","36565","8.65","300","11.0%","","52","","80","","132","","166","",""
"Summit Sentinel","U","C","249441","6.48","36308","9.10","60","3.3%","","15","","10","","25","","35","",""
"Sunderflock","U","R","11513","2.45","4993","2.59","351","","","55","","99","","154","","189","",""
"Swat Away","U","U","76415","4.90","15404","6.34","0","0.0%","","0","","0","","0","","0","",""
"Sygg, Wanderwine Wisdom","U","R","10592","2.23","5075","2.38","79","","","15","","17","","32","","47","",""
"Tanufel Rimespeaker","U","U","58728","4.02","16455","4.73","485","61.6%","","87","","119","","206","","271","",""
"Temporal Cleansing","U","C","242246","6.04","44860","8.14","143","6.4%","","17","","37","","54","","89","",""
"Thirst for Identity","U","U","86802","5.61","12633","7.93","117","13.5%","","15","","29","","44","","73","",""
"Unexpected Assistance","U","C","221799","5.47","43853","7.21","154","8.5%","","24","","49","","73","","82","",""
"Unwelcome Sprite","U","U","68927","4.51","16752","5.56","9","","","2","","3","","5","","4","",""
"Wanderwine Distracter","U","C","268212","7.52","32457","10.93","0","0.0%","","0","","0","","0","","0","",""
"Wanderwine Farewell","U","U","75616","4.92","16361","6.16","15","2.7%","","1","","6","","7","","8","",""
"Wild Unraveling","U","C","264690","7.17","35281","10.26","0","0.0%","","0","","0","","0","","0","",""
"Auntie's Sentence","B","C","236456","5.90","31195","8.47","12","1.0%","","4","","3","","7","","5","",""
"Barbed Bloodletter","B","C","269958","7.37","31823","10.77","4","0.2%","","1","","1","","2","","2","",""
"Bile-Vial Boggart","B","C","249058","6.56","30278","9.45","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","4753","1.84","2337","1.90","33","","","5","","6","","11","","22","",""
"Blight Rot","B","C","147540","3.75","34744","4.69","385","29.7%","","52","","104","","156","","229","",""
"Blighted Blackthorn","B","C","258189","6.77","31841","9.86","90","4.9%","","20","","30","","50","","40","",""
"Bloodline Bidding","B","R","16843","3.11","5473","3.41","29","","","8","","6","","14","","15","",""
"Boggart Mischief","B","U","60278","4.26","12997","5.09","0","0.0%","","0","","0","","0","","0","",""
"Boggart Prankster","B","C","255837","6.95","32401","9.83","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","150988","3.81","36621","4.76","683","44.1%","48.3%","113","","171","","284","","400","",""
"Champion of the Weird","B","R","15162","2.95","4533","3.33","61","","","8","","22","","30","","32","",""
"Creakwood Safewright","B","U","53560","3.70","14996","4.35","37","7.3%","","10","","6","","16","","21","",""
"Darkness Descends","B","U","95026","6.33","10731","9.49","1","0.1%","","0","","0","","0","","1","",""
"Dawnhand Dissident","B","R","11999","2.34","5465","2.53","129","","","27","","27","","54","","74","",""
"Dawnhand Eulogist","B","C","216116","5.59","42248","7.10","20","1.1%","","5","","4","","9","","11","",""
"Dose of Dawnglow","B","U","90028","5.75","11857","8.29","65","8.9%","","10","","18","","28","","37","",""
"Dream Seizer","B","C","258075","6.79","31855","9.87","24","1.3%","","8","","4","","12","","12","",""
"Gloom Ripper","B","R","11514","2.37","5060","2.52","51","","","10","","16","","26","","21","",""
"Gnarlbark Elm","B","U","60842","4.04","12285","5.08","123","24.2%","","26","","28","","54","","69","",""
"Graveshifter","B","U","49914","3.37","14390","4.02","465","62.4%","","83","","129","","212","","245","",""
"Grub, Storied Matriarch","B","R","17123","3.18","4605","3.71","83","","","15","","24","","39","","43","",""
"Gutsplitter Gang","B","U","81076","5.40","11612","7.39","2","0.4%","","0","","2","","2","","0","",""
"Heirloom Auntie","B","C","252193","6.83","28879","9.92","0","0.0%","","0","","0","","0","","0","",""
"Iron-Shield Elf","B","U","60550","4.02","15978","4.81","6","1.2%","","1","","0","","1","","5","",""
"Moonglove Extractor","B","C","247713","6.43","31116","9.30","3","0.2%","","0","","2","","2","","1","",""
"Moonshadow","B","M","5445","2.02","2376","2.15","16","","","3","","4","","7","","9","",""
"Mornsong Aria","B","R","42930","5.97","5168","9.22","0","0.0%","","0","","0","","0","","0","",""
"Mudbutton Cursetosser","B","U","74854","4.94","13178","6.30","7","1.2%","","4","","0","","4","","3","",""
"Nameless Inversion","B","U","43974","3.06","14901","3.54","197","33.7%","","37","","49","","86","","103","",""
"Nightmare Sower","B","U","76977","5.16","10660","7.12","11","","","3","","5","","8","","3","",""
"Perfect Intimidation","B","U","100718","6.69","10757","10.20","0","0.0%","","0","","0","","0","","0","",""
"Requiting Hex","B","U","72647","4.68","11556","6.31","15","","","1","","4","","5","","10","",""
"Retched Wretch","B","U","83269","5.47","11917","7.54","8","","","1","","4","","5","","3","",""
"Scarblade Scout","B","C","205183","5.19","41124","6.64","17","1.3%","","4","","4","","8","","9","",""
"Scarblade's Malice","B","C","252105","6.51","31125","9.52","6","0.5%","","1","","0","","1","","5","",""
"Shimmercreep","B","U","80807","5.08","14910","6.83","2097","75.1%","51.6%","353","","517","57.3%","870","55.5%","1197","48.5%","7.1pp"
"Taster of Wares","B","R","14624","2.78","5501","3.03","153","","","21","","36","","57","","92","",""
"Twilight Diviner","B","R","17173","3.06","4865","3.58","10","","","2","","1","","3","","7","",""
