"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","1593","79.7%","52.5%","326","","387","","713","52.5%","871","52.6%","-0.1pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","306","26.2%","","43","","95","","138","","168","",""
"Adept Watershaper","W","R","3169","2.09","1465","2.23","36","","","6","","7","","13","","23","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","20","","","4","","4","","8","","13","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","0","","","0","","0","","0","","0","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","94","","","13","","30","","43","","55","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","14","","","2","","5","","7","","7","",""
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","0","","","0","","0","","0","","0","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","1","","","0","","1","","1","","0","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","13","","","4","","4","","8","","5","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","74","","","5","","24","","29","","45","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","30","","","4","","9","","13","","16","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","0","","","0","","0","","0","","0","",""
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","2","","","0","","0","","0","","2","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","28","","","6","","5","","11","","17","",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","0","","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","0","","","0","","0","","0","","0","",""
"Keep Out","W","C","64959","5.17","8974","7.39","24","","","4","","4","","8","","16","",""
"Kinbinding","W","R","2760","1.90","1609","1.97","90","","","14","","22","","36","","54","",""
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","8","","","2","","3","","5","","3","",""
"Kithkeeper","W","U","26290","5.42","4657","7.24","533","73.9%","53.7%","92","","155","","247","","278","",""
"Liminal Hold","W","C","47890","3.83","12204","4.75","287","55.0%","","35","","73","","108","","179","",""
"Meanders Guide","W","U","20764","4.49","4171","5.67","0","","","0","","0","","0","","0","",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","75","","","18","","19","","37","","38","",""
"Morningtide's Light","W","M","3352","3.30","766","3.81","14","","","3","","4","","7","","7","",""
"Personify","W","U","23244","4.75","4213","6.23","10","","","2","","1","","3","","7","",""
"Protective Response","W","U","15318","3.38","4511","3.91","50","","","6","","22","","28","","22","",""
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","93","","","20","","21","","41","","52","",""
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","6","","","1","","1","","2","","4","",""
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","15","","","2","","3","","5","","10","",""
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","0","","","0","","0","","0","","0","",""
"Shore Lurker","W","C","77512","6.42","10036","9.14","0","","","0","","0","","0","","0","",""
"Slumbering Walker","W","R","3082","2.02","1535","2.14","30","","","6","","6","","12","","18","",""
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","156","","","29","","42","","71","","85","",""
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","8","","","1","","5","","6","","2","",""
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","6","","","0","","2","","2","","4","",""
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","0","","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","0","","","0","","0","","0","","0","",""
"Wanderbrine Preacher","W","C","70960","5.60","12505","7.47","0","","","0","","0","","0","","0","",""
"Wanderbrine Trapper","W","U","18496","3.91","5436","4.51","18","","","1","","4","","5","","13","",""
"Winnowing","W","R","6724","3.67","1418","4.53","0","","","0","","0","","0","","0","",""
"Aquitect's Defenses","U","C","82635","7.05","10565","10.25","0","0.0%","","0","","0","","0","","0","",""
"Blossombind","U","C","58894","4.64","12921","5.95","105","","","23","","27","","50","","55","",""
"Champions of the Shoal","U","R","4012","2.66","1618","2.90","10","","","2","","3","","5","","5","",""
"Disruptor of Currents","U","R","3791","2.33","1839","2.51","19","","","5","","9","","14","","5","",""
"Flitterwing Nuisance","U","R","3602","2.35","1650","2.49","30","","","4","","10","","14","","16","",""
"Glamer Gifter","U","U","18577","3.94","5104","4.73","0","","","0","","0","","0","","0","",""
"Glamermite","U","C","77133","6.33","10788","9.00","12","","","2","","2","","4","","8","",""
"Glen Elendra Guardian","U","R","3746","2.32","1680","2.50","25","","","2","","7","","9","","16","",""
"Glen Elendra's Answer","U","M","4501","3.89","1031","4.71","8","","","2","","4","","6","","2","",""
"Gravelgill Scoundrel","U","C","77774","6.59","12039","8.96","1","","","0","","0","","0","","1","",""
"Harmonized Crescendo","U","R","6735","3.73","1601","4.53","0","","","0","","0","","0","","0","",""
"Illusion Spinners","U","U","26991","5.72","3825","7.94","16","","","4","","4","","8","","8","",""
"Kulrath Mystic","U","C","83350","7.21","11470","10.19","5","0.6%","","0","","0","","0","","5","",""
"Loch Mare","U","M","1374","1.69","861","1.77","43","","","10","","9","","19","","26","",""
"Lofty Dreams","U","U","24985","5.18","4872","6.71","0","","","0","","0","","0","","0","",""
"Mirrorform","U","M","3109","3.28","944","3.52","36","","","4","","8","","12","","24","",""
"Noggle the Mind","U","U","21862","4.57","3893","5.95","13","","","2","","0","","2","","11","",""
"Oko, Lorwyn Liege","U","M","1394","1.72","840","1.73","92","","","13","","32","","45","","47","",""
"Omni-Changeling","U","U","18560","3.93","5294","4.63","10","","","2","","0","","2","","8","",""
"Pestered Wellguard","U","U","18444","4.02","4467","4.86","6","","","1","","3","","4","","2","",""
"Rime Chill","U","U","28191","5.72","4700","7.63","180","","","28","","40","","68","","112","",""
"Rimefire Torque","U","R","12523","5.62","1468","8.53","3","","","1","","0","","1","","2","",""
"Rimekin Recluse","U","U","14359","3.20","5926","3.58","107","","","21","","24","","45","","62","",""
"Run Away Together","U","C","82443","7.12","10788","10.23","6","0.8%","","2","","2","","4","","3","",""
"Shinestriker","U","U","19822","4.25","5827","4.90","380","74.2%","","56","","91","","147","","223","",""
"Silvergill Mentor","U","U","19987","4.32","5268","5.09","0","","","0","","0","","0","","0","",""
"Silvergill Peddler","U","C","79239","6.64","11825","9.19","2","","","0","","0","","0","","2","",""
"Spell Snare","U","U","31076","6.64","3716","9.78","0","","","0","","0","","0","","0","",""
"Stratosoarer","U","C","78015","6.22","11208","8.83","65","8.6%","","14","","14","","28","","37","",""
"Summit Sentinel","U","C","77330","6.38","11940","8.85","0","0.0%","","0","","0","","0","","0","",""
"Sunderflock","U","R","4006","2.62","1579","2.77","136","","","23","","29","","52","","80","",""
"Swat Away","U","U","21812","4.57","5244","5.66","0","","","0","","0","","0","","0","",""
"Sygg, Wanderwine Wisdom","U","R","3384","2.25","1577","2.40","29","","","5","","8","","13","","16","",""
"Tanufel Rimespeaker","U","U","20146","4.37","5091","5.28","159","","","30","","42","","72","","84","",""
"Temporal Cleansing","U","C","74933","5.94","14166","7.91","48","7.3%","","4","","11","","15","","33","",""
"Thirst for Identity","U","U","26267","5.43","4123","7.44","30","","","5","","6","","11","","19","",""
"Unexpected Assistance","U","C","70903","5.61","13523","7.39","20","3.3%","","4","","3","","7","","13","",""
"Unwelcome Sprite","U","U","21189","4.45","5426","5.40","7","","","2","","1","","3","","4","",""
"Wanderwine Distracter","U","C","83885","7.41","10309","10.73","0","0.0%","","0","","0","","0","","0","",""
