"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","232675","4.59","45959","6.32","4140","77.7%","50.9%","731","51.2%","1053","54.7%","1784","53.3%","2328","49.1%","4.2pp"
"Rooftop Percher","","C","295914","6.23","47881","8.71","2622","51.7%","52.1%","453","","661","56.0%","1114","53.7%","1494","50.7%","3.0pp"
"Adept Watershaper","W","R","11807","2.14","5257","2.31","38","","","5","","12","","17","","21","",""
"Ajani, Outland Chaperone","W","M","4327","1.49","2693","1.54","33","","","3","","9","","12","","21","",""
"Appeal to Eirdu","W","C","320101","7.75","36149","11.28","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","120724","7.19","14775","10.46","0","0.0%","","0","","0","","0","","0","",""
"Brigid, Clachan's Heart","W","R","11871","2.20","5250","2.34","13","","","1","","3","","4","","9","",""
"Burdened Stoneback","W","U","80103","4.55","13268","5.98","9","","","2","","3","","5","","4","",""
"Champion of the Clachan","W","R","16961","2.84","4960","3.25","1","","","0","","1","","1","","0","",""
"Clachan Festival","W","U","64133","3.84","15515","4.65","0","","","0","","0","","0","","0","",""
"Crib Swap","W","U","93393","5.43","9370","8.40","14","2.8%","","0","","3","","3","","11","",""
"Curious Colossus","W","M","5377","1.78","3105","1.82","33","","","6","","14","","20","","14","",""
"Eirdu, Carrier of Dawn","W","M","4321","1.48","2803","1.50","95","","","22","","21","","43","","52","",""
"Encumbered Reejerey","W","U","60804","3.59","16804","4.24","0","","","0","","0","","0","","0","",""
"Evershrike's Gift","W","U","102303","5.79","13801","8.23","6","1.1%","","0","","2","","2","","4","",""
"Flock Impostor","W","U","69197","3.89","15466","4.87","32","","","6","","6","","12","","20","",""
"Gallant Fowlknight","W","C","281680","6.45","37250","9.17","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","290580","6.65","35583","9.59","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","248749","5.31","32468","7.73","23","2.1%","","4","","3","","7","","16","",""
"Kinbinding","W","R","9383","1.79","5968","1.83","28","","","4","","8","","12","","15","",""
"Kinsbaile Aspirant","W","U","74924","4.41","16373","5.29","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","12816","2.23","5271","2.42","20","","","0","","5","","5","","15","",""
"Kithkeeper","W","U","94704","5.27","16835","7.07","115","16.3%","","14","","40","","54","","58","",""
"Liminal Hold","W","C","172508","3.74","43352","4.69","142","12.5%","","30","","29","","59","","84","",""
"Meanders Guide","W","U","77720","4.56","14409","5.90","17","","","3","","6","","9","","7","",""
"Moonlit Lamenter","W","U","66639","3.93","15093","4.83","60","9.0%","","16","","15","","31","","29","",""
"Morningtide's Light","W","M","12958","3.38","2955","4.01","6","","","0","","2","","2","","4","",""
"Personify","W","U","90062","5.00","14964","6.77","22","4.1%","","3","","6","","9","","13","",""
"Protective Response","W","U","55552","3.30","16691","3.85","26","","","5","","5","","10","","16","",""
"Pyrrhic Strike","W","U","53135","3.19","18336","3.65","46","","","4","","14","","18","","28","",""
"Reluctant Dounguard","W","C","277324","6.22","32491","9.16","0","0.0%","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","15924","2.64","5045","2.93","31","","","8","","4","","12","","19","",""
"Riverguard's Reflexes","W","C","310503","7.31","36109","10.72","3","0.2%","","0","","0","","0","","3","",""
"Shore Lurker","W","C","286919","6.45","36969","9.26","8","0.5%","","1","","4","","5","","3","",""
"Slumbering Walker","W","R","11572","2.05","5734","2.17","24","","","3","","12","","15","","9","",""
"Spiral into Solitude","W","C","196161","4.16","40357","5.43","37","4.2%","","7","","8","","15","","22","",""
"Sun-Dappled Celebrant","W","C","272262","5.93","35785","8.53","10","0.9%","","0","","0","","0","","10","",""
"Thoughtweft Imbuer","W","U","65872","4.08","16671","4.74","0","","","0","","0","","0","","0","",""
"Timid Shieldbearer","W","C","260517","5.63","42410","7.67","0","0.0%","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","278100","6.33","41838","8.65","2","0.1%","","0","","1","","1","","1","",""
"Wanderbrine Preacher","W","C","258096","5.55","44856","7.42","0","0.0%","","0","","0","","0","","0","",""
