"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","1668","77.0%","51.9%","288","","411","","699","53.2%","959","50.8%","2.4pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","412","26.8%","","70","","110","","180","","231","",""
"Adept Watershaper","W","R","3169","2.09","1465","2.23","13","","","1","","5","","6","","7","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","11","","","2","","2","","4","","7","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","0","","","0","","0","","0","","0","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","4","","","1","","0","","1","","3","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","5","","","1","","2","","3","","2","",""
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","1","","","0","","1","","1","","0","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","0","","","0","","0","","0","","0","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","6","","","0","","1","","1","","5","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","12","","","1","","4","","5","","7","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","37","","","7","","9","","16","","21","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","0","","","0","","0","","0","","0","",""
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","0","","","0","","0","","0","","0","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","5","","","2","","0","","2","","3","",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","0","","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","64959","5.17","8974","7.39","6","","","1","","1","","2","","4","",""
"Kinbinding","W","R","2760","1.90","1609","1.97","4","","","0","","0","","0","","4","",""
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","4","","","0","","1","","1","","3","",""
"Kithkeeper","W","U","26290","5.42","4657","7.24","27","","","5","","12","","17","","9","",""
"Liminal Hold","W","C","47890","3.83","12204","4.75","24","","","10","","4","","14","","11","",""
"Meanders Guide","W","U","20764","4.49","4171","5.67","3","","","1","","2","","3","","0","",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","34","","","9","","9","","18","","16","",""
"Morningtide's Light","W","M","3352","3.30","766","3.81","6","","","0","","2","","2","","4","",""
"Personify","W","U","23244","4.75","4213","6.23","17","","","2","","6","","8","","9","",""
"Protective Response","W","U","15318","3.38","4511","3.91","16","","","4","","3","","7","","9","",""
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","7","","","0","","2","","2","","5","",""
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","0","","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","13","","","4","","1","","5","","8","",""
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","3","0.4%","","0","","0","","0","","3","",""
"Shore Lurker","W","C","77512","6.42","10036","9.14","8","1.2%","","1","","4","","5","","3","",""
"Slumbering Walker","W","R","3082","2.02","1535","2.14","1","","","0","","0","","0","","1","",""
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","6","","","2","","0","","2","","4","",""
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","4","","","0","","0","","0","","4","",""
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","0","","","0","","0","","0","","0","",""
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","0","","","0","","0","","0","","0","",""
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","2","0.3%","","0","","1","","1","","1","",""
"Wanderbrine Preacher","W","C","70960","5.60","12505","7.47","0","0.0%","","0","","0","","0","","0","",""
"Wanderbrine Trapper","W","U","18496","3.91","5436","4.51","0","","","0","","0","","0","","0","",""
"Winnowing","W","R","6724","3.67","1418","4.53","0","","","0","","0","","0","","0","",""
"Aquitect's Defenses","U","C","82635","7.05","10565","10.25","2544","57.7%","49.6%","409","","649","49.6%","1058","49.9%","1488","49.4%","0.5pp"
"Blossombind","U","C","58894","4.64","12921","5.95","4667","92.6%","49.2%","831","48.9%","1195","51.2%","2026","50.2%","2643","48.4%","1.8pp"
"Champions of the Shoal","U","R","4012","2.66","1618","2.90","405","75.7%","","67","","111","","178","","227","",""
"Disruptor of Currents","U","R","3791","2.33","1839","2.51","777","100.0%","51.7%","135","","206","","341","","439","",""
"Flitterwing Nuisance","U","R","3602","2.35","1650","2.49","1110","100.0%","51.4%","198","","287","","485","","625","44.3%",""
"Glamer Gifter","U","U","18577","3.94","5104","4.73","2983","99.5%","49.9%","513","51.5%","833","55.0%","1346","53.6%","1632","46.8%","6.9pp"
"Glamermite","U","C","77133","6.33","10788","9.00","6409","91.1%","49.2%","1132","47.1%","1594","54.5%","2726","51.4%","3671","47.5%","3.9pp"
"Glen Elendra Guardian","U","R","3746","2.32","1680","2.50","1234","100.0%","48.0%","229","","322","","551","54.6%","685","42.6%","12.0pp"
"Glen Elendra's Answer","U","M","4501","3.89","1031","4.71","481","89.9%","","84","","124","","208","","273","",""
"Gravelgill Scoundrel","U","C","77774","6.59","12039","8.96","1439","45.5%","47.7%","249","","357","","606","49.8%","831","46.0%","3.9pp"
"Harmonized Crescendo","U","R","6735","3.73","1601","4.53","361","69.6%","","53","","96","","149","","212","",""
"Illusion Spinners","U","U","26991","5.72","3825","7.94","2826","90.1%","49.6%","464","","744","56.2%","1208","53.4%","1621","46.9%","6.4pp"
"Kulrath Mystic","U","C","83350","7.21","11470","10.19","993","33.1%","50.8%","187","","266","","453","","542","50.9%",""
"Loch Mare","U","M","1374","1.69","861","1.77","552","100.0%","54.3%","99","","139","","238","","318","",""
