"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","232675","4.59","45959","6.32","3759","86.2%","51.7%","688","50.0%","991","56.5%","1679","53.8%","2023","49.6%","4.3pp"
"Rooftop Percher","","C","295914","6.23","47881","8.71","1098","43.8%","51.4%","174","","283","","457","","627","49.3%",""
"Adept Watershaper","W","R","11807","2.14","5257","2.31","111","","","20","","33","","53","","57","",""
"Ajani, Outland Chaperone","W","M","4327","1.49","2693","1.54","31","","","8","","9","","17","","14","",""
"Appeal to Eirdu","W","C","320101","7.75","36149","11.28","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","120724","7.19","14775","10.46","19","3.2%","","3","","6","","9","","10","",""
"Brigid, Clachan's Heart","W","R","11871","2.20","5250","2.34","141","","","31","","33","","64","","76","",""
"Burdened Stoneback","W","U","80103","4.55","13268","5.98","0","","","0","","0","","0","","0","",""
"Champion of the Clachan","W","R","16961","2.84","4960","3.25","31","","","1","","10","","11","","21","",""
"Clachan Festival","W","U","64133","3.84","15515","4.65","48","","","9","","20","","29","","19","",""
"Crib Swap","W","U","93393","5.43","9370","8.40","16","","","3","","3","","6","","8","",""
"Curious Colossus","W","M","5377","1.78","3105","1.82","113","","","19","","38","","57","","56","",""
"Eirdu, Carrier of Dawn","W","M","4321","1.48","2803","1.50","59","","","8","","17","","25","","34","",""
"Encumbered Reejerey","W","U","60804","3.59","16804","4.24","3","","","0","","3","","3","","0","",""
"Evershrike's Gift","W","U","102303","5.79","13801","8.23","17","","","5","","5","","10","","8","",""
"Flock Impostor","W","U","69197","3.89","15466","4.87","85","","","11","","25","","36","","48","",""
"Gallant Fowlknight","W","C","281680","6.45","37250","9.17","15","1.6%","","1","","3","","4","","11","",""
"Goldmeadow Nomad","W","C","290580","6.65","35583","9.59","6","0.8%","","0","","1","","1","","5","",""
"Keep Out","W","C","248749","5.31","32468","7.73","85","14.4%","","14","","20","","34","","51","",""
"Kinbinding","W","R","9383","1.79","5968","1.83","130","","","19","","39","","58","","73","",""
"Kinsbaile Aspirant","W","U","74924","4.41","16373","5.29","0","","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","12816","2.23","5271","2.42","29","","","5","","10","","15","","15","",""
"Kithkeeper","W","U","94704","5.27","16835","7.07","919","67.9%","50.4%","134","","258","","392","","520","46.0%",""
"Liminal Hold","W","C","172508","3.74","43352","4.69","882","67.4%","48.4%","142","","266","","408","","476","",""
"Meanders Guide","W","U","77720","4.56","14409","5.90","7","","","2","","1","","3","","4","",""
"Moonlit Lamenter","W","U","66639","3.93","15093","4.83","76","","","11","","22","","33","","44","",""
"Morningtide's Light","W","M","12958","3.38","2955","4.01","51","","","7","","16","","23","","29","",""
"Personify","W","U","90062","5.00","14964","6.77","56","","","13","","14","","27","","29","",""
"Protective Response","W","U","55552","3.30","16691","3.85","74","","","8","","26","","34","","40","",""
"Pyrrhic Strike","W","U","53135","3.19","18336","3.65","191","","","27","","53","","80","","111","",""
"Reluctant Dounguard","W","C","277324","6.22","32491","9.16","0","0.0%","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","15924","2.64","5045","2.93","42","","","3","","9","","12","","30","",""
"Riverguard's Reflexes","W","C","310503","7.31","36109","10.72","0","0.0%","","0","","0","","0","","0","",""
"Shore Lurker","W","C","286919","6.45","36969","9.26","6","0.6%","","1","","2","","3","","3","",""
"Slumbering Walker","W","R","11572","2.05","5734","2.17","59","","","11","","19","","30","","28","",""
"Spiral into Solitude","W","C","196161","4.16","40357","5.43","219","33.4%","","42","","61","","103","","117","",""
"Sun-Dappled Celebrant","W","C","272262","5.93","35785","8.53","7","1.0%","","2","","1","","3","","4","",""
"Thoughtweft Imbuer","W","U","65872","4.08","16671","4.74","33","","","5","","6","","11","","23","",""
"Timid Shieldbearer","W","C","260517","5.63","42410","7.67","4","0.6%","","1","","0","","1","","3","",""
"Tributary Vaulter","W","C","278100","6.33","41838","8.65","15","1.7%","","3","","4","","7","","9","",""
"Wanderbrine Preacher","W","C","258096","5.55","44856","7.42","18","2.4%","","5","","3","","8","","10","",""
"Wanderbrine Trapper","W","U","64329","3.78","19510","4.35","30","","","4","","8","","12","","18","",""
"Winnowing","W","R","28076","4.00","5167","5.11","19","","","2","","4","","6","","13","",""
"Aquitect's Defenses","U","C","308220","7.20","39079","10.47","893","24.0%","48.9%","151","","231","","382","","511","48.5%",""
"Blossombind","U","C","217227","4.58","46168","5.99","6497","95.9%","51.3%","1138","49.0%","1807","55.8%","2945","53.2%","3555","49.8%","3.4pp"
"Champions of the Shoal","U","R","14353","2.56","5918","2.79","641","84.5%","53.8%","117","","166","","283","","350","",""
"Disruptor of Currents","U","R","13868","2.33","6772","2.52","1220","99.2%","50.1%","202","","337","","539","54.7%","673","46.5%","8.2pp"
"Flitterwing Nuisance","U","R","13604","2.37","6375","2.54","1108","98.8%","54.4%","222","","299","","521","58.2%","584","51.2%","7.0pp"
"Glamer Gifter","U","U","70107","4.00","19122","4.82","2392","92.8%","50.0%","431","","611","56.5%","1042","52.7%","1348","47.8%","4.8pp"
"Glamermite","U","C","291651","6.60","39086","9.52","2498","54.8%","50.2%","441","","670","53.9%","1111","51.2%","1387","49.5%","1.7pp"
"Glen Elendra Guardian","U","R","14519","2.41","6444","2.60","1056","98.8%","49.5%","192","","286","","478","","579","47.2%",""
"Glen Elendra's Answer","U","M","16590","3.89","4452","4.59","573","90.8%","53.6%","92","","151","","243","","329","",""
"Gravelgill Scoundrel","U","C","275841","6.30","46282","8.41","1474","41.5%","49.7%","271","","370","","641","49.5%","830","49.9%","-0.4pp"
"Harmonized Crescendo","U","R","26952","3.87","5854","4.85","216","","","33","","58","","91","","125","",""
"Illusion Spinners","U","U","105157","5.98","13620","8.63","988","54.3%","48.4%","166","","273","","439","","544","46.3%",""
"Kulrath Mystic","U","C","302528","7.07","42357","10.00","1702","43.1%","50.1%","309","","461","","770","51.3%","928","49.0%","2.3pp"
"Loch Mare","U","M","5203","1.71","3337","1.78","662","100.0%","53.3%","140","","196","","336","","321","",""
"Lofty Dreams","U","U","92376","5.15","17229","6.77","1131","64.4%","48.4%","214","","288","","502","50.6%","629","46.6%","4.0pp"
"Mirrorform","U","M","11373","3.17","3574","3.51","492","91.4%","","88","","134","","222","","270","",""
"Noggle the Mind","U","U","78518","4.42","15218","5.71","2079","92.2%","52.0%","369","","569","56.8%","938","54.8%","1143","49.8%","5.0pp"
"Oko, Lorwyn Liege","U","M","5362","1.81","3063","1.84","1482","99.7%","52.7%","243","","410","","653","61.3%","835","46.1%","15.1pp"
"Omni-Changeling","U","U","61368","3.60","19405","4.18","2541","95.1%","49.8%","388","","759","59.4%","1147","55.1%","1375","45.2%","9.9pp"
"Pestered Wellguard","U","U","69232","4.06","15683","5.01","1118","77.7%","47.3%","192","","303","","495","","621","42.8%",""
"Rime Chill","U","U","107607","5.96","16199","8.34","1926","72.1%","51.3%","315","","542","56.8%","857","52.6%","1072","50.3%","2.3pp"
"Rimefire Torque","U","R","48203","5.91","5830","9.07","14","","","1","","7","","8","","6","",""
"Rimekin Recluse","U","U","49815","3.07","21232","3.44","3156","99.4%","53.9%","600","56.0%","872","60.2%","1472","58.5%","1661","49.7%","8.8pp"
"Run Away Together","U","C","308279","7.25","39231","10.50","1271","33.7%","47.0%","203","","329","","532","48.7%","739","45.9%","2.8pp"
"Shinestriker","U","U","65015","3.84","21404","4.38","3925","97.0%","52.7%","688","52.0%","1071","61.7%","1759","57.9%","2115","48.1%","9.8pp"
"Silvergill Mentor","U","U","71044","4.20","19487","4.90","801","63.7%","52.2%","167","","218","","385","","410","",""
"Silvergill Peddler","U","C","289535","6.59","44719","9.10","1480","42.5%","48.2%","261","","388","","649","47.8%","832","48.6%","-0.8pp"
"Spell Snare","U","U","117201","6.83","13465","10.18","253","22.4%","","36","","64","","100","","153","",""
"Stratosoarer","U","C","280941","6.07","42252","8.61","3542","67.6%","51.5%","611","48.0%","1023","54.3%","1634","51.9%","1899","51.0%","0.9pp"
"Summit Sentinel","U","C","288198","6.50","41559","9.15","3011","59.9%","49.0%","537","48.2%","794","53.3%","1331","51.2%","1664","47.4%","3.9pp"
"Sunderflock","U","R","13198","2.42","5768","2.56","910","94.6%","52.9%","154","","244","","398","","494","",""
"Swat Away","U","U","89553","4.96","17553","6.45","1842","82.1%","49.9%","299","","477","","776","50.9%","1067","49.2%","1.7pp"
"Sygg, Wanderwine Wisdom","U","R","12279","2.24","5888","2.40","640","96.1%","50.8%","107","","176","","283","","353","",""
"Tanufel Rimespeaker","U","U","66803","3.97","19007","4.66","2604","95.3%","51.3%","442","","722","54.8%","1164","54.3%","1421","48.1%","6.2pp"
"Temporal Cleansing","U","C","280416","6.06","51770","8.18","4650","75.2%","49.7%","750","48.1%","1305","54.2%","2055","52.0%","2600","47.9%","4.0pp"
"Thirst for Identity","U","U","100650","5.65","14481","8.01","1098","66.9%","47.1%","176","","298","","474","","624","44.4%",""
"Unexpected Assistance","U","C","255787","5.46","50668","7.20","4449","80.0%","49.8%","741","49.1%","1218","50.1%","1959","49.7%","2490","49.9%","-0.2pp"
"Unwelcome Sprite","U","U","79914","4.53","19349","5.59","2263","87.8%","52.1%","412","","577","54.6%","989","55.6%","1274","49.5%","6.1pp"
"Wanderwine Distracter","U","C","309884","7.54","37378","10.95","357","12.8%","","57","","85","","142","","215","",""
"Wanderwine Farewell","U","U","87579","4.94","18964","6.19","698","53.8%","49.6%","111","","177","","288","","407","",""
"Wild Unraveling","U","C","305685","7.19","40658","10.31","1601","36.9%","49.7%","274","","395","","669","54.0%","933","46.7%","7.2pp"
"Auntie's Sentence","B","C","273949","5.91","35855","8.51","23","2.8%","","3","","3","","6","","17","",""
"Barbed Bloodletter","B","C","311562","7.38","36745","10.78","6","0.6%","","1","","1","","2","","4","",""
"Bile-Vial Boggart","B","C","287988","6.59","34871","9.52","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","5513","1.86","2713","1.92","3","","","3","","0","","3","","0","",""
"Blight Rot","B","C","171237","3.77","40011","4.72","299","42.5%","","50","","92","","142","","158","",""
"Blighted Blackthorn","B","C","298462","6.78","36811","9.89","58","5.0%","","11","","14","","25","","32","",""
"Bloodline Bidding","B","R","19403","3.09","6396","3.38","14","","","3","","3","","6","","8","",""
"Boggart Mischief","B","U","69485","4.25","15170","5.08","0","","","0","","0","","0","","0","",""
"Boggart Prankster","B","C","295155","6.95","37566","9.83","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","174661","3.82","42344","4.77","424","51.4%","","75","","116","","191","","232","",""
"Champion of the Weird","B","R","17473","2.95","5299","3.33","8","","","0","","4","","4","","4","",""
"Creakwood Safewright","B","U","61889","3.69","17385","4.35","5","","","1","","2","","3","","2","",""
"Darkness Descends","B","U","110246","6.38","12281","9.58","17","","","2","","6","","8","","9","",""
"Dawnhand Dissident","B","R","13816","2.34","6359","2.52","123","","","20","","39","","59","","64","",""
"Dawnhand Eulogist","B","C","247486","5.54","48742","7.04","62","5.1%","","14","","15","","29","","33","",""
"Dose of Dawnglow","B","U","104042","5.76","13642","8.33","59","11.1%","","7","","16","","23","","36","",""
"Dream Seizer","B","C","298586","6.84","36546","9.94","40","3.2%","","5","","11","","16","","24","",""
"Gloom Ripper","B","R","13195","2.36","5886","2.52","33","","","7","","8","","15","","18","",""
"Gnarlbark Elm","B","U","70829","4.08","14280","5.14","55","","","11","","7","","18","","37","",""
"Graveshifter","B","U","57644","3.36","16768","4.01","249","","","51","","63","","114","","134","",""
"Grub, Storied Matriarch","B","R","19823","3.19","5400","3.70","5","","","1","","2","","3","","2","",""
"Gutsplitter Gang","B","U","94085","5.43","13447","7.44","0","","","0","","0","","0","","0","",""
"Heirloom Auntie","B","C","291961","6.86","33372","10.00","0","0.0%","","0","","0","","0","","0","",""
"Iron-Shield Elf","B","U","69798","4.01","18421","4.79","5","","","2","","1","","3","","2","",""
"Moonglove Extractor","B","C","286743","6.46","35786","9.36","11","1.2%","","0","","3","","3","","8","",""
"Moonshadow","B","M","6416","2.03","2767","2.16","12","","","4","","6","","10","","2","",""
"Mornsong Aria","B","R","49614","5.98","6081","9.18","0","","","0","","0","","0","","0","",""
"Mudbutton Cursetosser","B","U","86278","4.95","15341","6.31","0","","","0","","0","","0","","0","",""
"Nameless Inversion","B","U","50958","3.06","17283","3.55","106","","","16","","27","","43","","62","",""
"Nightmare Sower","B","U","89828","5.21","12312","7.23","49","","","10","","13","","23","","26","",""
"Perfect Intimidation","B","U","116512","6.72","12320","10.25","4","","","0","","2","","2","","2","",""
"Requiting Hex","B","U","84758","4.73","13200","6.40","25","","","4","","7","","11","","14","",""
"Retched Wretch","B","U","96370","5.49","13787","7.56","0","","","0","","0","","0","","0","",""
"Scarblade Scout","B","C","236475","5.17","47644","6.62","12","1.5%","","3","","2","","5","","7","",""
"Scarblade's Malice","B","C","291245","6.54","35628","9.57","0","0.0%","","0","","0","","0","","0","",""
"Shimmercreep","B","U","93482","5.08","17132","6.84","924","72.2%","51.7%","143","","256","","399","","521","48.8%",""
"Taster of Wares","B","R","16867","2.79","6409","3.03","74","","","10","","22","","32","","41","",""
"Twilight Diviner","B","R","19941","3.07","5655","3.60","7","","","2","","3","","5","","2","",""
"Unbury","B","U","70855","3.96","16887","4.94","69","","","10","","17","","27","","42","",""
"Ashling, Rekindled","R","R","16370","2.76","6330","3.02","99","","","20","","20","","40","","59","",""
"Boldwyr Aggressor","R","U","108946","6.32","13835","9.16","17","","","3","","3","","6","","11","",""
"Boneclub Berserker","R","C","300288","7.39","34582","10.75","0","0.0%","","0","","0","","0","","0","",""
"Boulder Dash","R","U","69703","3.98","17518","4.85","38","","","5","","13","","18","","20","",""
"Brambleback Brute","R","C","298005","6.98","37170","10.07","0","0.0%","","0","","0","","0","","0","",""
"Burning Curiosity","R","C","308999","7.28","43121","10.22","22","1.6%","","2","","6","","8","","14","",""
"Champion of the Path","R","R","19070","3.13","5665","3.59","32","","","6","","8","","14","","17","",""
"Cinder Strike","R","C","184336","4.09","49654","4.97","190","25.2%","","26","","56","","82","","108","",""
"Collective Inferno","R","R","31831","4.48","4754","6.26","0","","","0","","0","","0","","0","",""
"Elder Auntie","R","C","287195","6.68","38127","9.46","0","0.0%","","0","","0","","0","","0","",""
"End-Blaze Epiphany","R","R","15985","2.57","7380","2.75","163","","","23","","46","","69","","94","",""
"Enraged Flamecaster","R","C","287148","6.63","36525","9.57","29","3.2%","","6","","9","","15","","14","",""
"Explosive Prodigy","R","U","60632","3.58","20393","4.11","527","73.4%","55.2%","95","","170","","265","","260","",""
"Feed the Flames","R","C","225073","4.84","43475","6.36","263","31.7%","","46","","66","","112","","151","",""
"Flame-Chain Mauler","R","C","290320","6.61","43114","9.21","5","0.6%","","1","","1","","2","","3","",""
"Flamebraider","R","U","65590","3.97","20098","4.54","79","","","12","","21","","33","","45","",""
"Flamekin Gildweaver","R","C","268070","5.93","49494","7.76","121","9.5%","","21","","35","","56","","64","",""
"Giantfall","R","U","85838","4.79","14897","6.33","28","","","3","","9","","12","","16","",""
"Goatnap","R","U","123230","7.45","13526","11.10","0","0.0%","","0","","0","","0","","0","",""
"Goliath Daydreamer","R","R","15956","2.66","6180","2.91","11","","","3","","2","","5","","6","",""
"Gristle Glutton","R","C","282846","6.40","47311","8.58","21","2.2%","","5","","6","","11","","10","",""
"Hexing Squelcher","R","R","21289","3.22","4403","4.07","9","","","0","","1","","1","","7","",""
"Impolite Entrance","R","U","121419","7.23","13656","10.69","0","0.0%","","0","","0","","0","","0","",""
"Kindle the Inner Flame","R","U","108329","6.30","16922","8.53","38","7.3%","","11","","10","","21","","17","",""
"Kulrath Zealot","R","C","247381","5.36","50804","6.90","257","19.7%","","49","","86","","135","","122","",""
"Lasting Tarfire","R","U","110179","6.61","14583","9.31","0","","","0","","0","","0","","0","",""
"Lavaleaper","R","R","41010","5.36","5003","8.31","14","","","1","","5","","6","","8","",""
"Meek Attack","R","M","25038","5.49","3173","8.41","0","","","0","","0","","0","","0","",""
"Reckless Ransacking","R","C","316187","7.83","35525","11.47","2","0.1%","","0","","0","","0","","2","",""
"Scuzzback Scrounger","R","R","20288","3.11","6096","3.59","17","","","2","","2","","4","","13","",""
"Sear","R","U","48828","2.94","17565","3.39","170","","","34","","45","","79","","92","",""
"Sizzling Changeling","R","U","76357","4.22","17877","5.25","53","","","10","","21","","31","","21","",""
"Soul Immolation","R","M","6940","2.23","3714","2.31","70","","","11","","24","","35","","35","",""
"Soulbright Seeker","R","U","94317","5.35","17478","6.97","12","","","0","","3","","3","","9","",""
"Sourbread Auntie","R","U","85278","4.95","16477","6.31","0","","","0","","0","","0","","0","",""
"Spinerock Tyrant","R","M","5278","1.76","2953","1.82","57","","","12","","10","","22","","34","",""
"Squawkroaster","R","U","97594","5.48","14383","7.63","322","51.5%","","59","","84","","143","","181","",""
"Sting-Slinger","R","U","98646","5.63","15105","7.68","0","","","0","","0","","0","","0","",""
"Tweeze","R","C","209824","4.52","43284","5.87","137","21.4%","","25","","43","","68","","68","",""
"Warren Torchmaster","R","U","104106","5.94","14866","8.25","0","","","0","","0","","0","","0","",""
"Assert Perfection","G","C","181711","3.89","50475","4.78","5887","96.7%","50.9%","925","49.8%","1646","55.0%","2571","53.1%","3318","49.2%","4.0pp"
"Aurora Awakener","G","M","5125","1.71","3372","1.72","828","99.6%","53.4%","142","","250","","392","","413","",""
"Bloom Tender","G","M","7556","2.20","2885","2.38","697","100.0%","49.9%","139","","183","","322","","375","",""
"Blossoming Defense","G","U","86224","4.61","17028","6.05","1504","83.6%","49.2%","261","","382","","643","51.2%","863","47.7%","3.4pp"
"Bristlebane Battler","G","R","10663","1.97","5333","2.09","828","99.3%","50.5%","144","","228","","372","","453","",""
"Bristlebane Outrider","G","U","77750","4.36","16260","5.52","1307","78.5%","49.2%","229","","354","","583","52.5%","717","46.7%","5.8pp"
"Celestial Reunion","G","M","15327","3.73","2737","4.83","118","","","15","","31","","46","","72","",""
"Champions of the Perfect","G","R","10685","2.02","5290","2.13","694","89.2%","51.3%","107","","197","","304","","373","",""
"Chomping Changeling","G","U","89928","4.85","12357","6.91","1121","68.5%","48.2%","170","","305","","475","","634","48.4%",""
"Crossroads Watcher","G","C","270869","5.86","41430","8.14","1998","55.0%","49.6%","371","","492","","863","51.1%","1125","48.7%","2.4pp"
"Dawn's Light Archer","G","C","277751","5.97","41499","8.42","2134","57.8%","49.2%","382","","537","47.1%","919","48.5%","1209","49.7%","-1.2pp"
"Dundoolin Weaver","G","U","61033","3.48","18199","4.15","2213","95.7%","52.2%","396","","596","57.0%","992","54.1%","1206","50.4%","3.7pp"
"Formidable Speaker","G","R","10973","2.00","5412","2.13","1015","100.0%","50.0%","184","","261","","445","","569","46.0%",""
"Gilt-Leaf's Embrace","G","C","300223","6.71","39859","9.63","1014","36.1%","49.1%","168","","256","","424","","591","47.4%",""
"Great Forest Druid","G","C","225729","4.82","39106","6.49","7218","94.7%","51.6%","1366","58.2%","1878","53.8%","3244","55.6%","3962","48.4%","7.3pp"
"Luminollusk","G","U","103983","5.63","14642","8.04","2485","79.6%","47.1%","401","","693","52.7%","1094","49.8%","1381","44.9%","4.9pp"
"Lys Alana Dignitary","G","U","70429","4.05","18084","4.85","948","70.8%","48.5%","167","","247","","414","","528","46.6%",""
"Lys Alana Informant","G","C","231513","4.88","47949","6.37","4571","87.2%","50.9%","847","56.0%","1153","50.0%","2000","52.5%","2553","49.5%","3.1pp"
"Midnight Tilling","G","C","293154","6.66","47867","9.01","1501","38.1%","50.3%","277","","388","","665","49.3%","836","51.1%","-1.8pp"
"Mistmeadow Council","G","C","239881","5.13","46588","6.76","3223","72.3%","52.0%","502","49.4%","908","56.4%","1410","53.9%","1781","50.3%","3.6pp"
"Moon-Vigil Adherents","G","U","50597","3.14","17547","3.54","1392","88.3%","51.9%","216","","399","","615","56.3%","772","48.6%","7.7pp"
"Morcant's Eyes","G","U","63849","3.96","19365","4.43","585","50.2%","49.2%","124","","147","","271","","302","",""
"Mutable Explorer","G","R","15337","2.58","5389","2.84","1160","97.7%","50.2%","197","","314","","511","52.1%","641","48.7%","3.4pp"
"Pitiless Fists","G","U","62812","3.60","19276","4.22","2342","95.3%","51.7%","385","","688","58.9%","1073","56.3%","1270","47.7%","8.6pp"
"Prismabasher","G","U","67515","3.87","17640","4.65","3384","95.2%","51.7%","544","52.0%","917","58.5%","1461","56.1%","1904","48.2%","7.8pp"
"Prismatic Undercurrents","G","U","110964","6.31","13685","9.24","1021","52.5%","45.4%","169","","274","","443","","579","41.5%",""
"Pummeler for Hire","G","U","75392","4.19","16504","5.29","2639","94.8%","51.2%","439","","742","56.3%","1181","55.6%","1450","47.7%","8.0pp"
"Safewright Cavalry","G","C","245838","5.28","45167","7.04","3141","73.9%","52.5%","516","52.5%","858","53.4%","1374","53.1%","1760","51.9%","1.1pp"
"Sapling Nursery","G","R","15769","2.67","5410","2.90","1265","95.0%","49.9%","223","","352","","575","57.9%","692","43.4%","14.6pp"
"Selfless Safewright","G","R","13245","2.27","5670","2.47","749","94.9%","52.9%","134","","216","","350","","392","",""
"Shimmerwilds Growth","G","U","94667","5.28","14557","7.17","2734","87.4%","49.0%","454","","753","53.5%","1207","53.2%","1529","45.7%","7.5pp"
"Spry and Mighty","G","R","19522","3.00","6076","3.39","793","88.9%","50.2%","126","","209","","335","","458","",""
"Surly Farrier","G","C","280966","6.12","40027","8.64","1639","49.6%","48.3%","283","","423","","706","52.3%","928","45.4%","6.9pp"
"Tend the Sprigs","G","C","299242","6.83","33281","10.17","2550","48.7%","48.4%","485","","667","54.6%","1152","51.0%","1398","46.4%","4.6pp"
"Thoughtweft Charge","G","U","96014","5.13","14822","7.11","634","54.7%","48.9%","113","","176","","289","","345","",""
"Trystan, Callous Cultivator","G","R","14962","2.55","5960","2.81","513","85.4%","52.2%","102","","131","","233","","285","",""
"Unforgiving Aim","G","C","305675","7.02","33911","10.51","948","29.7%","46.4%","155","","262","","417","","531","45.4%",""
"Vinebred Brawler","G","U","81595","4.58","16047","5.89","643","66.1%","45.9%","116","","146","","262","","377","",""
"Virulent Emissary","G","U","58149","3.36","17568","3.97","2137","96.6%","51.7%","411","","575","53.9%","986","54.1%","1148","49.7%","4.4pp"
"Wildvine Pummeler","G","C","274784","5.80","37007","8.45","5529","81.0%","49.9%","885","46.6%","1644","56.2%","2529","52.8%","3013","47.4%","5.4pp"
"Abigale, Eloquent First-Year","WB","R","8976","1.67","5704","1.72","31","","","8","","7","","15","","16","",""
"Ashling's Command","UR","R","13393","2.37","6985","2.46","465","92.1%","","80","","131","","211","","250","",""
"Boggart Cursecrafter","BR","U","72372","4.42","15778","5.29","0","","","0","","0","","0","","0","",""
"Bre of Clan Stoutarm","WR","R","15461","2.67","5685","2.90","110","","","19","","30","","49","","58","",""
"Brigid's Command","WG","R","17040","2.84","5594","3.20","137","","","20","","41","","61","","76","",""
"Catharsis","WR","M","6771","2.09","2729","2.19","14","","","0","","3","","3","","11","",""
"Chaos Spewer","BR","C","288948","6.55","34736","9.55","43","5.0%","","7","","8","","15","","28","",""
"Chitinous Graspling","UG","C","284876","5.81","38826","8.60","3376","65.7%","49.2%","572","47.0%","883","51.8%","1455","49.9%","1895","48.3%","1.6pp"
"Deceit","UB","M","5284","1.75","3183","1.79","363","","","57","","93","","150","","211","",""
"Deepchannel Duelist","WU","U","58222","3.70","18281","4.12","42","","","7","","16","","23","","19","",""
"Deepway Navigator","WU","R","21429","3.36","6009","3.94","17","","","1","","4","","5","","12","",""
"Doran, Besieged by Time","WBG","R","20966","3.27","5754","3.69","196","","","33","","69","","102","","95","",""
"Dream Harvest","UB","R","32600","4.14","5235","5.58","315","","","42","","94","","136","","179","",""
"Eclipsed Boggart","BR","U","78624","4.59","17112","5.57","0","","","0","","0","","0","","0","",""
"Eclipsed Elf","BG","U","54142","3.33","18620","3.75","492","57.8%","","77","","145","","222","","261","",""
"Eclipsed Flamekin","UR","U","66693","3.93","20863","4.52","923","75.4%","53.6%","164","","262","","426","","494","",""
"Eclipsed Kithkin","WG","U","58637","3.51","17773","4.06","659","80.3%","54.3%","130","","177","","307","","349","",""
"Eclipsed Merrow","WU","U","64841","3.88","19821","4.42","259","34.8%","","34","","73","","107","","147","",""
"Emptiness","WB","M","5050","1.65","2913","1.70","29","","","1","","9","","10","","17","",""
"Feisty Spikeling","WR","C","271793","5.51","39146","7.97","43","6.6%","","8","","8","","16","","27","",""
"Figure of Fable","WG","R","8126","1.56","5702","1.60","497","","","92","","146","","238","","251","",""
"Flaring Cinder","UR","C","276260","6.13","46966","8.32","1947","61.5%","49.0%","347","","522","53.6%","869","49.5%","1072","48.4%","1.1pp"
"Gangly Stompling","RG","C","268355","5.37","43370","7.71","2944","81.2%","49.4%","494","","767","51.6%","1261","51.6%","1652","47.2%","4.5pp"
"Glister Bairn","UG","U","91220","5.00","14339","7.01","3039","83.6%","47.6%","556","44.4%","810","54.7%","1366","50.5%","1682","45.4%","5.1pp"
"Grub's Command","BR","R","19132","3.12","6215","3.51","28","","","5","","7","","12","","16","",""
"High Perfect Morcant","BG","R","12496","2.28","5180","2.48","191","","","32","","55","","87","","99","",""
"Hovel Hurler","WR","U","71285","3.93","14500","5.05","24","","","5","","6","","11","","13","",""
