"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","232675","4.59","45959","6.32","33919","69.8%","54.6%","6165","52.7%","9348","56.9%","15513","55.3%","17825","53.7%","1.6pp"
"Rooftop Percher","","C","295914","6.23","47881","8.71","27707","55.5%","54.6%","4645","52.0%","7776","58.4%","12421","56.0%","14615","52.5%","3.5pp"
"Adept Watershaper","W","R","11807","2.14","5257","2.31","422","22.8%","","75","","123","","198","","223","",""
"Ajani, Outland Chaperone","W","M","4327","1.49","2693","1.54","273","27.6%","","45","","72","","117","","156","",""
"Appeal to Eirdu","W","C","320101","7.75","36149","11.28","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","120724","7.19","14775","10.46","49","0.6%","","6","","14","","20","","29","",""
"Brigid, Clachan's Heart","W","R","11871","2.20","5250","2.34","229","13.8%","","37","","70","","107","","123","",""
"Burdened Stoneback","W","U","80103","4.55","13268","5.98","22","0.8%","","5","","6","","11","","11","",""
"Champion of the Clachan","W","R","16961","2.84","4960","3.25","3","0.2%","","0","","2","","2","","1","",""
"Clachan Festival","W","U","64133","3.84","15515","4.65","86","3.0%","","16","","31","","47","","39","",""
"Crib Swap","W","U","93393","5.43","9370","8.40","103","2.8%","","18","","19","","37","","63","",""
"Curious Colossus","W","M","5377","1.78","3105","1.82","728","42.2%","54.9%","126","","226","","352","","379","",""
"Eirdu, Carrier of Dawn","W","M","4321","1.48","2803","1.50","834","57.6%","54.4%","136","","238","","374","","449","",""
"Encumbered Reejerey","W","U","60804","3.59","16804","4.24","40","1.3%","","6","","13","","19","","21","",""
"Evershrike's Gift","W","U","102303","5.79","13801","8.23","9","0.2%","","2","","3","","5","","4","",""
"Flock Impostor","W","U","69197","3.89","15466","4.87","367","11.4%","","66","","98","","164","","197","",""
"Gallant Fowlknight","W","C","281680","6.45","37250","9.17","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","290580","6.65","35583","9.59","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","248749","5.31","32468","7.73","233","3.4%","","41","","74","","115","","119","",""
"Kinbinding","W","R","9383","1.79","5968","1.83","1070","43.3%","52.4%","170","","312","","482","","592","48.5%",""
"Kinsbaile Aspirant","W","U","74924","4.41","16373","5.29","0","0.0%","","0","","0","","0","","0","",""
"Kinscaer Sentry","W","R","12816","2.23","5271","2.42","79","4.6%","","9","","25","","34","","44","",""
"Kithkeeper","W","U","94704","5.27","16835","7.07","9404","58.9%","55.3%","1467","51.7%","2774","61.6%","4241","58.2%","4929","52.2%","5.9pp"
"Liminal Hold","W","C","172508","3.74","43352","4.69","4512","35.1%","54.4%","750","54.0%","1382","59.0%","2132","57.3%","2389","51.8%","5.5pp"
"Meanders Guide","W","U","77720","4.56","14409","5.90","33","0.9%","","5","","11","","16","","17","",""
"Moonlit Lamenter","W","U","66639","3.93","15093","4.83","374","9.8%","","57","","117","","174","","202","",""
"Morningtide's Light","W","M","12958","3.38","2955","4.01","307","20.2%","","44","","91","","135","","172","",""
"Personify","W","U","90062","5.00","14964","6.77","151","3.6%","","19","","44","","63","","88","",""
"Protective Response","W","U","55552","3.30","16691","3.85","422","12.4%","","79","","123","","202","","220","",""
"Pyrrhic Strike","W","U","53135","3.19","18336","3.65","1636","31.9%","55.7%","246","","466","","712","59.1%","925","53.1%","6.0pp"
"Reluctant Dounguard","W","C","277324","6.22","32491","9.16","0","0.0%","","0","","0","","0","","0","",""
"Rhys, the Evermore","W","R","15924","2.64","5045","2.93","192","12.6%","","33","","54","","87","","105","",""
"Riverguard's Reflexes","W","C","310503","7.31","36109","10.72","9","0.1%","","1","","3","","4","","5","",""
"Shore Lurker","W","C","286919","6.45","36969","9.26","12","0.1%","","2","","3","","5","","7","",""
"Slumbering Walker","W","R","11572","2.05","5734","2.17","311","13.8%","","52","","93","","145","","168","",""
"Spiral into Solitude","W","C","196161","4.16","40357","5.43","920","12.3%","52.6%","142","","299","","441","","479","",""
"Sun-Dappled Celebrant","W","C","272262","5.93","35785","8.53","15","0.2%","","3","","5","","8","","8","",""
"Thoughtweft Imbuer","W","U","65872","4.08","16671","4.74","27","0.8%","","6","","10","","16","","11","",""
"Timid Shieldbearer","W","C","260517","5.63","42410","7.67","7","0.1%","","1","","4","","5","","2","",""
"Tributary Vaulter","W","C","278100","6.33","41838","8.65","18","0.1%","","3","","4","","7","","11","",""
"Wanderbrine Preacher","W","C","258096","5.55","44856","7.42","49","0.5%","","8","","9","","17","","32","",""
"Wanderbrine Trapper","W","U","64329","3.78","19510","4.35","43","0.9%","","6","","11","","17","","26","",""
"Winnowing","W","R","28076","4.00","5167","5.11","119","5.5%","","20","","29","","49","","70","",""
"Aquitect's Defenses","U","C","308220","7.20","39079","10.47","13092","21.3%","51.5%","2202","49.3%","3626","53.6%","5828","51.9%","7280","51.2%","0.7pp"
"Blossombind","U","C","217227","4.58","46168","5.99","86922","92.0%","54.9%","15194","53.1%","24661","57.6%","39855","55.9%","47120","54.0%","1.9pp"
"Champions of the Shoal","U","R","14353","2.56","5918","2.79","3673","52.8%","54.8%","649","57.9%","1114","59.9%","1763","59.2%","1927","50.8%","8.4pp"
"Disruptor of Currents","U","R","13868","2.33","6772","2.52","14230","98.2%","57.2%","2434","60.1%","4134","64.1%","6568","62.6%","7663","52.6%","10.0pp"
"Flitterwing Nuisance","U","R","13604","2.37","6375","2.54","15259","97.9%","56.2%","2761","63.2%","4269","59.4%","7030","60.9%","8264","52.4%","8.5pp"
"Glamer Gifter","U","U","70107","4.00","19122","4.82","33207","90.8%","55.0%","5981","54.8%","9261","58.0%","15242","56.8%","17982","53.5%","3.3pp"
"Glamermite","U","C","291651","6.60","39086","9.52","16387","28.1%","51.3%","2855","50.4%","4500","53.9%","7355","52.5%","9043","50.4%","2.1pp"
"Glen Elendra Guardian","U","R","14519","2.41","6444","2.60","14393","98.0%","55.4%","2570","54.7%","4066","59.0%","6636","57.3%","7803","53.8%","3.5pp"
"Glen Elendra's Answer","U","M","16590","3.89","4452","4.59","7633","84.7%","57.2%","1263","57.2%","2218","63.3%","3481","61.1%","4156","53.9%","7.2pp"
"Gravelgill Scoundrel","U","C","275841","6.30","46282","8.41","8716","22.2%","51.7%","1610","52.4%","2415","52.2%","4025","52.3%","4678","51.3%","1.0pp"
"Harmonized Crescendo","U","R","26952","3.87","5854","4.85","7240","74.3%","52.2%","1172","49.5%","2067","54.3%","3239","52.5%","4009","52.0%","0.6pp"
"Illusion Spinners","U","U","105157","5.98","13620","8.63","5372","29.1%","50.5%","903","45.1%","1486","53.5%","2389","50.3%","2990","50.8%","-0.5pp"
"Kulrath Mystic","U","C","302528","7.07","42357","10.00","71230","62.9%","54.3%","12655","54.3%","19452","55.3%","32107","54.9%","37980","53.5%","1.5pp"
"Loch Mare","U","M","5203","1.71","3337","1.78","8940","99.8%","58.9%","1608","62.4%","2703","65.5%","4311","64.3%","4682","54.0%","10.3pp"
"Lofty Dreams","U","U","92376","5.15","17229","6.77","19496","65.6%","53.5%","3160","50.7%","5587","57.3%","8747","54.9%","10763","52.3%","2.6pp"
