"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","7487","68.4%","55.7%","1343","53.1%","2042","57.3%","3385","55.7%","3993","55.4%","0.3pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","2195","25.5%","56.1%","389","","588","60.2%","977","57.7%","1170","54.4%","3.4pp"
"Adept Watershaper","W","R","3169","2.09","1465","2.23","104","","","26","","22","","48","","56","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","35","","","4","","9","","13","","22","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","0","0.0%","","0","","0","","0","","0","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","6","0.4%","","0","","0","","0","","6","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","29","","","7","","9","","16","","13","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","17","2.4%","","4","","3","","7","","10","",""
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","3","","","0","","2","","2","","1","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","31","5.2%","","6","","12","","18","","13","",""
"Crib Swap","W","U","24305","5.20","2522","7.93","10","1.6%","","2","","1","","3","","7","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","134","","","25","","38","","63","","71","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","133","","","17","","40","","57","","73","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","8","1.3%","","0","","5","","5","","3","",""
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","9","0.9%","","2","","3","","5","","4","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","71","9.8%","","7","","15","","22","","49","",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","0","0.0%","","0","","0","","0","","0","",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","0","0.0%","","0","","0","","0","","0","",""
"Keep Out","W","C","64959","5.17","8974","7.39","37","2.6%","","7","","13","","20","","17","",""
"Kinbinding","W","R","2760","1.90","1609","1.97","172","31.6%","","32","","54","","86","","87","",""
