"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","201076","4.59","39865","6.30","3245","82.7%","51.2%","599","53.1%","870","54.4%","1469","53.8%","1753","49.3%","4.5pp"
"Rooftop Percher","","C","258913","6.34","40615","8.92","1750","47.1%","49.9%","288","","455","","743","51.4%","991","48.7%","2.7pp"
"Adept Watershaper","W","R","10148","2.13","4539","2.30","923","100.0%","50.7%","151","","240","","391","","539","45.5%",""
"Ajani, Outland Chaperone","W","M","3735","1.49","2345","1.53","707","100.0%","53.5%","136","","197","","333","","378","",""
"Appeal to Eirdu","W","C","277356","7.73","31485","11.25","408","10.6%","","60","","93","","153","","255","",""
"Bark of Doran","W","U","104865","7.19","12752","10.48","1067","43.9%","45.3%","184","","263","","447","","621","44.4%",""
"Brigid, Clachan's Heart","W","R","10191","2.20","4537","2.34","838","94.1%","54.7%","152","","206","","358","","480","",""
"Burdened Stoneback","W","U","68653","4.51","11569","5.89","3743","95.7%","50.0%","699","50.6%","973","53.8%","1672","52.5%","2081","48.1%","4.3pp"
"Champion of the Clachan","W","R","14647","2.83","4331","3.24","531","76.3%","50.1%","74","","122","","196","","326","",""
"Clachan Festival","W","U","55457","3.83","13507","4.63","1899","86.4%","48.3%","360","","488","","848","52.6%","1032","44.6%","8.0pp"
"Crib Swap","W","U","80592","5.42","8146","8.37","786","56.7%","47.7%","136","","213","","349","","435","",""
"Curious Colossus","W","M","4646","1.79","2653","1.82","771","98.6%","54.7%","117","","228","","345","","428","",""
"Eirdu, Carrier of Dawn","W","M","3744","1.48","2429","1.49","1264","99.6%","49.8%","231","","346","","577","57.2%","702","44.0%","13.2pp"
"Encumbered Reejerey","W","U","52588","3.58","14552","4.21","2636","93.4%","49.3%","480","","668","53.9%","1148","54.5%","1488","45.2%","9.3pp"
"Evershrike's Gift","W","U","88412","5.77","11959","8.18","1595","68.5%","48.7%","280","","438","","718","48.1%","878","49.2%","-1.2pp"
"Flock Impostor","W","U","59426","3.87","13458","4.84","2686","94.9%","49.3%","494","","682","50.6%","1176","49.1%","1501","49.2%","-0.2pp"
"Gallant Fowlknight","W","C","244293","6.46","32536","9.18","1550","39.9%","47.8%","246","","392","","638","50.6%","899","45.5%","5.1pp"
"Goldmeadow Nomad","W","C","250905","6.61","31193","9.51","2299","48.0%","49.7%","425","","522","49.4%","947","49.7%","1347","49.7%","0.1pp"
"Keep Out","W","C","214784","5.29","28319","7.70","4701","77.4%","49.4%","804","46.9%","1245","54.1%","2049","51.2%","2653","47.9%","3.3pp"
"Kinbinding","W","R","8165","1.81","5141","1.84","1299","99.5%","52.2%","217","","374","","591","61.3%","712","44.9%","16.3pp"
"Kinsbaile Aspirant","W","U","64941","4.40","14182","5.26","1008","64.0%","49.5%","192","","234","","426","","577","50.1%",""
"Kinscaer Sentry","W","R","11101","2.22","4567","2.39","921","97.3%","48.6%","178","","252","","430","","491","",""
"Kithkeeper","W","U","81943","5.27","14622","7.05","880","53.0%","46.4%","158","","215","","373","","508","44.1%",""
"Liminal Hold","W","C","149736","3.75","37705","4.69","7747","98.0%","51.6%","1253","50.9%","2101","58.6%","3354","55.8%","4404","48.4%","7.4pp"
"Meanders Guide","W","U","66955","4.54","12513","5.85","983","63.5%","48.2%","162","","240","","402","","582","49.3%",""
"Moonlit Lamenter","W","U","57223","3.90","13159","4.78","5548","99.5%","51.9%","981","54.2%","1487","56.0%","2468","55.3%","3098","49.1%","6.2pp"
"Morningtide's Light","W","M","11233","3.38","2517","3.99","348","","","50","","86","","136","","212","",""
"Personify","W","U","77597","4.98","13001","6.73","2149","79.1%","51.7%","369","","602","54.0%","971","52.3%","1181","51.3%","1.0pp"
"Protective Response","W","U","48192","3.31","14484","3.87","2747","97.5%","49.9%","438","","706","56.5%","1144","53.8%","1604","47.1%","6.6pp"
"Pyrrhic Strike","W","U","46723","3.22","15897","3.69","3368","98.1%","50.8%","558","54.5%","873","57.3%","1431","56.2%","1936","46.7%","9.4pp"
"Reluctant Dounguard","W","C","239624","6.20","28365","9.10","3865","62.6%","45.9%","730","42.6%","920","47.1%","1650","45.1%","2200","46.3%","-1.2pp"
"Rhys, the Evermore","W","R","13434","2.58","4440","2.84","1496","100.0%","48.3%","290","","412","","702","51.6%","793","45.4%","6.2pp"
"Riverguard's Reflexes","W","C","268651","7.30","31314","10.69","943","22.9%","44.8%","124","","233","","357","","586","45.9%",""
"Shore Lurker","W","C","248442","6.45","32023","9.26","2181","47.6%","49.7%","377","","580","54.8%","957","52.5%","1231","47.8%","4.7pp"
"Slumbering Walker","W","R","10026","2.05","4996","2.16","1837","99.4%","51.8%","300","","507","58.8%","807","57.6%","1038","47.3%","10.3pp"
"Spiral into Solitude","W","C","169596","4.16","35261","5.41","7948","97.8%","50.5%","1302","48.9%","2066","56.1%","3368","53.3%","4583","48.5%","4.8pp"
"Sun-Dappled Celebrant","W","C","235301","5.91","31262","8.49","4833","72.8%","47.7%","780","44.9%","1255","52.3%","2035","49.4%","2813","46.4%","3.0pp"
"Thoughtweft Imbuer","W","U","57781","4.13","14433","4.80","1553","74.4%","51.8%","289","","371","","660","56.2%","883","48.1%","8.1pp"
"Timid Shieldbearer","W","C","225698","5.64","36650","7.68","4963","77.8%","49.9%","899","50.4%","1256","53.9%","2155","52.4%","2791","47.8%","4.6pp"
"Tributary Vaulter","W","C","241846","6.36","36036","8.71","923","29.9%","50.4%","152","","216","","368","","546","50.9%",""
