"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","82959","4.61","16501","6.28","6625","58.4%","54.8%","1248","51.1%","1484","56.1%","2732","53.8%","3779","55.1%","-1.2pp"
"Rooftop Percher","","C","112166","6.90","14470","10.02","3346","25.2%","57.1%","545","55.2%","778","58.6%","1323","57.2%","1970","56.5%","0.7pp"
"Adept Watershaper","W","R","4244","2.09","1946","2.26","3682","98.9%","57.0%","675","57.2%","864","61.0%","1539","59.3%","2160","55.6%","3.7pp"
"Ajani, Outland Chaperone","W","M","1506","1.45","963","1.48","3099","100.0%","57.4%","617","64.2%","760","62.1%","1377","63.0%","1738","53.0%","10.0pp"
"Appeal to Eirdu","W","C","114916","7.60","13355","11.04","4963","20.8%","53.4%","790","48.0%","1118","51.5%","1908","50.1%","3055","55.5%","-5.4pp"
"Bark of Doran","W","U","43456","7.20","5011","10.65","609","8.9%","47.0%","88","","137","","225","","384","",""
"Brigid, Clachan's Heart","W","R","4099","2.18","1851","2.32","7718","100.0%","57.4%","1390","65.3%","1765","61.3%","3155","63.0%","4316","52.7%","10.4pp"
"Burdened Stoneback","W","U","26425","4.27","4922","5.40","8143","82.6%","55.2%","1422","56.9%","1835","53.8%","3257","55.2%","4896","55.3%","-0.1pp"
"Champion of the Clachan","W","R","5964","2.78","1842","3.17","9076","99.6%","56.2%","1489","57.2%","2064","57.8%","3553","57.6%","5260","54.8%","2.7pp"
"Clachan Festival","W","U","23081","3.85","5669","4.65","18514","98.0%","56.9%","3247","57.7%","4135","58.6%","7382","58.2%","10762","55.5%","2.6pp"
"Crib Swap","W","U","32226","5.23","3330","8.01","3011","50.8%","52.2%","503","46.3%","668","50.7%","1171","48.8%","1793","53.8%","-5.0pp"
"Curious Colossus","W","M","1954","1.79","1100","1.80","2520","96.3%","56.2%","430","","599","62.6%","1029","61.3%","1484","52.8%","8.5pp"
"Eirdu, Carrier of Dawn","W","M","1621","1.44","1034","1.47","2050","99.4%","57.6%","354","","508","64.6%","862","63.6%","1181","53.1%","10.5pp"
