"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","5219","58.5%","55.5%","995","52.2%","1162","57.0%","2157","54.8%","2975","55.7%","-1.0pp"
"Rooftop Percher","","C","85336","6.94","10482","10.17","2161","21.9%","57.3%","351","","520","60.4%","871","58.4%","1258","56.2%","2.2pp"
"Adept Watershaper","W","R","3169","2.09","1465","2.23","2732","98.8%","57.0%","496","","633","60.7%","1129","58.9%","1609","55.7%","3.2pp"
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","2400","100.0%","57.4%","475","","591","62.1%","1066","63.3%","1346","52.9%","10.4pp"
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","3955","21.9%","53.4%","646","47.8%","881","51.6%","1527","50.0%","2428","55.5%","-5.5pp"
"Bark of Doran","W","U","32625","7.18","3778","10.58","464","8.9%","","66","","101","","167","","297","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","5836","100.0%","57.6%","1069","64.8%","1320","61.1%","2389","62.8%","3264","53.1%","9.7pp"
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","6442","83.0%","55.9%","1109","57.8%","1437","55.1%","2546","56.3%","3902","55.7%","0.6pp"
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","6977","99.6%","56.3%","1178","57.9%","1583","57.9%","2761","57.9%","3997","54.9%","3.0pp"
"Clachan Festival","W","U","17627","3.88","4292","4.72","14240","98.0%","57.2%","2495","57.9%","3176","59.0%","5671","58.5%","8288","55.7%","2.9pp"
"Crib Swap","W","U","24305","5.20","2522","7.93","2311","51.1%","52.7%","375","","529","51.4%","904","49.3%","1368","54.4%","-5.0pp"
"Curious Colossus","W","M","1529","1.79","843","1.80","1952","96.4%","56.9%","333","","450","","783","61.6%","1162","53.8%","7.8pp"
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","1579","99.4%","58.3%","266","","383","","649","65.6%","919","53.0%","12.6pp"
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","4946","83.4%","54.9%","971","55.5%","1024","52.7%","1995","54.1%","2954","55.4%","-1.3pp"
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","5935","69.1%","55.5%","983","51.9%","1378","55.5%","2361","54.0%","3578","56.3%","-2.3pp"
"Flock Impostor","W","U","17995","3.80","4354","4.64","8199","93.8%","56.5%","1412","55.5%","1843","58.9%","3255","57.5%","4800","55.7%","1.8pp"
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","25375","78.5%","55.6%","4212","53.2%","5779","56.7%","9991","55.2%","14909","55.5%","-0.3pp"
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","21278","72.1%","54.3%","3872","53.9%","4494","52.3%","8366","53.0%","12699","55.0%","-2.0pp"
"Keep Out","W","C","64959","5.17","8974","7.39","12485","69.8%","54.1%","2059","53.0%","2901","52.1%","4960","52.5%","7525","55.1%","-2.7pp"
"Kinbinding","W","R","2760","1.90","1609","1.97","5150","99.8%","58.1%","872","63.8%","1257","64.8%","2129","64.4%","3033","53.6%","10.8pp"
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","18073","98.3%","56.8%","3293","62.4%","4005","55.6%","7298","58.7%","10565","55.4%","3.3pp"
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","4874","100.0%","56.6%","856","61.2%","1075","58.7%","1931","59.8%","2868","53.8%","6.0pp"
"Kithkeeper","W","U","26290","5.42","4657","7.24","2970","43.5%","52.8%","489","","702","54.1%","1191","51.5%","1771","53.7%","-2.2pp"
