"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","232675","4.59","45959","6.32","3900","73.9%","51.9%","684","50.9%","930","53.9%","1614","52.6%","2248","51.2%","1.4pp"
"Rooftop Percher","","C","295914","6.23","47881","8.71","2448","50.4%","51.9%","420","","608","55.8%","1028","53.8%","1397","50.2%","3.6pp"
"Adept Watershaper","W","R","11807","2.14","5257","2.31","1524","99.7%","52.6%","285","","371","","656","55.3%","874","50.7%","4.6pp"
"Ajani, Outland Chaperone","W","M","4327","1.49","2693","1.54","1158","100.0%","54.7%","234","","301","","535","63.0%","629","48.0%","15.0pp"
"Appeal to Eirdu","W","C","320101","7.75","36149","11.28","721","12.6%","44.7%","109","","167","","276","","445","",""
"Bark of Doran","W","U","120724","7.19","14775","10.46","651","26.1%","50.5%","114","","163","","277","","376","",""
"Brigid, Clachan's Heart","W","R","11871","2.20","5250","2.34","1232","89.8%","51.5%","246","","283","","529","54.6%","698","49.1%","5.5pp"
"Burdened Stoneback","W","U","80103","4.55","13268","5.98","6185","96.0%","51.0%","1113","49.1%","1493","52.0%","2606","50.8%","3581","51.0%","-0.3pp"
"Champion of the Clachan","W","R","16961","2.84","4960","3.25","948","77.6%","48.4%","176","","230","","406","","538","46.8%",""
"Clachan Festival","W","U","64133","3.84","15515","4.65","3220","85.6%","51.2%","565","53.6%","761","51.8%","1326","52.6%","1874","50.1%","2.5pp"
"Crib Swap","W","U","93393","5.43","9370","8.40","1280","54.3%","47.6%","212","","317","","529","48.2%","740","47.3%","0.9pp"
"Curious Colossus","W","M","5377","1.78","3105","1.82","1554","99.8%","56.4%","254","","372","","626","64.1%","928","51.1%","13.0pp"
"Eirdu, Carrier of Dawn","W","M","4321","1.48","2803","1.50","1129","99.6%","53.1%","190","","280","","470","","657","48.2%",""
"Encumbered Reejerey","W","U","60804","3.59","16804","4.24","3684","94.2%","51.7%","631","55.6%","900","49.3%","1531","51.9%","2161","51.5%","0.4pp"
"Evershrike's Gift","W","U","102303","5.79","13801","8.23","2205","62.9%","48.3%","346","","525","48.2%","871","48.3%","1334","48.2%","0.1pp"
"Flock Impostor","W","U","69197","3.89","15466","4.87","3783","93.8%","52.0%","652","50.0%","945","53.2%","1597","51.9%","2159","52.0%","-0.1pp"
"Gallant Fowlknight","W","C","281680","6.45","37250","9.17","3013","46.6%","49.7%","494","","714","49.6%","1208","49.7%","1787","49.7%","-0.0pp"
"Goldmeadow Nomad","W","C","290580","6.65","35583","9.59","3323","45.8%","50.6%","561","53.1%","762","47.8%","1323","50.0%","1990","50.8%","-0.7pp"
"Keep Out","W","C","248749","5.31","32468","7.73","5348","70.1%","50.4%","919","47.1%","1327","50.0%","2246","48.8%","3104","51.5%","-2.6pp"
"Kinbinding","W","R","9383","1.79","5968","1.83","2675","99.3%","54.8%","450","","690","62.6%","1140","62.3%","1550","49.2%","13.1pp"
"Kinsbaile Aspirant","W","U","74924","4.41","16373","5.29","2017","67.3%","50.6%","370","","425","","795","51.8%","1212","49.5%","2.3pp"
"Kinscaer Sentry","W","R","12816","2.23","5271","2.42","2010","99.2%","52.7%","383","","477","","860","55.3%","1149","50.7%","4.7pp"
"Kithkeeper","W","U","94704","5.27","16835","7.07","2231","61.6%","51.6%","369","","616","50.6%","985","51.1%","1231","51.5%","-0.4pp"
