"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","62649","4.60","12452","6.26","1059","70.9%","53.7%","190","","267","","457","","596","53.9%",""
"Rooftop Percher","","C","85336","6.94","10482","10.17","303","22.2%","","54","","86","","140","","162","",""
"Adept Watershaper","W","R","3169","2.09","1465","2.23","405","","","68","","102","","170","","236","",""
"Ajani, Outland Chaperone","W","M","1152","1.45","750","1.49","321","","","69","","75","","144","","180","",""
"Appeal to Eirdu","W","C","86659","7.57","10133","11.00","300","15.0%","","42","","65","","107","","193","",""
"Bark of Doran","W","U","32625","7.18","3778","10.58","104","16.1%","","17","","27","","44","","61","",""
"Brigid, Clachan's Heart","W","R","3142","2.20","1430","2.34","401","","","67","","94","","161","","239","",""
"Burdened Stoneback","W","U","19673","4.23","3838","5.33","2035","96.4%","51.0%","375","","480","","855","50.8%","1181","51.1%","-0.3pp"
"Champion of the Clachan","W","R","4503","2.80","1415","3.20","266","","","47","","68","","115","","151","",""
"Clachan Festival","W","U","17627","3.88","4292","4.72","923","84.0%","51.7%","165","","217","","382","","538","50.2%",""
"Crib Swap","W","U","24305","5.20","2522","7.93","361","54.3%","","50","","98","","148","","209","",""
"Curious Colossus","W","M","1529","1.79","843","1.80","457","","","75","","99","","174","","283","",""
"Eirdu, Carrier of Dawn","W","M","1258","1.43","807","1.46","339","","","63","","92","","155","","182","",""
"Encumbered Reejerey","W","U","16314","3.56","4673","4.18","1453","95.4%","52.8%","259","","361","","620","51.0%","838","54.3%","-3.3pp"
"Evershrike's Gift","W","U","26794","5.63","3878","7.80","692","64.6%","48.7%","113","","154","","267","","425","",""
"Flock Impostor","W","U","17995","3.80","4354","4.64","1155","92.8%","52.4%","201","","292","","493","","655","50.2%",""
"Gallant Fowlknight","W","C","77020","6.53","10338","9.21","909","41.5%","48.5%","150","","209","","359","","545","47.0%",""
"Goldmeadow Nomad","W","C","76609","6.39","10498","9.00","1538","57.5%","51.2%","261","","357","","618","50.6%","916","51.5%","-0.9pp"
"Keep Out","W","C","64959","5.17","8974","7.39","1683","70.4%","52.2%","290","","419","","709","51.2%","976","53.0%","-1.8pp"
"Kinbinding","W","R","2760","1.90","1609","1.97","679","99.0%","51.4%","109","","186","","295","","387","",""
"Kinsbaile Aspirant","W","U","20414","4.44","4630","5.17","743","68.9%","52.2%","137","","149","","286","","453","",""
"Kinscaer Sentry","W","R","3221","2.10","1410","2.24","568","98.8%","53.2%","115","","134","","249","","318","",""
"Kithkeeper","W","U","26290","5.42","4657","7.24","483","51.9%","","72","","139","","211","","273","",""
"Liminal Hold","W","C","47890","3.83","12204","4.75","3485","96.7%","53.4%","584","52.6%","870","55.1%","1454","54.1%","2036","52.9%","1.1pp"
"Meanders Guide","W","U","20764","4.49","4171","5.67","448","61.9%","","89","","94","","183","","264","",""
"Moonlit Lamenter","W","U","17062","3.73","4552","4.38","1866","96.4%","52.4%","332","","453","","785","56.6%","1091","49.4%","7.2pp"
"Morningtide's Light","W","M","3352","3.30","766","3.81","235","","","35","","55","","90","","145","",""
"Personify","W","U","23244","4.75","4213","6.23","761","65.3%","48.4%","127","","192","","319","","442","",""
"Protective Response","W","U","15318","3.38","4511","3.91","1268","97.8%","50.0%","236","","311","","547","51.0%","721","49.2%","1.8pp"
"Pyrrhic Strike","W","U","15808","3.42","5012","3.90","1640","97.4%","53.7%","274","","406","","680","55.4%","959","52.5%","3.0pp"
"Reluctant Dounguard","W","C","73865","6.05","9281","8.77","1587","58.6%","49.8%","281","","369","","650","50.2%","933","49.6%","0.5pp"
"Rhys, the Evermore","W","R","3523","2.27","1406","2.46","662","99.5%","51.8%","114","","172","","286","","376","",""
"Riverguard's Reflexes","W","C","83660","7.16","9875","10.48","707","32.5%","46.8%","116","","188","","304","","405","",""
"Shore Lurker","W","C","77512","6.42","10036","9.14","942","46.4%","51.0%","166","","232","","398","","546","49.1%",""
"Slumbering Walker","W","R","3082","2.02","1535","2.14","857","99.5%","52.7%","136","","223","","359","","506","47.8%",""
"Spiral into Solitude","W","C","52778","4.15","11662","5.29","3331","94.3%","51.2%","568","52.1%","844","52.6%","1412","52.4%","1920","50.4%","2.0pp"
"Sun-Dappled Celebrant","W","C","72872","5.82","10272","8.17","2231","72.2%","51.7%","367","","542","58.5%","909","55.2%","1334","49.3%","6.0pp"
"Thoughtweft Imbuer","W","U","19869","4.45","4726","5.18","585","63.6%","51.6%","86","","135","","221","","364","",""
"Timid Shieldbearer","W","C","71382","5.73","11706","7.74","2631","83.0%","50.7%","464","","631","51.2%","1095","51.0%","1533","50.7%","0.3pp"
"Tributary Vaulter","W","C","77590","6.52","11006","9.02","344","22.9%","","57","","80","","137","","208","",""
"Wanderbrine Preacher","W","C","70960","5.60","12505","7.47","2201","76.1%","52.0%","408","","501","51.3%","909","51.8%","1290","52.0%","-0.2pp"
"Wanderbrine Trapper","W","U","18496","3.91","5436","4.51","1101","91.1%","53.1%","209","","235","","444","","657","52.2%",""
"Winnowing","W","R","6724","3.67","1418","4.53","268","","","44","","64","","108","","161","",""
"Aquitect's Defenses","U","C","82635","7.05","10565","10.25","0","0.0%","","0","","0","","0","","0","",""
"Blossombind","U","C","58894","4.64","12921","5.95","19","","","6","","6","","12","","7","",""
"Champions of the Shoal","U","R","4012","2.66","1618","2.90","8","","","0","","3","","3","","5","",""
"Disruptor of Currents","U","R","3791","2.33","1839","2.51","6","","","0","","3","","3","","3","",""
"Flitterwing Nuisance","U","R","3602","2.35","1650","2.49","21","","","1","","6","","7","","14","",""
"Glamer Gifter","U","U","18577","3.94","5104","4.73","0","","","0","","0","","0","","0","",""
"Glamermite","U","C","77133","6.33","10788","9.00","0","0.0%","","0","","0","","0","","0","",""
"Glen Elendra Guardian","U","R","3746","2.32","1680","2.50","13","","","1","","5","","6","","7","",""
"Glen Elendra's Answer","U","M","4501","3.89","1031","4.71","0","","","0","","0","","0","","0","",""
"Gravelgill Scoundrel","U","C","77774","6.59","12039","8.96","0","0.0%","","0","","0","","0","","0","",""
"Harmonized Crescendo","U","R","6735","3.73","1601","4.53","0","","","0","","0","","0","","0","",""
"Illusion Spinners","U","U","26991","5.72","3825","7.94","0","","","0","","0","","0","","0","",""
"Kulrath Mystic","U","C","83350","7.21","11470","10.19","12","1.7%","","1","","5","","6","","6","",""
"Loch Mare","U","M","1374","1.69","861","1.77","9","","","1","","2","","3","","6","",""
"Lofty Dreams","U","U","24985","5.18","4872","6.71","0","","","0","","0","","0","","0","",""
"Mirrorform","U","M","3109","3.28","944","3.52","1","","","1","","0","","1","","0","",""
"Noggle the Mind","U","U","21862","4.57","3893","5.95","0","","","0","","0","","0","","0","",""
"Oko, Lorwyn Liege","U","M","1394","1.72","840","1.73","9","","","0","","3","","3","","6","",""
"Omni-Changeling","U","U","18560","3.93","5294","4.63","10","","","4","","3","","7","","3","",""
"Pestered Wellguard","U","U","18444","4.02","4467","4.86","4","","","2","","1","","3","","1","",""
"Rime Chill","U","U","28191","5.72","4700","7.63","20","","","2","","3","","5","","15","",""
"Rimefire Torque","U","R","12523","5.62","1468","8.53","0","","","0","","0","","0","","0","",""
"Rimekin Recluse","U","U","14359","3.20","5926","3.58","35","","","12","","8","","20","","14","",""
"Run Away Together","U","C","82443","7.12","10788","10.23","0","0.0%","","0","","0","","0","","0","",""
"Shinestriker","U","U","19822","4.25","5827","4.90","66","","","8","","15","","23","","41","",""
"Silvergill Mentor","U","U","19987","4.32","5268","5.09","0","","","0","","0","","0","","0","",""
"Silvergill Peddler","U","C","79239","6.64","11825","9.19","0","","","0","","0","","0","","0","",""
"Spell Snare","U","U","31076","6.64","3716","9.78","0","","","0","","0","","0","","0","",""
"Stratosoarer","U","C","78015","6.22","11208","8.83","11","","","1","","2","","3","","8","",""
"Summit Sentinel","U","C","77330","6.38","11940","8.85","3","0.6%","","0","","0","","0","","3","",""
"Sunderflock","U","R","4006","2.62","1579","2.77","20","","","3","","6","","9","","11","",""
"Swat Away","U","U","21812","4.57","5244","5.66","0","","","0","","0","","0","","0","",""
"Sygg, Wanderwine Wisdom","U","R","3384","2.25","1577","2.40","30","","","6","","8","","14","","16","",""
"Tanufel Rimespeaker","U","U","20146","4.37","5091","5.28","6","","","2","","2","","4","","2","",""
"Temporal Cleansing","U","C","74933","5.94","14166","7.91","9","1.7%","","2","","3","","5","","4","",""
"Thirst for Identity","U","U","26267","5.43","4123","7.44","0","","","0","","0","","0","","0","",""
"Unexpected Assistance","U","C","70903","5.61","13523","7.39","6","","","0","","2","","2","","4","",""
"Unwelcome Sprite","U","U","21189","4.45","5426","5.40","0","","","0","","0","","0","","0","",""
"Wanderwine Distracter","U","C","83885","7.41","10309","10.73","0","0.0%","","0","","0","","0","","0","",""
"Wanderwine Farewell","U","U","23363","4.91","5185","6.08","0","","","0","","0","","0","","0","",""
"Wild Unraveling","U","C","81221","6.97","11019","9.91","0","0.0%","","0","","0","","0","","0","",""
"Auntie's Sentence","B","C","72365","5.70","9832","8.09","0","","","0","","0","","0","","0","",""
"Barbed Bloodletter","B","C","83391","7.16","9765","10.50","0","0.0%","","0","","0","","0","","0","",""
"Bile-Vial Boggart","B","C","76287","6.24","9718","8.90","0","0.0%","","0","","0","","0","","0","",""
"Bitterbloom Bearer","B","M","1357","1.71","736","1.76","13","","","2","","4","","6","","7","",""
"Blight Rot","B","C","45272","3.71","11283","4.53","22","","","1","","10","","11","","11","",""
"Blighted Blackthorn","B","C","80027","6.64","10132","9.62","14","2.4%","","0","","2","","2","","12","",""
"Bloodline Bidding","B","R","5426","3.21","1556","3.54","0","","","0","","0","","0","","0","",""
"Boggart Mischief","B","U","18479","4.20","3871","4.96","8","","","0","","1","","1","","7","",""
"Boggart Prankster","B","C","79625","6.77","10147","9.56","0","0.0%","","0","","0","","0","","0","",""
"Bogslither's Embrace","B","C","47175","3.80","11661","4.70","33","","","7","","12","","19","","14","",""
"Champion of the Weird","B","R","4549","2.85","1346","3.25","41","","","1","","14","","15","","25","",""
"Creakwood Safewright","B","U","17287","3.82","4750","4.47","0","","","0","","0","","0","","0","",""
"Darkness Descends","B","U","28037","5.95","3287","8.73","0","","","0","","0","","0","","0","",""
"Dawnhand Dissident","B","R","3813","2.40","1675","2.56","0","","","0","","0","","0","","0","",""
"Dawnhand Eulogist","B","C","72640","6.00","13029","7.72","0","","","0","","0","","0","","0","",""
"Dose of Dawnglow","B","U","27479","5.62","3836","8.01","0","","","0","","0","","0","","0","",""
"Dream Seizer","B","C","78448","6.47","10079","9.26","6","1.0%","","1","","2","","3","","3","",""
"Gloom Ripper","B","R","3891","2.47","1604","2.62","0","","","0","","0","","0","","0","",""
"Gnarlbark Elm","B","U","17889","3.84","4008","4.71","15","","","1","","6","","7","","8","",""
"Graveshifter","B","U","16141","3.45","4605","4.11","20","","","3","","4","","7","","13","",""
"Grub, Storied Matriarch","B","R","4986","3.02","1354","3.52","2","","","1","","1","","2","","0","",""
"Gutsplitter Gang","B","U","24207","5.19","3646","6.89","0","","","0","","0","","0","","0","",""
"Heirloom Auntie","B","C","76782","6.52","9102","9.37","7","","","2","","0","","2","","5","",""
