"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Changeling Wayfinder","","C","201076","4.59","39865","6.30","20857","60.6%","54.2%","3794","54.4%","5212","54.8%","9006","54.7%","11482","53.5%","1.1pp"
"Rooftop Percher","","C","258913","6.34","40615","8.92","16615","39.5%","54.1%","2773","51.2%","4173","55.9%","6946","54.0%","9260","53.5%","0.5pp"
"Adept Watershaper","W","R","10148","2.13","4539","2.30","18710","99.9%","56.6%","3294","59.7%","4758","58.2%","8052","58.8%","10327","54.4%","4.5pp"
"Ajani, Outland Chaperone","W","M","3735","1.49","2345","1.53","6932","99.7%","56.6%","1237","62.8%","1724","59.0%","2961","60.6%","3994","53.6%","7.0pp"
"Appeal to Eirdu","W","C","277356","7.73","31485","11.25","8824","14.0%","52.1%","1370","48.1%","2188","52.7%","3558","50.9%","5272","53.0%","-2.1pp"
"Bark of Doran","W","U","104865","7.19","12752","10.48","4513","22.1%","53.1%","797","51.9%","1122","53.4%","1919","52.8%","2600","53.3%","-0.5pp"
"Brigid, Clachan's Heart","W","R","10191","2.20","4537","2.34","6718","85.8%","56.1%","1204","61.0%","1677","57.8%","2881","59.1%","3834","53.8%","5.3pp"
"Burdened Stoneback","W","U","68653","4.51","11569","5.89","14776","68.2%","53.5%","2704","52.5%","3609","53.3%","6313","52.9%","8476","53.9%","-0.9pp"
"Champion of the Clachan","W","R","14647","2.83","4331","3.24","1630","35.6%","50.6%","267","","426","","693","49.1%","932","51.4%","-2.3pp"
"Clachan Festival","W","U","55457","3.83","13507","4.63","15478","74.3%","55.6%","2752","54.9%","3811","57.2%","6563","56.2%","8874","55.1%","1.1pp"
"Crib Swap","W","U","80592","5.42","8146","8.37","6687","43.5%","51.4%","1146","49.3%","1629","51.8%","2775","50.8%","3775","51.5%","-0.8pp"
"Curious Colossus","W","M","4646","1.79","2653","1.82","7396","96.7%","58.4%","1249","59.2%","1938","67.6%","3187","64.3%","4226","53.9%","10.4pp"
"Eirdu, Carrier of Dawn","W","M","3744","1.48","2429","1.49","6708","99.7%","57.3%","1128","60.8%","1773","62.2%","2901","61.7%","3840","53.9%","7.8pp"
"Encumbered Reejerey","W","U","52588","3.58","14552","4.21","56765","99.6%","56.6%","10447","60.4%","13757","55.7%","24204","57.7%","31613","55.4%","2.3pp"
"Evershrike's Gift","W","U","88412","5.77","11959","8.18","9268","40.6%","52.4%","1529","48.1%","2251","55.0%","3780","52.2%","5496","52.5%","-0.3pp"
"Flock Impostor","W","U","59426","3.87","13458","4.84","32799","93.0%","55.5%","5759","54.2%","7986","56.8%","13745","55.7%","18381","54.8%","1.0pp"
"Gallant Fowlknight","W","C","244293","6.46","32536","9.18","7762","19.3%","53.6%","1293","52.5%","1899","53.6%","3192","53.2%","4559","53.8%","-0.6pp"
"Goldmeadow Nomad","W","C","250905","6.61","31193","9.51","13550","28.7%","53.8%","2400","54.8%","3277","51.6%","5677","53.0%","7838","54.5%","-1.5pp"
